nula,p_W100_JS,p_corregida_12combos
bloque10,0.011976047904191617,0.011976047904191617
bloque20,0.001996007984031936,0.001996007984031936
bloque40,0.003992015968063872,0.003992015968063872
circular,0.006024096385542169,0.006024096385542169
signo20,0.005988023952095809,0.001996007984031936
