n,pendiente,se,t,p_uni,spearman,sd_score,exposicion,js,muestra,p_perm,p_circ
261,0.7004456396081784,0.30193934220384266,2.3198223672862732,0.010175244286166505,0.16895471817819804,0.984049250461585,"v9 cross-fit xG,xC (ref)",True,todo,0.002997002997002997,0.012048192771084338
198,0.6820185218341571,0.3434349424811759,1.985873996707657,0.023523658362279317,0.19088134102291182,0.9719080831300083,"v9 cross-fit xG,xC (ref)",True,DEV,,
63,0.8837643835285066,0.7612323081443391,1.1609654163035523,0.12282798194951694,0.07291666666666667,0.7588862383060165,"v9 cross-fit xG,xC (ref)",True,LB,,
261,0.527789407681556,0.2270341886175623,2.3247133433749663,0.010043646654653139,0.15362814775818198,1.3343367130239272,"v9 cross-fit xG,xC (ref)",False,todo,0.00999000999000999,0.015060240963855422
198,0.5935525012945254,0.26972876508485055,2.200553215404398,0.013883834361020963,0.1938341144269262,1.2389574368774636,"v9 cross-fit xG,xC (ref)",False,DEV,,
63,0.3674470827116412,0.4717996950464996,0.7788200937167338,0.21804284970082183,0.022801459293394777,1.2368779674145125,"v9 cross-fit xG,xC (ref)",False,LB,,
261,0.6296194941372103,0.24355025868232266,2.5851727587711624,0.0048665107879105,0.1728720783472034,1.1738790397246823,"desvio vs receta dG,dC",True,todo,0.002997002997002997,0.006024096385542169
198,0.746600037137053,0.2638837766979763,2.829276003547431,0.0023326722737111263,0.2594413383638698,1.2514371237323372,"desvio vs receta dG,dC",True,DEV,,
63,-0.06496700277733876,0.6419190080494002,-0.10120747627454442,0.5403071190071104,-0.2203341013824885,0.8333636727916734,"desvio vs receta dG,dC",True,LB,,
261,0.5555570056108838,0.20277542571861268,2.7397649574254572,0.0030741567841339338,0.1970160838547256,1.40754524240559,"desvio vs receta dG,dC",False,todo,0.000999000999000999,0.006024096385542169
198,0.6838533261866213,0.2285565542748965,2.992053010057705,0.001385540703155399,0.2650686133327768,1.4457629958996396,"desvio vs receta dG,dC",False,DEV,,
63,0.06041751802066825,0.4341495317748587,0.13916292336807026,0.444660703113702,-0.0718125960061444,1.232654484252726,"desvio vs receta dG,dC",False,LB,,
261,0.08304215887675266,0.2689467709579108,0.3087680085579033,0.37874900313779375,0.0060117034847227005,1.0849293251508472,"receta pG,pC",True,todo,0.6413586413586414,0.3795180722891566
198,-0.12888530826164718,0.3016002262998528,-0.42733823459903053,0.6654335060244906,-0.04048159579624008,1.1964606122688553,"receta pG,pC",True,DEV,,
63,0.547890256863884,0.8990266958621137,0.6094260152514042,0.2711210492334435,0.14285714285714285,0.5951007184288113,"receta pG,pC",True,LB,,
261,0.034401262191347884,0.2061940747964338,0.1668392373801755,0.43374827219330114,0.0016198594771903538,1.3939963281378749,"receta pG,pC",False,todo,0.8021978021978022,0.4006024096385542
198,-0.1571355933016454,0.2392747561360629,-0.6567161360402378,0.7443182714796477,-0.06627430337350497,1.4701947323231712,"receta pG,pC",False,DEV,,
63,0.055992447706083255,0.5434871199650859,0.10302442440527433,0.45897179311128383,0.010272657450076805,1.1174718106590789,"receta pG,pC",False,LB,,
261,0.48251796268789077,0.22880849064600547,2.108828922063057,0.017479675592526882,0.16386161000533203,1.2411073453141126,desvio+receta,True,todo,0.03396603396603397,0.02710843373493976
198,0.48781625873517365,0.25797315945558974,1.8909574149676278,0.02931501455778756,0.17991743056151394,1.3121051246799849,desvio+receta,True,DEV,,
63,0.15964126694673886,0.5700107467867738,0.28006711776340687,0.3897130058897919,-0.02721774193548387,0.940760041823998,desvio+receta,True,LB,,
261,0.2952994403533994,0.1436305211045177,2.055965807841876,0.019892906039206775,0.14941111358589643,2.0025599497608972,desvio+receta,False,todo,0.04995004995004995,0.02710843373493976
198,0.2978120612909341,0.18286659295601965,1.6285755450289352,0.05170145236634067,0.12352409640882461,1.9892397291044934,desvio+receta,False,DEV,,
63,0.13686567142494158,0.2834672117344754,0.4828271692782023,0.3146092289189148,0.014256912442396314,2.04122429766653,desvio+receta,False,LB,,
261,0.4647598057821986,0.23417759450261735,1.9846467667811154,0.023591892642156106,0.1460532798779706,1.2553742176583802,"ejecutado total (d+p) GN,C",True,todo,0.03896103896103896,0.018072289156626505
198,0.4870594154845105,0.2689568874847429,1.8109200327213777,0.0350766155609855,0.1565812449418296,1.392110406517385,"ejecutado total (d+p) GN,C",True,DEV,,
63,-0.018374549520145875,0.9268682865005463,-0.019824337273983368,0.5079082483201413,-0.09989439324116743,0.6386905558665593,"ejecutado total (d+p) GN,C",True,LB,,
261,0.3425799411285667,0.16893638230172478,2.0278636043993767,0.021287085309399816,0.1468618597336681,1.777148864153827,"ejecutado total (d+p) GN,C",False,todo,0.025974025974025976,0.02108433734939759
198,0.4208767274779391,0.2032612254723959,2.0706198464551555,0.019197167996262258,0.15984939309684865,1.8891211010522564,"ejecutado total (d+p) GN,C",False,DEV,,
63,-0.02296609200317841,0.5047690579490128,-0.0454982167419189,0.5181449018689054,-0.05803571428571429,1.2342409795790175,"ejecutado total (d+p) GN,C",False,LB,,
