Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,valor_hist_pp__gn,valor_rec_pp__gn,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon,valor_hist_pp,valor_rec_pp,valor_receta_pp
AP0141,2026-06-06 23:45:00,False,62.295206859461196,61.34493885522402,0.015254271590766064,67.08000764224133,0.6229520685946119,0.18131005513707854,0.19573787626830955,35.04088,10.19864,11.010200912,52.237441872225155,41.44016997999999,272.1954292495939,0.4565063749705776,20.807289398289523,1028.8349385777306,1038.1991702201565,2.6827058902694696,-0.2440386388742708,4,-1.2214323736786434,-1.3437383226182906,-1.1927980579005744,-1.1815738457558018,0.011224212144772538,3.440707262972426,34169.02026971345,0.24231950152676163,141,72.7087098384054,73.55770200610748,65.74364385924055,0.7355770200610748,0.12331821292353863,0.14110476701538643,True,2.7212063807767146,-0.28575714467430496,3.1288739870114206,33072.79931363814,58326.329264414715,81651.40720472844,0.8324447758561568,0.17687917328077024,-0.5,0.49792527884024107,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,-0.2977799179136529,0.8417608257388509,-0.09644163463003325,-0.4240266094512348,-0.09672336299279816,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.044313350291945636,0.19483327662166267,-0.2534665676217073,1.0365941023605136,0.2534665676217073
AP0142,2026-06-07 07:49:00,False,73.55770200610748,72.7087098384054,0.011541852784248461,65.74364385924055,0.7355770200610748,0.12331821292353863,0.14110476701538643,35.0448,5.8751999999999995,6.72259764,53.305229133681955,41.44016997999999,272.13860355414903,0.45709156015989005,19.782185409408854,1060.5887339529493,1024.4181647729033,3.018500056304056,-0.19851403253491484,3,-1.3590415610582747,-1.411235561724428,-1.1607852248825679,-1.2423408685635748,-0.08155564368100698,4.33515395281327,40491.76283038169,1.0333597309549076,142,71.78918788350337,72.47417241213776,66.0579465681609,0.7247417241213775,0.12224949083485147,0.15300878504377086,True,3.1265034715385203,-0.3103559128010959,3.8795293883971067,39100.16715431401,58200.99931240069,76250.6572391828,1.169930814376652,0.5600721503429905,-0.5,1.5405967456676333,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,-0.9428935914920991,0.8417608257388509,-0.008038263111574295,-0.4240266094512348,-0.2441280421837817,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.003693450140786869,0.19483327662166267,-0.9392001413513122,1.0365941023605136,0.9392001413513122
AP0143,2026-06-07 15:50:00,False,72.47417241213776,71.78918788350337,0.009451429465646054,66.0579465681609,0.7247417241213775,0.12224949083485147,0.15300878504377086,33.86292,5.712000000000001,7.149200984,51.26244722890237,41.44016997999999,272.13860355414903,0.4567515505594152,18.80748125875001,1063.1621949121165,1033.7299956083807,3.181966906437255,-0.1947950721244704,3,-1.2549855883090633,-1.3579799123530019,-1.0240879262410487,-1.1601247785011954,-0.13603685226014672,4.544236636838758,38715.43504906272,1.234016185192551,143,69.36942509591199,69.91445579487271,72.63356061147158,0.699144557948727,0.13527356072565505,0.165581881325618,True,3.288300703503113,-0.30691546613281545,3.961996955249277,37137.104725034515,57123.61750268406,74941.67984002024,1.1226319445049195,-0.006418677305008346,-0.5,-0.007508932922544176,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,0.010805982216830082,0.8417608257388509,-0.29287426591026994,-0.4240266094512348,-1.1455585136394948,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.1345709245448295,0.19483327662166267,0.14537690676165957,1.0365941023605136,-0.14537690676165957
AP0144,2026-06-07 23:20:00,False,69.91445579487271,69.36942509591199,0.0077956796311166275,72.63356061147158,0.699144557948727,0.13527356072565505,0.165581881325618,37.74568,7.3032,8.93949704,51.9672719913975,41.44016997999999,271.23238282865293,0.45751359326940094,19.42147477310449,1051.6714579327452,1033.1048348301463,3.0383665612735986,-0.23186869124987106,3,-1.3526791121656307,-1.4519372892681075,-1.260402007510154,-1.2306426966033244,0.029759310906829706,4.481078622623731,39752.8593452642,0.7196796487748882,144,64.20639493664603,64.86719646914743,65.54895759982028,0.6486719646914743,0.20858118014294943,0.1427468551655763,True,3.1628946029085157,-0.3584378872847425,3.745586494657316,37956.7037340969,56966.457051504025,75580.7408519241,0.9498898940920619,-0.9186690158810205,-0.5,-2.4300755913345906,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,1.5465991787774107,0.8417608257388509,-0.39877556425041366,-0.4240266094512348,-1.5806975452782825,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.18323083525373826,0.19483327662166267,1.7298300140311489,1.0365941023605136,-1.7298300140311489
AP0145,2026-06-08 06:59:00,False,64.86719646914743,64.20639493664603,0.010186990782246814,65.54895759982028,0.6486719646914743,0.20858118014294943,0.1427468551655763,34.60576,11.127519999999999,7.615349020000001,52.79376097980065,41.44016997999999,271.0310004452093,0.45870914595483725,21.01456028816304,1058.8452669182263,993.8592872795357,2.729795371176352,-0.3263079744723111,4,-1.242971293404551,-1.4009035087683266,-0.9090106954951076,-1.0495365565442272,-0.14052586104911957,4.952134841080305,41061.98210386182,-0.533284373546759,145,72.30912519264164,72.80955270837866,72.39769974671458,0.7280955270837866,0.1510173431319196,0.12088712978429397,True,2.8137916489495054,-0.4212856394440997,4.304127467215149,39604.886323493454,57658.010920234075,75557.52952038005,0.9699142388475125,0.0931874477779489,-0.25,0.2728610685842989,-0.7275251206970665,-1.6835216514777016,-2.7072066004051605,-0.15688308598012463,0.4208804128694254,-0.38364105403107385,-0.4240266094512348,-1.2087671610778234,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.17627677588488375,0.19483327662166267,0.01939368990475912,0.6157136894910881,-0.01939368990475912
AP0146,2026-06-08 14:48:00,False,72.80955270837866,72.30912519264164,0.00687310245870273,72.39769974671458,0.7280955270837866,0.1510173431319196,0.12088712978429397,37.40072,7.757439999999999,6.209714968000001,51.66009435499676,41.44016997999999,271.0310004452093,0.45859646483680727,19.46967055480027,1038.0709859234898,1033.608169875235,3.218534354867996,-0.2384994850785855,4,-1.2646549853590396,-1.3510491868643746,-0.8849504271223161,-1.1367939914055225,-0.2518435642832064,4.5271245682844174,40069.493435385,0.833539504082141,146,72.32712376780174,72.96307508304407,69.37457559199119,0.7296307508304408,0.13062973226723745,0.1397395169023218,True,3.2735769627965174,-0.3035211502047973,3.9546698377864136,39060.22915131973,56675.75288585586,72275.87727886841,1.0359247948215504,-0.1958249028967474,-0.5,-0.5356944839336277,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,0.3296754639251927,0.8417608257388509,-0.14544629533188616,-0.4240266094512348,-0.640688294255161,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.06683018862582114,0.19483327662166267,0.39650565255101383,1.0365941023605136,-0.39650565255101383
AP0147,2026-06-08 22:15:00,False,72.96307508304407,72.32712376780174,0.008716070622277429,69.37457559199119,0.7296307508304408,0.13062973226723745,0.1397395169023218,36.83428,6.594640000000001,7.054533388000001,53.094782469922976,41.44016997999999,270.93203514646825,0.46228140576424076,19.970811793606657,1059.813473418545,1113.295551616674,3.5773721088699286,-0.3537246332242174,3,-1.3911157974401023,-1.5417154994302644,-1.43003419499541,-1.276470435881618,0.15356375911379216,4.493072495677729,36149.065440335246,0.04012577662775474,147,76.62172674882521,77.68774908452457,83.9674901605705,0.7768774908452458,0.06271633759977725,0.16040617155497708,True,3.663895609077627,-0.44254515944835227,3.7641079839706513,34052.48511850881,57186.38349754033,82959.49336485122,1.1123670944154074,-0.5409082388592754,-0.8937712645708793,-1.483611300684152,-2.2527378376985308,-1.6835216514777016,-2.7072066004051605,0.9106307315822624,1.5046832753736803,-0.38499331164919093,-0.4240266094512348,-1.4287809556885547,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.17689811609491277,0.19483327662166267,1.0875288476771752,1.699516551995343,-1.0875288476771752
AP0148,2026-06-09 06:13:00,False,77.68774908452457,76.62172674882521,0.01372188470204643,83.9674901605705,0.7768774908452458,0.06271633759977725,0.16040617155497708,43.98632,3.55096,9.082097596,52.38494078587466,41.44016997999999,270.8754835471877,0.4589133933756991,20.08734332401703,1095.5816877713694,1034.4746147926146,2.76098196563853,-0.13909863049090765,4,-1.1382813742184623,-1.1470149260848295,-0.9564301306937981,-1.0589154366746982,-0.10248530598090011,3.7592434490016116,35882.759450840815,1.3699956607294537,148,74.04355972815453,74.86081370884254,81.09581413475385,0.7486081370884256,0.11701672311043158,0.13437513980114288,True,2.8259459752858294,-0.212584690261864,3.285016550712333,34193.26661622453,60181.76273850467,81481.52454350682,0.889517075948246,-0.26601574512125065,-0.5,-0.6912239313832051,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,0.44784326654559925,0.8417608257388509,-0.3988100042533105,-0.4240266094512348,-1.2941278953869566,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.183246659870547,0.19483327662166267,0.6310899264161463,1.0365941023605136,-0.6310899264161463
AP0149,2026-06-09 13:50:00,False,74.86081370884254,74.04355972815453,0.01091697966130296,81.09581413475385,0.7486081370884256,0.11701672311043158,0.13437513980114288,43.31992,6.77144,7.775924436,53.41819483804297,41.44016997999999,270.8754835471877,0.4641212926422356,21.331714893642914,1052.0324167008607,1009.8224129779547,3.0463083281578354,-0.18946394347024992,4,-1.231859250807932,-1.335487736821532,-0.7569225655396453,-1.1729791592539378,-0.4160565937142925,3.2247142404771134,36727.781257799754,1.1516688934553363,149,67.61072369018586,68.49495300566005,70.3328094370143,0.6849495300566005,0.16398575754777134,0.15106471239562816,True,3.1576441925056384,-0.32033744135595,2.7371968995992018,33814.61914836735,59058.81326128775,82900.36291997792,0.9091115720362666,0.22066852848006957,-0.5,0.8685002331312557,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,-0.3715002454959209,0.8417608257388509,-0.03095092659590787,-0.4240266094512348,0.6717126690654471,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.014221443439508485,0.19483327662166267,-0.35727880205641244,1.0365941023605136,0.35727880205641244
AP0150,2026-06-09 21:27:00,False,68.49495300566005,67.61072369018586,0.012909408309267924,70.3328094370143,0.6849495300566005,0.16398575754777134,0.15106471239562816,32.71436,7.8322400000000005,7.2151088040000015,46.513654526052946,38.68303051,270.8754835471877,0.44776651722307564,19.66351859091643,1042.8925110746993,1043.7129851098996,2.83823536094976,-0.28869569135537804,3,-1.347895854432746,-1.4670259848572986,-1.3999244597856701,-1.1908047558083528,0.20911970397731738,3.8577923041576887,33262.142920353195,-0.048721552604020335,150,56.22324531862023,57.404971526154746,63.15910533862588,0.5740497152615475,0.18636904392452736,0.23958124081392515,True,2.859087320059366,-0.31208749644240774,3.462568011537634,32685.675396077553,55233.19860388128,72022.89733727477,1.0486947833758624,-0.074037774452473,-0.5,-0.07997458394368717,-1.3999816546784265,-1.6835216514777016,-2.7072066004051605,0.12464419631796093,0.8417608257388509,-0.32201873507015394,-0.4240266094512348,-1.204042118646968,-2.818143113647506,-0.4594836085259159,-1.1307376252032932,0.14796233040298526,0.19483327662166267,0.2726065267209462,1.0365941023605136,-0.2726065267209462
