Batch,orden_escalon_fase,inicio_bloque,receta__gn,hist__gn,rec__gn,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,receta__carbon,hist__carbon,rec__carbon,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon
AP0141,0,140,26.666666666666668,28.2383656028465,23.7565661838784,0.5400840780157301,-1.0,1.571698936179832,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.9092432389578537,1.6835216514777016,60.0,58.37689957157257,55.0089902171328,-0.18386066184508112,-0.5653688126016464,-1.6231004284274277,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,0.08448096037054106,0.25977770216221685
AP0141,1,140,25.833333333333332,24.91860577392578,23.143507197407892,-0.3400693997245435,-1.0000000000000002,-0.9147275594075523,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,0.5725141974412942,1.6835216514777023,18.333333333333332,33.50466895470253,18.333333333333332,2.3236118376063395,0.0,15.171335621369199,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-1.0676615519568953,-0.0
AP0141,2,140,17.5,18.727368842230902,17.5,0.4491370267836829,0.0,1.2273688422309021,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.7561319090706505,-0.0,16.666666666666668,8.590837872217572,12.919700317689735,-1.2185382282759274,-0.5653688126016465,-8.075828794449096,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.5598983422549993,0.2597777021622169
AP0141,3,140,16.666666666666668,16.77402756302445,16.666666666666668,0.058364988048211476,0.0,0.10736089635778256,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.09825872106740131,-0.0,13.333333333333334,7.474033482869467,10.798737010587445,-1.306979486005464,-0.5653688126016465,-5.859299850463867,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.6005356504991374,0.25977770216221685
AP0142,0,140,26.666666666666668,28.80297059235749,23.7565661838784,0.7340997117886309,-1.0,2.1363039256908216,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-1.2358727591397005,1.6835216514777016,60.0,43.982617853176414,55.0089902171328,-1.8144080495338533,-0.5653688126016464,-16.017382146823586,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,0.8336907579382836,0.25977770216221685
AP0142,1,140,25.833333333333332,26.243389838324656,23.143507197407892,0.1524472156451271,-1.0000000000000002,0.4100565049913243,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,-0.25664818824606167,1.6835216514777023,18.333333333333332,41.912098889473164,18.333333333333332,3.6112772223706546,0.0,23.57876555613983,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-1.659322689522315,-0.0
AP0142,2,140,17.5,20.94432268778483,17.5,1.2603976881663688,0.0,3.4443226877848296,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-2.1219067975005226,-0.0,16.666666666666668,15.621316746303012,12.919700317689735,-0.15772979743749066,-0.5653688126016465,-1.0453499203636554,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.07247425649863998,0.2597777021622169
AP0142,3,140,16.666666666666668,16.838370530870225,16.666666666666668,0.09334398577183552,0.0,0.17170386420355754,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.1571466210821116,-0.0,13.333333333333334,5.8407876756456165,10.798737010587445,-1.6712924278456078,-0.5653688126016465,-7.492545657687717,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.7679314756485389,0.25977770216221685
AP0143,0,140,27.5,28.157035637257035,24.589899517211734,0.2257776462163626,-1.0,0.6570356372570352,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.38010155582491906,1.6835216514777016,60.0,60.57726158225228,55.0089902171328,0.06539071440790262,-0.5653688126016464,0.5772615822522766,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.030045961420230697,0.25977770216221685
AP0143,1,140,25.0,24.502492565298184,22.31017386407456,-0.18495895628980802,-1.0000000000000002,-0.49750743470181646,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,0.31138240754860963,1.6835216514777023,18.333333333333332,22.841459929637423,18.333333333333332,0.6904557770013126,0.0,4.508126596304091,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.3172531119441282,-0.0
AP0143,2,140,17.5,17.29425896823573,17.5,-0.07528781252590001,0.0,-0.20574103176426917,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,0.12674866247974678,-0.0,16.666666666666668,13.49205821203807,12.919700317689735,-0.47900740100283384,-0.5653688126016465,-3.174608454628597,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.22009604912340253,0.2597777021622169
AP0143,3,140,16.666666666666668,16.68284376418554,16.666666666666668,0.008794413379312057,0.0,0.01617709751887375,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.014805585336117028,-0.0,13.333333333333334,6.840319554847584,10.798737010587445,-1.448336154047461,-0.5653688126016465,-6.49301377848575,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.6654867224202743,0.25977770216221685
AP0144,0,140,27.5,24.574261791087963,24.589899517211734,-1.005373603494539,-1.0,-2.925738208912037,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,1.6925682293072144,1.6835216514777016,60.0,62.34924775816114,55.0089902171328,0.26611677262143807,-0.5653688126016464,2.349247758161141,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.12227629497336903,0.25977770216221685
AP0144,1,140,25.0,20.94501067437066,22.31017386407456,-1.5075284128853979,-1.0000000000000002,-4.0549893256293394,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,2.5379567233103835,1.6835216514777023,18.333333333333332,27.670629022060293,18.333333333333332,1.4300817894369762,0.0,9.337295688726961,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.657099141097701,-0.0
AP0144,2,140,17.5,15.656707068549261,17.5,-0.674525112775687,0.0,-1.8432929314507387,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,1.1355776318233077,-0.0,16.666666666666668,6.609339686802455,12.919700317689735,-1.51752070421045,-0.5653688126016465,-10.057326979864213,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.6972758891834065,0.2597777021622169
AP0144,3,140,16.666666666666668,15.77038476732042,16.666666666666668,-0.48724893436845795,0.0,-0.8962818993462474,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,0.8202941306687366,-0.0,13.333333333333334,5.381326685196314,10.798737010587445,-1.773780114849619,-0.5653688126016465,-7.9520066481370195,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.8150228879026165,0.25977770216221685
AP0145,0,140,27.5,28.33540213125723,24.589899517211734,0.2870698576211369,-1.0,0.8354021312572293,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.483288320791805,1.6835216514777016,60.0,65.90257935882896,55.0089902171328,0.6686290808011643,-0.5653688126016464,5.902579358828959,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.30722410281188517,0.25977770216221685
