variante,muestra,n,b_gn,t_gn,b_carbon,t_carbon
original_E15-01 (DEV cte),DEV,298,-1.58325319504601,-3.9023814668048913,0.6434261343464658,0.8238305024217902
original_E15-01 (DEV cte),LB,63,1.364417410194545,1.81473267131929,2.1433486284028374,1.3513669906857604
original_E15-01 (DEV cte),TOTAL,361,-1.1667310056176965,-3.1369024533435685,1.05393458521376,1.4568295668861027
expansivo_centrado (>=40),DEV,259,-1.478819143107403,-3.1976158585800345,0.23612402160233548,0.20077255235555502
expansivo_centrado (>=40),LB,63,1.34693564382873,1.8022258949833618,2.101684778999823,1.3277883224502345
expansivo_centrado (>=40),TOTAL,322,-1.035133756442968,-2.5940844510148775,0.8664124007184387,0.8691757088891883
expansivo_sin_centrar,DEV,259,-1.4948225369743133,-3.245617471819689,0.22861953033407878,0.18955706012488296
expansivo_sin_centrar,LB,63,1.3393384098681795,1.787008806597781,1.9943142269997862,1.2488455904095375
expansivo_sin_centrar,TOTAL,322,-1.0625749602836394,-2.669662722578179,0.862705750614088,0.8659192420060964
crudo_fisico (sin estandarizar),DEV,298,-0.5729450864952796,-3.6376521702510827,0.02788241285469026,0.16929195147442339
crudo_fisico (sin estandarizar),LB,63,0.41935335011098807,1.4325231086254107,0.5186224629453035,1.7318406453445778
crudo_fisico (sin estandarizar),TOTAL,361,-0.42898673980369045,-3.0310573382808355,0.14202993898344138,0.8218487266462307
