Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,xG,xC,dross_pp,escoria_pp,polvo_pp
AP0041,2026-05-05 04:15:00,False,72.81941645167599,71.75709033455325,0.014588500826942373,77.68339665320178,0.7281941645167599,0.09923909863338186,0.1725667368498582,37.29292,5.08232,8.8376395,48.00629427480492,38.986349541176466,299.3003251094009,0.4722292646571441,23.01817669415494,1124.4209916719813,1074.3510175506626,2.8452701268622906,-0.1296546359697993,4,-1.4707720206437176,-1.4927117926560605,-1.428833672141665,-1.352109506472036,0.07672416566962892,3.7837192049282047,31701.96144623275,1.5487237671642977,41,73.19159819358674,74.22791691922325,84.49977679572875,0.7422791691922324,0.09897437072513515,0.15874646008263243,True,3.0759857953202228,-0.3694359382673324,2.898243668421688,27247.23527555584,52435.03759351659,78760.692634348,0.9337086774882695,0.06376451230163788,-0.14086079877479968,9.923909863338185,1.4588500826942372,17.25667368498582
AP0042,2026-05-05 11:42:00,False,74.22791691922325,73.19159819358674,0.013961306859307817,84.49977679572875,0.7422791691922324,0.09897437072513515,0.15874646008263243,40.47204,5.39648,8.655494252,47.8960318414069,39.34664743058824,299.3003251094009,0.4719101172303226,22.293734031533667,1107.361542785554,1089.9648179898913,2.651702587275178,-0.26419395031961235,4,-1.424331327425622,-1.4779788565112408,-1.2862448795235062,-1.2514346948753359,0.03481018464817032,3.630642900539608,32097.4620730906,0.009763084079054352,42,72.39589576208347,73.85536826897214,74.50999270563719,0.7385536826897215,0.08863341320041944,0.17281290410985906,True,2.733220031900038,-0.3504072640553939,2.721805221757873,29878.713997584244,51606.553447956416,73517.43267108654,0.8314490469845077,1.3248287381152117,0.30802514124533703,9.897437072513515,1.3961306859307818,15.874646008263243
AP0043,2026-05-05 19:04:00,False,73.85536826897214,72.39589576208347,0.01976122441869711,74.50999270563719,0.7385536826897215,0.08863341320041944,0.17281290410985906,36.10516,4.33296,8.4481842,48.45680248908197,39.34664743058824,299.2193873309356,0.4628083623886631,22.7428687708407,1152.0294437098908,1094.8586258490682,2.642834114243478,-0.16720179811473224,4,-1.419086485159841,-1.4430754355064974,-1.2698134815193802,-1.271526405464508,0.07217851072229764,2.7192831428746196,18703.579659176205,0.9708161330961556,43,67.51492679822287,68.36797693655916,72.73423832646773,0.6836797693655916,0.0724918244135349,0.24382840622087357,True,2.784394739748505,-0.31408042669693526,2.3729787168215255,17785.32585329077,45732.15531018825,64162.38931188495,1.1497631972634308,0.5896660549807813,0.7656370348081887,8.863341320041943,1.976122441869711,17.281290410985907
AP0044,2026-05-06 02:36:00,False,68.36797693655916,67.51492679822287,0.01247733480731561,72.73423832646773,0.6836797693655916,0.0724918244135349,0.24382840622087357,35.67004,3.78216,12.721407584000001,49.04160794245892,39.34664743058824,299.00355325502835,0.48356483575765236,23.970870458537913,1132.3181215785896,1075.8580077882166,2.898245266073634,-0.3383126503870156,4,-1.4424997249479643,-1.575111157669274,-1.3915788259594148,-1.3111889032719581,0.0803899226874567,3.6835034547382346,33180.97913430886,-0.4848812377965217,44,68.17813473003088,70.620289548631,67.37854416048518,0.7062028954863101,0.09644832666303656,0.19734877785065336,True,2.991997744147703,-0.43861973034118124,3.131952381527655,31633.033106763785,51289.86295106747,73871.4097159146,0.9034013888248181,-1.4182056766694662,0.36626144909688996,7.24918244135349,1.247733480731561,24.382840622087357
AP0045,2026-05-06 10:18:00,False,70.620289548631,68.17813473003088,0.03458148974195856,67.37854416048518,0.7062028954863101,0.09644832666303656,0.19734877785065336,33.46896,4.57096,9.352918820000001,49.67302338899185,39.34664743058824,299.00355325502835,0.4796757908419216,24.055278092596385,1109.5011433360066,1124.8018590195136,2.2340206813573906,-0.1493047725524862,4,-1.4441560230662622,-1.4651231986699649,-1.5855224744177865,-1.3989582877053535,0.18656418671243302,3.0230835630092776,32325.71162569613,0.7409729558325286,45,70.73450083007361,72.0754188691322,76.46141821401072,0.7207541886913221,0.0988854105005467,0.1803604008081311,True,2.3523458780069957,-0.27328628654782805,2.3720551497239066,29730.958183648265,54398.213825508865,77692.54669190227,1.0514942375496066,-0.41845168676386363,1.0098277895272214,9.644832666303655,3.4581489741958555,19.734877785065336
AP0046,2026-05-06 18:03:00,False,72.0754188691322,70.73450083007361,0.01860437386417841,76.46141821401072,0.7207541886913221,0.0988854105005467,0.1803604008081311,38.08476,5.22512,9.530270772,49.80912058602306,39.42041042222222,298.8325729453633,0.4761641513492082,24.295749223030004,1159.4071347211614,1084.9050820606365,2.361014634057012,-0.27546321773999694,4,-1.5352598549781624,-1.6829790229073804,-1.5494094797754339,-1.4009456091871366,0.14846387058829724,3.5563774973394766,35819.74227062045,-0.3936175433429572,46,67.82223857401883,68.62511041569327,72.04657504149617,0.6862511041569327,0.10909666343066265,0.20465223241240474,True,2.517231644417034,-0.4388484180943582,3.007125675989447,33900.0779998543,52338.602603840096,72702.09003585948,0.958469499268886,0.7745444699261099,0.7293103841381647,9.88854105005467,1.860437386417841,18.03604008081311
AP0047,2026-05-07 01:40:00,False,68.62511041569327,67.82223857401883,0.01169938870496644,72.04657504149617,0.6862511041569327,0.10909666343066265,0.20465223241240474,35.818999999999996,5.69432,10.681860136000001,49.716450753376655,39.42041042222222,297.1227698487127,0.47766906921526325,23.70687132095762,1131.0062768537275,1063.0025007097631,3.0437932970568458,-0.4449409904879099,4,-1.5957632661403611,-1.8018172299127184,-1.6077877631724167,-1.4226517878607259,0.1851359753116908,3.6251710009192353,33917.51115335519,-1.4056166078222532,47,64.70774231269817,65.9167013299936,67.24259120969654,0.659167013299936,0.13922374538743953,0.20160924131262445,True,3.1787053669766023,-0.581858363741666,3.04797178184093,31560.348103618446,51071.228228062064,76679.17310492285,0.9749703761108588,-0.5110304516292548,0.1788022150635638,10.909666343066265,1.169938870496644,20.465223241240473
AP0048,2026-05-07 09:53:00,False,65.9167013299936,64.70774231269817,0.018340708696011558,67.24259120969654,0.659167013299936,0.13922374538743953,0.20160924131262445,33.772760000000005,7.1332,10.32955288,50.22525068178796,39.42041042222222,297.1227698487127,0.48664874397643054,24.274320273544323,1126.1507652885975,1084.6925105143605,2.919444445799875,-0.25651461543280907,4,-1.5623993546237982,-1.5830424178804159,-1.710051503737666,-1.4407313234568162,0.2693201802808498,3.6143277054249725,34241.08718233062,0.3542982914717845,48,68.07164741269094,68.82755232596378,69.9504800338644,0.6882755232596377,0.11484335082920227,0.19688112591116,True,3.016440932167646,-0.3866612131558554,2.2578542888685957,28323.55462170925,52594.70218809664,79872.8301206489,0.9843453817568102,-0.537608378256242,0.5513765571470813,13.922374538743954,1.8340708696011558,20.160924131262444
AP0049,2026-05-07 17:37:00,False,68.82755232596378,68.07164741269094,0.010982591821555891,69.9504800338644,0.6882755232596377,0.11484335082920227,0.19688112591116,34.03736,5.67936,9.736382500000001,48.65922290100346,40.70906441,297.1227698487127,0.4922395079579573,25.059239534259703,1135.5953375090521,1066.9664845435434,3.031908677759972,-0.30877185038128996,4,-1.620069004737244,-1.712820302126861,-1.6724536730257136,-1.4793423094469775,0.19311136357873604,4.547508790754391,35768.80289637861,-0.05580982605292739,49,65.97494431801756,66.69978681150528,72.80907025627563,0.6669978681150528,0.08379619820485104,0.24920593368009616,True,3.0915798438417683,-0.37872392995670473,3.639538289608646,34043.249004127676,50449.468774884816,68620.1465222045,1.0457523368601094,1.8673907192537584,0.5759803280701732,11.484335082920227,1.0982591821555892,19.688112591116
AP0050,2026-05-08 01:25:00,False,66.69978681150528,65.97494431801756,0.01086723853460193,72.80907025627563,0.6669978681150528,0.08379619820485104,0.24920593368009616,34.91152,4.386,13.043756740000001,47.94941052964603,40.70906441,293.9999988358249,0.5053588331986504,23.036796042297958,1135.5728786061761,1093.4432709401478,2.5436276550523487,-0.25611802409462286,3,-1.5548425880171193,-1.7086914926490344,-1.6146401362811973,-1.454457005318031,0.16018313096316628,2.7585346764799366,37842.730139840496,-0.01755258589387987,50,64.71543628585202,67.12126740583344,64.00630309992407,0.6712126740583344,0.15446091393663625,0.17432641200502935,True,2.685271362859348,-0.40134032331981867,3.921056433066532,35527.42282854143,49637.675454059216,65442.248030372684,0.9127108432916478,1.4493938884628188,0.6809026789220163,8.379619820485104,1.086723853460193,24.920593368009616
