n,pendiente,se,t,p_uni,spearman,sd_score,contraste,muestra,p_perm_bloques,p_circular
222,-0.5124958798943157,0.7088151864375075,-0.7230317432532883,0.765169808858343,-0.04191182640140699,0.3610428644877822,GN -> dross,todo,0.6486756621689156,0.658703071672355
159,-0.6986224819394603,0.9107313276641622,-0.7671005275851032,0.7784891258590553,-0.10861893957487462,0.3309196244629784,GN -> dross,DEV,,
63,-0.3065017066846626,1.0953012552224934,-0.27983324699322243,0.6101972785600868,0.023473502304147464,0.42761078419626725,GN -> dross,LB,,
222,0.7749742081461447,0.6083840367166334,1.2738240344512917,0.10136289266712506,-0.01564214621455455,0.08920549284481698,C -> Sn en escoria,todo,0.06996501749125437,0.05802047781569966
159,0.7204198301185152,0.524607817888407,1.3732540872499173,0.08483668521510618,0.041333293527585385,0.10216092119301101,C -> Sn en escoria,DEV,,
63,1.1481822406484605,3.895207364434743,0.2947679374227822,0.38408558047658103,0.0529473886328725,0.03814407430249536,C -> Sn en escoria,LB,,
222,0.7849418857670699,0.4237062388426556,1.8525615480931354,0.031972614056794094,0.1252430118164753,0.7564569584013364,GN+C -> KPI,todo,0.018490754622688656,0.017064846416382253
159,1.1569325769459038,0.6039894819008559,1.9154846427206704,0.0277153629058288,0.20686350609027943,0.6224692237718593,GN+C -> KPI,DEV,,
63,0.37189164320696677,0.5959737670668522,0.624006732774952,0.26631158172467484,0.015360983102918587,0.9393021628330677,GN+C -> KPI,LB,,
222,0.24694372383788277,0.5064842117217275,0.4875645047225254,0.3129291713050232,-0.008115840613862243,0.5169164493534105,GN+C -> dross,todo,0.2813593203398301,0.18771331058020477
159,-0.6902645308253322,0.864686302608066,-0.7982831793950673,0.7876469115346899,-0.17037258180081205,0.3502413473848507,GN+C -> dross,DEV,,
63,0.21009874002847317,0.655891786431049,0.32032531032550127,0.37436086915264877,0.04041858678955453,0.7612681518686576,GN+C -> dross,LB,,
222,0.6368971149557108,0.4924262231497487,1.2933858617071006,0.09793881877212368,0.07264223012046805,0.11038672740768798,GN+C -> escoria,todo,0.05747126436781609,0.06825938566552901
159,0.66826779016666,0.44307748813726366,1.5082413529428362,0.06574638353564051,0.06890076427036064,0.12094464994639811,GN+C -> escoria,DEV,,
63,-0.7290368001810045,1.8447479423976076,-0.3951958874302794,0.6536508362280973,0.008592549923195084,0.07553770284527873,GN+C -> escoria,LB,,
222,0.3405725844045016,0.42186602253229344,0.8073003423223806,0.20974673342256922,0.12217194570135746,0.5301788053984805,GN -> polvo (control negativo de estabilidad),todo,0.13893053473263367,0.11604095563139932
159,0.23391393935438667,0.44536660317068966,0.5252166141086642,0.2997163083113029,0.07522689276331503,0.6188389802441565,GN -> polvo (control negativo de estabilidad),DEV,,
63,5.762211212926178,2.37495766606649,2.426237442147677,0.007628142526457776,0.338181643625192,0.14982402448943982,GN -> polvo (control negativo de estabilidad),LB,,
