forma,clave,target,n_parametros,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox
estructural,sn_dep,m6_ln_sn_dep,7,1083,242,0.34152553677813213,0.414105679235281,0.45760319603386934,0.41557640499696336
estructural,feo_ret,m6_ln_feo_ret,7,1083,242,0.13463439665203603,0.05305569567257267,0.27044594654544074,0.051055551027885754
