clave,delta_r2_media,ci_lo,ci_hi,n_batches
sn_dep,-0.1294041812135606,-0.20647808443408228,-0.0740550955613553,290
feo_ret,-0.008265514115713059,-0.03524274410808204,0.01652974922015296,290
