dep,muestra,variable,coef_1sd,p,ci_lo,ci_hi,n,r2adj
R_sum_m6_ln_feo_ret,dev,ley_sn_escoria_pct_prev,-0.20861606322596166,0.008896377900012511,-0.36491510898963925,-0.052317017462284066,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,ley_feo_escoria_pct_prev,-0.137001183328356,0.03452486235847095,-0.26402656345109343,-0.009975803205618583,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,basicidad_B2_prev,0.007296854700738306,0.2587899102339719,-0.005367743965436458,0.01996145336691307,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,indice_irf_prev,0.06170930019623152,0.00022592433282365914,0.028915282410414238,0.0945033179820488,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,temperatura_horno_celsius_prev,0.0039038965861319863,0.5918815757834663,-0.010368318101294755,0.018176111273558726,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,m6_masa_kg_prev,-0.15154329256008306,0.13052026815851908,-0.34797774894229855,0.04489116382213243,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,m6_sn_inv_kg_prev,0.09090805567597031,0.5203000020890469,-0.18624425185994392,0.36806036321188457,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,m6_feo_inv_kg_prev,0.11325573148503866,0.25774182370288734,-0.08288141303231757,0.3093928760023949,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,m6_avance_prev,-0.12531846560677756,0.3540586363315328,-0.39035309810256735,0.13971616688901223,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,cum_feed_Carbon_kg_prev,-0.07174190246126533,0.01377678177251597,-0.12883071594894743,-0.014653088973583216,295,0.17073345042163057
R_sum_m6_ln_feo_ret,dev,relacion_C_cum_Sn_cum_prev,0.07229328888272492,0.0475790077422508,0.0007716235918663883,0.14381495417358345,295,0.17073345042163057
R_sum_m6_ln_feo_ret,total,ley_sn_escoria_pct_prev,-0.19860043928083312,0.005137229238506662,-0.3377026218503326,-0.0594982567113336,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,ley_feo_escoria_pct_prev,-0.11509442204693156,0.06595549778583304,-0.23777769432449256,0.00758885023062944,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,basicidad_B2_prev,0.01104627783488881,0.05479687434376379,-0.00022708557387084334,0.022319641243648464,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,indice_irf_prev,0.06210183913250053,7.686590098657005e-06,0.03489472099352822,0.08930895727147284,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,temperatura_horno_celsius_prev,0.003731422397794375,0.6247467862272758,-0.011220416051016077,0.018683260846604828,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,m6_masa_kg_prev,-0.1279540156794212,0.18455952010335264,-0.3169625362166696,0.06105450485782718,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,m6_sn_inv_kg_prev,0.08455553848724505,0.3717656574404097,-0.10099216523653091,0.270103242211021,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,m6_feo_inv_kg_prev,0.08183845608707416,0.38258030221685035,-0.10186432365977136,0.26554123583391964,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,m6_avance_prev,-0.12059468013641839,0.2344733082092445,-0.319398906217949,0.07820954594511223,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,cum_feed_Carbon_kg_prev,-0.06829102420521618,0.008204475440619505,-0.11892316545861764,-0.017658882951814718,358,0.17871881254107036
R_sum_m6_ln_feo_ret,total,relacion_C_cum_Sn_cum_prev,0.05935836250446072,0.044278113185415045,0.0015193190249962532,0.1171974059839252,358,0.17871881254107036
R_sum_m6_ln_sn_dep,dev,ley_sn_escoria_pct_prev,0.894707739564147,0.0038053695936247156,0.2887369838765782,1.5006784952517158,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,ley_feo_escoria_pct_prev,0.11328978020255318,0.7205785017779047,-0.5074894703836969,0.7340690307888033,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,basicidad_B2_prev,0.044200698200394434,0.10415132531743906,-0.009109434663709677,0.09751083106449854,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,indice_irf_prev,-0.057617475479250474,0.386790208670177,-0.18810194826197832,0.07286699730347737,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,temperatura_horno_celsius_prev,-0.016393017134886063,0.6162792091345073,-0.08050748725064674,0.04772145298087461,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,m6_masa_kg_prev,0.5014124394912738,0.25926346044555204,-0.3697168657900717,1.3725417447726191,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,m6_sn_inv_kg_prev,-0.43528046498309814,0.5043489417380005,-1.7130724827543335,0.8425115527881373,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,m6_feo_inv_kg_prev,-0.14282116701749564,0.752371268770457,-1.0300216186218851,0.7443792845868937,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,m6_avance_prev,0.5315091638022713,0.36312222777629477,-0.6139739685056809,1.6769922961102235,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,cum_feed_Carbon_kg_prev,-0.0937052046273343,0.5158322577870615,-0.37635150863585093,0.18894109938118236,295,0.2109488744384025
R_sum_m6_ln_sn_dep,dev,relacion_C_cum_Sn_cum_prev,0.11328960275287259,0.5221994284723346,-0.23367580265812932,0.4602550081638745,295,0.2109488744384025
R_sum_m6_ln_sn_dep,total,ley_sn_escoria_pct_prev,0.7903376695798191,0.004538561906996666,0.2445346437706546,1.3361406953889836,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,ley_feo_escoria_pct_prev,0.13642504507841988,0.6567459839851538,-0.46524460178277394,0.7380946919396137,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,basicidad_B2_prev,0.043149473047905174,0.07400498907156479,-0.004187502548417481,0.09048644864422783,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,indice_irf_prev,-0.09726559024379453,0.0756793630691775,-0.20458663374783898,0.010055453260249939,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,temperatura_horno_celsius_prev,-0.0017870238048142174,0.9579415410230973,-0.06820166993117448,0.06462762232154605,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,m6_masa_kg_prev,0.43415488040012096,0.3303380645180739,-0.439996487717482,1.308306248517724,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,m6_sn_inv_kg_prev,-0.3082402519597661,0.5646757236457041,-1.3572571793530197,0.7407766754334874,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,m6_feo_inv_kg_prev,-0.09342348311331185,0.8311524816194389,-0.9521772721401865,0.7653303059135629,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,m6_avance_prev,0.49641326518129375,0.3483733558586314,-0.5411266309067229,1.5339531612693105,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,cum_feed_Carbon_kg_prev,-0.13288469760312174,0.3548819962512342,-0.41440232443122826,0.14863292922498475,358,0.22029090432799947
R_sum_m6_ln_sn_dep,total,relacion_C_cum_Sn_cum_prev,0.15841245133700582,0.31097582204737984,-0.14803235167021628,0.4648572543442279,358,0.22029090432799947
J_R_batch,dev,ley_sn_escoria_pct_prev,-1.0870854992993093,0.4622887712195617,-3.98559844295304,1.8114274443544216,295,0.19044909363051044
J_R_batch,dev,ley_feo_escoria_pct_prev,-2.0859902041908187,0.02306398826190877,-3.8851955234083624,-0.28678488497327526,295,0.19044909363051044
J_R_batch,dev,basicidad_B2_prev,0.2564313058475877,0.020530754720346746,0.03946812428611127,0.4733944874090642,295,0.19044909363051044
J_R_batch,dev,indice_irf_prev,0.9205299267368081,0.00026809008109107945,0.42545788589078926,1.4156019675828269,295,0.19044909363051044
J_R_batch,dev,temperatura_horno_celsius_prev,0.021355295924985022,0.8579721482259719,-0.21253225374377624,0.25524284559374627,295,0.19044909363051044
J_R_batch,dev,m6_masa_kg_prev,-1.2193596118935321,0.40349181935879574,-4.080141647393948,1.6414224236068828,295,0.19044909363051044
J_R_batch,dev,m6_sn_inv_kg_prev,0.34238537568374194,0.926630782641337,-6.945072319818591,7.629843071186075,295,0.19044909363051044
J_R_batch,dev,m6_feo_inv_kg_prev,1.5821997457424473,0.2945867044403251,-1.3765036822607646,4.540903173745659,295,0.19044909363051044
J_R_batch,dev,m6_avance_prev,-0.6702510840125075,0.8555383415012092,-7.885964749600099,6.545462581575084,295,0.19044909363051044
