dep,r2_oof,r2_lockbox,n_dev,n_lockbox
R_sum_m6_ln_feo_ret,0.06620046792546896,0.00605122628566257,295,63
R_sum_m6_ln_sn_dep,0.11862302018869375,0.12083083833266939,295,63
J_R_batch,0.024987830592089977,0.06952914360445461,295,63
recuperacion_refinada_pct,-0.057120219842170306,0.12844866618843198,296,63
