subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
DEV,recuperacion_refinada_pct,dist_total,298,-0.018586367566998496,-0.5168288051837326,0.4796560700497357,0.9417152198921415,0.941,-0.04141323060382732,0.4763383068303977,-0.0036822560645406455
DEV,recuperacion_refinada_pct,dist_F,297,-0.48529269793554564,-1.1131680929253776,0.14258269705428617,0.129802662346956,0.06,-0.09342310365335407,0.10810898038014082,0.006700595736398474
DEV,recuperacion_refinada_pct,dist_R,298,0.2714943970706723,-0.1334412175375584,0.676430011678903,0.18881808073555018,0.303,-0.004313985206807808,0.9408844315708973,-3.326427115823982e-05
DEV,recuperacion_refinada_pct,uplift_fisico_total_kg,298,0.15097477631048387,-0.3609625984463033,0.662912151067271,0.5632571012340357,0.564,-0.025356265333984992,0.6628748249261485,-0.002600645673913382
DEV,recuperacion_refinada_pct,uplift_batch_pp,298,0.3207763819069912,-0.10903429177747181,0.7505870555914542,0.1435328742384244,0.231,0.010197601340605737,0.8608418624536771,0.0013615835498572704
DEV,rendimiento_proxy_batch,dist_total,298,0.04687786473072053,-0.46505385262625154,0.5588095820876926,0.8575647739746357,0.859,-0.037820025497974995,0.5154573068892984,-0.0032517988677200904
DEV,rendimiento_proxy_batch,dist_F,297,-0.48022632628483536,-1.1300506807550832,0.16959802818541242,0.14749630749565334,0.078,-0.10151127259671694,0.08071531184312344,0.0064143262497019515
DEV,rendimiento_proxy_batch,dist_R,298,0.3488231416407131,-0.04874801089506059,0.7463942941764867,0.08549719691791699,0.193,0.004498089689276298,0.9383664999917984,0.0023829347097146236
DEV,rendimiento_proxy_batch,uplift_fisico_total_kg,298,0.20068336633466652,-0.2943577746096464,0.6957245072789795,0.42687856704819194,0.464,-0.02183470667017263,0.7073733306992984,-0.001510911174023688
DEV,rendimiento_proxy_batch,uplift_batch_pp,298,0.377079377215093,-0.013841002432641691,0.7679997568628276,0.05868188548072147,0.183,0.014188036087135321,0.8073033099247923,0.0032751061483591304
DEV,recuperacion_refinada_pct_next,dist_total,298,0.026519297448496015,-0.5989903080524627,0.6520289029494547,0.9337758143707734,0.93,-0.003397991224218116,0.9534204046442584,-0.0023017820447512882
DEV,recuperacion_refinada_pct_next,dist_F,297,-0.21703960098095756,-0.8515436916898745,0.41746448972795946,0.5025844955445922,0.38,-0.060498083714832174,0.29873003945837745,-0.001345880312632941
DEV,recuperacion_refinada_pct_next,dist_R,298,0.2292037906027992,-0.373839330578,0.8322469117835983,0.45630775990778694,0.363,-0.016602732681921237,0.7753202886868583,0.00029459936002429465
DEV,recuperacion_refinada_pct_next,uplift_fisico_total_kg,298,0.096235263045551,-0.6166143642482849,0.8090848903393868,0.7913201726968804,0.697,-0.03624062956363834,0.5331624742344127,-0.0018856076442606007
DEV,recuperacion_refinada_pct_next,uplift_batch_pp,298,0.23071797928274604,-0.4214956381834545,0.8829315967489466,0.48810280494793534,0.376,-0.04003562369928677,0.491142061757701,0.0003000642269475051
DEV,recuperacion_refinada_pct_media2,dist_total,298,0.003966464940750536,-0.38852256295896637,0.39645549284046744,0.9841971340871636,0.982,-0.02416684370442282,0.6777819349884345,0.013743973397735476
DEV,recuperacion_refinada_pct_media2,dist_F,297,-0.3511661494582509,-0.8454778254296511,0.14314552651314932,0.1638053283750257,0.07,-0.1122871001143503,0.053226575738449584,0.022301439220341224
DEV,recuperacion_refinada_pct_media2,dist_R,298,0.2503490938367344,-0.0789690877225604,0.5796672753960292,0.1362313285448005,0.187,0.001844899228874501,0.9747000689360588,0.0192575655863082
DEV,recuperacion_refinada_pct_media2,uplift_fisico_total_kg,298,0.12360501967801832,-0.36069727077774016,0.6079073101337769,0.6169148054312719,0.524,-0.02829014178967208,0.6266775886719325,0.015044622052064138
DEV,recuperacion_refinada_pct_media2,uplift_batch_pp,298,0.2757471805948686,-0.12000891392465945,0.6715032751143966,0.17205659545672292,0.162,-0.0014898378817866978,0.979567999273904,0.020359495600300703
DEV,f_dross,dist_total,298,-0.0041334488049932705,-0.008615576557835928,0.00034867894784938736,0.0706855754395608,0.037,-0.04294410647931412,0.46017702722836584,0.08620106997355614
DEV,f_dross,dist_F,297,-0.0010715008561804746,-0.005789592223401424,0.003646590511040474,0.6562351408768555,0.599,-0.007773024657193599,0.8938809949904519,0.07846413901531524
DEV,f_dross,dist_R,298,-0.003980524982045424,-0.008143963258534177,0.00018291329444332805,0.06095021549479048,0.06,-0.004856776008568354,0.9334626577741096,0.08618932119158074
DEV,f_dross,uplift_fisico_total_kg,298,-0.005073834911636907,-0.009335707104363765,-0.000811962718910049,0.019628624007640563,0.008,-0.08355856994609463,0.1501789199844991,0.09298087715409964
DEV,f_dross,uplift_batch_pp,298,-0.004789498097973512,-0.008877370850526266,-0.0007016253454207571,0.021655078247065244,0.022,-0.061095143074096636,0.2931596329093589,0.09130286528744458
DEV,f_polvo,dist_total,298,0.0036646701576860535,-0.00037326543205186673,0.007702605747423974,0.07527492526560366,0.067,0.1374013245976207,0.017634111831994568,0.0599916547968643
DEV,f_polvo,dist_F,297,0.0058737641190288485,0.0012195500989782395,0.010527978139079457,0.013378330883376584,0.001,0.16341376384264641,0.004752480223622954,0.07384729975340953
DEV,f_polvo,dist_R,298,0.00049229356563824,-0.0025738409041992597,0.0035584280354757393,0.7529980772482079,0.801,0.03525306090715888,0.5443865925075217,0.04865661168619706
DEV,f_polvo,uplift_fisico_total_kg,298,0.0030670012482902406,-0.0015595415053114266,0.007693544001891908,0.19384507348153912,0.103,0.1675912307475866,0.003714248908174124,0.0568787205852167
DEV,f_polvo,uplift_batch_pp,298,0.001018704325822538,-0.0022325085946610437,0.00426991724630612,0.539138286683168,0.61,0.10311306057957136,0.07552437700006721,0.04938352985075023
LOCKBOX,recuperacion_refinada_pct,dist_total,63,-0.19179524028028927,-1.4703612340310017,1.086770753470423,0.7687499180550719,,0.05256336405529954,0.682438961369176,0.04981513316905717
