orden_escalon_fase,policy,n,tasa_feed_Carbon_kg_min,tasa_gn_nm3_min,tasa_o2_nm3_min,tasa_aire_nm3_min,delta_tasa_feed_Carbon_kg_min_vs_hist,delta_tasa_gn_nm3_min_vs_hist,delta_tasa_o2_nm3_min_vs_hist,delta_tasa_aire_nm3_min_vs_hist
0,historica,357,61.11940691435929,27.97670728655182,28.434680829128528,119.75189979317928,0.0,0.0,0.0,0.0
0,horizonte,357,61.378635169744896,27.46033689799065,27.796118830713596,121.0490905788953,0.259228255385608,-0.516370388561171,-0.6385619984149322,1.297190785716026
0,miope,357,62.79035804894503,27.50329115146798,28.035175154350014,120.90805084194943,1.6709511345857422,-0.4734161350838413,-0.3995056747785135,1.1561510487701554
1,historica,357,31.452476930517552,24.41235061654653,23.17974694202601,118.55044007321202,0.0,0.0,0.0,0.0
1,horizonte,357,25.474461425877635,24.10418332418506,22.02421859355281,120.99943403901419,-5.978015504639917,-0.3081672923614711,-1.1555283484732009,2.448993965802174
1,miope,357,25.00117423261293,24.061402435959472,22.068803707136574,121.36010451100306,-6.451302697904623,-0.3509481805870571,-1.1109432348894366,2.8096644377910422
2,historica,357,12.080767015976258,18.812126172166323,12.128668613855865,119.75185392172843,0.0,0.0,0.0,0.0
2,horizonte,357,8.219967356591109,18.163727371248836,11.22857711619638,123.56332162779955,-3.8607996593851492,-0.6483988009174873,-0.9000914976594849,3.8114677060711273
2,miope,357,7.807442337262593,18.011025740968336,10.952243541962384,123.86696341963294,-4.273324678713665,-0.8011004311979875,-1.1764250718934814,4.115109497904513
3,historica,357,6.934149933479245,16.678600417572397,7.735824296223127,119.771444138694,0.0,0.0,0.0,0.0
3,horizonte,357,6.047944004723299,16.235968255539458,7.238938371864439,121.52862072986403,-0.8862059287559454,-0.44263216203293965,-0.49688592435868806,1.7571765911700368
3,miope,357,6.3189240625469205,16.05183342661893,7.229588176887292,122.11755721049639,-0.6152258709323242,-0.6267669909534668,-0.5062361193358349,2.3461130718023924
