fase,target,max_depth,learning_rate,max_iter,min_samples_leaf,r2_oof,r2_lockbox
Reducción,R_sn_dep,3,0.03,150,10,0.7656364118828689,0.8114721507186358
Reducción,R_sn_dep,3,0.03,150,20,0.7681437750975586,0.8122305528835789
Reducción,R_sn_dep,3,0.03,150,40,0.770783997421281,0.8138206164292486
Reducción,R_sn_dep,3,0.03,300,10,0.7632166969197816,0.8048973538671322
Reducción,R_sn_dep,3,0.03,300,20,0.7659943781576937,0.8098331211779032
Reducción,R_sn_dep,3,0.03,300,40,0.7688583193808332,0.810592296735211
Reducción,R_sn_dep,3,0.03,600,10,0.7579322506337106,0.7984863387732859
Reducción,R_sn_dep,3,0.03,600,20,0.7633444243848321,0.800559598022622
Reducción,R_sn_dep,3,0.03,600,40,0.7642190357255788,0.8060943061136259
Reducción,R_sn_dep,3,0.05,150,10,0.7644806306273272,0.8050665787530029
Reducción,R_sn_dep,3,0.05,150,20,0.7671733741761734,0.8110645952126545
Reducción,R_sn_dep,3,0.05,150,40,0.7686452989754018,0.8110875844059743
Reducción,R_sn_dep,3,0.05,300,10,0.7608932554787455,0.8023071266966663
Reducción,R_sn_dep,3,0.05,300,20,0.761859845643759,0.805455398536023
Reducción,R_sn_dep,3,0.05,300,40,0.7642856422857581,0.8066609975672261
Reducción,R_sn_dep,3,0.05,600,10,0.7524562015475421,0.7942836687304965
Reducción,R_sn_dep,3,0.05,600,20,0.7570301545382374,0.7949799817928136
Reducción,R_sn_dep,3,0.05,600,40,0.7558455760260743,0.7960425503359311
Reducción,R_sn_dep,3,0.1,150,10,0.7594478819993709,0.8049365593296991
Reducción,R_sn_dep,3,0.1,150,20,0.7612688405932232,0.8042255671894314
Reducción,R_sn_dep,3,0.1,150,40,0.7622921952929451,0.8035218192395566
Reducción,R_sn_dep,3,0.1,300,10,0.752293623520198,0.7915223124738068
Reducción,R_sn_dep,3,0.1,300,20,0.7567748554465284,0.7962462206070817
Reducción,R_sn_dep,3,0.1,300,40,0.7533476905778311,0.7944075103612782
Reducción,R_sn_dep,3,0.1,600,10,0.7432613178150111,0.7731711852794418
Reducción,R_sn_dep,3,0.1,600,20,0.7451873400343714,0.7874316753422287
Reducción,R_sn_dep,3,0.1,600,40,0.7430806573991927,0.7824110875249662
Reducción,R_sn_dep,4,0.03,150,10,0.761400793890784,0.8100130211236936
Reducción,R_sn_dep,4,0.03,150,20,0.7641688048635736,0.8139573471716535
Reducción,R_sn_dep,4,0.03,150,40,0.7681023361837835,0.8120753191289687
Reducción,R_sn_dep,4,0.03,300,10,0.7567457176975045,0.806214035293246
Reducción,R_sn_dep,4,0.03,300,20,0.7635744206873554,0.8103961647118945
Reducción,R_sn_dep,4,0.03,300,40,0.765661807908755,0.8103438264548664
Reducción,R_sn_dep,4,0.03,600,10,0.7511949628830265,0.7936752884430164
Reducción,R_sn_dep,4,0.03,600,20,0.757817674221809,0.804272472075328
Reducción,R_sn_dep,4,0.03,600,40,0.7581011199908163,0.8006092997663444
Reducción,R_sn_dep,4,0.05,150,10,0.7592902338937882,0.8086807791627539
Reducción,R_sn_dep,4,0.05,150,20,0.7645103140732703,0.8125958750865705
