Batch,n_pasos,n_validos,completo,suma_ln_sn_dep,ln_sn_dep_directo,error_ln_sn_dep,suma_ln_feo_ret,ln_feo_ret_directo,error_ln_feo_ret
AP0001,4,3,True,2.940393431109619,,,-0.27105234450156396,,
AP0002,4,4,True,2.9674403341626387,2.9673482967087987,9.203745384001039e-05,-0.37092612122217505,-0.37092612122217494,-1.1102230246251565e-16
AP0003,4,3,True,2.7690859583649843,,,-0.257090931050881,,
AP0004,4,3,True,3.1530424589801713,,,-0.25915336447686416,,
AP0005,4,4,True,2.463100194277727,2.46264627474936,0.00045391952836704164,-0.31267222764655994,-0.3126722276465599,-5.551115123125783e-17
AP0006,4,2,True,2.815628549805538,,,-0.2621250955429805,,
AP0007,4,4,True,3.137894694034078,3.1377765847973045,0.00011810923677346707,-0.2703577046798261,-0.2703577046798261,0.0
AP0008,4,4,True,2.8756856975056766,2.875202600015099,0.0004830974905773999,-0.26362923481279993,-0.2636292348128,5.551115123125783e-17
AP0009,4,3,True,3.1319925470260817,,,-0.2379191422681396,,
AP0010,4,4,True,3.965633828326795,3.9653030762534205,0.0003307520733746294,-0.33671776043499313,-0.33671776043499313,0.0
AP0011,4,4,True,2.158474059689207,2.1584740596892003,6.661338147750939e-15,-0.15523723597703773,-0.1552372359770377,-2.7755575615628914e-17
AP0012,4,3,True,3.508244809020669,,,-0.48020653825800463,,
AP0013,4,4,True,2.9008336069658656,2.9008214152874072,1.2191678458339794e-05,-0.40769253479864076,-0.4076925347986408,5.551115123125783e-17
AP0014,4,3,True,2.8882108396324027,,,-0.20635515620457937,,
AP0015,4,4,True,2.6656342004655476,2.6656294860134673,4.714452080278875e-06,-0.35544318259240354,-0.3554431825924035,-5.551115123125783e-17
AP0016,4,3,True,3.4849547279253548,,,-0.30675941915656224,,
AP0017,4,4,True,2.952464238115575,2.952451882697043,1.2355418531839746e-05,-0.2125529404673738,-0.21255294046737386,5.551115123125783e-17
AP0018,4,4,True,3.8212596931948997,3.821249359435596,1.0333759303815526e-05,-0.41391087439618796,-0.413910874396188,5.551115123125783e-17
AP0019,4,4,True,3.5965613365558413,3.574494828817706,0.022066507738135233,-0.34501451934092714,-0.3450145193409272,5.551115123125783e-17
AP0020,4,4,True,2.916132215990074,2.9161095078861,2.270810397408951e-05,-0.25331474007053556,-0.25331474007053556,0.0
AP0021,4,4,True,2.7333309963336863,2.7287057944734507,0.004625201860235517,-0.2708894374899904,-0.27088943748999034,-5.551115123125783e-17
AP0022,4,4,True,3.0656020319685786,3.065148677350426,0.00045335461815243505,-0.32051765671769133,-0.3205176567176912,-1.1102230246251565e-16
AP0023,4,4,True,2.536853861364701,2.5321693362954316,0.0046845250692695295,-0.21390301132034037,-0.2139030113203404,2.7755575615628914e-17
AP0024,4,4,True,2.746946040204248,2.746369472587186,0.0005765676170619294,-0.2661494586965266,-0.2661494586965266,0.0
AP0025,4,4,True,2.976699564095795,2.9762171355317197,0.0004824285640752102,-0.18370622567949033,-0.18370622567949035,2.7755575615628914e-17
AP0026,4,3,True,2.856597881253637,,,-0.2784871833353078,,
AP0027,4,4,True,2.6330509787820606,2.6284310901814947,0.004619888600565947,-0.37326009790548076,-0.3732600979054808,5.551115123125783e-17
AP0028,4,3,True,2.6903403644287707,,,-0.290472923244244,,
AP0029,4,3,True,2.8537527197625105,,,-0.3401820433964514,,
AP0030,4,4,True,2.117628986871369,2.117415028693692,0.00021395817767677627,-0.310607396057263,-0.31060739605726306,5.551115123125783e-17
AP0031,4,4,True,3.556702609286949,3.556386598477732,0.0003160108092168379,-0.4928670027248029,-0.49286700272480277,-1.1102230246251565e-16
AP0032,4,3,True,3.6685916760052386,,,-0.4680887768444568,,
AP0033,4,4,True,2.455753427105734,2.371727053953313,0.08402637315242112,-0.42015687021509207,-0.42015687021509207,0.0
AP0034,4,4,True,2.910943159533832,2.910557734583139,0.00038542495069293636,-0.2880815950554601,-0.28808159505546005,-5.551115123125783e-17
AP0035,4,4,True,3.2027404074980326,3.2023129695678114,0.00042743793022115284,-0.31674338376300804,-0.31674338376300787,-1.6653345369377348e-16
AP0036,4,3,True,2.8411588299763215,,,-0.36187885454553037,,
AP0037,4,4,True,3.057440839538842,3.055857895632641,0.001582943906201173,-0.2442474703143419,-0.24424747031434205,1.3877787807814457e-16
AP0038,4,4,True,3.145326540726545,3.1450642250063683,0.00026231572017687554,-0.40579378722847015,-0.40579378722847026,1.1102230246251565e-16
AP0039,4,3,True,3.2258234787930866,,,-0.47484239311609205,,
AP0040,4,4,True,2.1155710510504044,2.11511920262522,0.0004518484251843091,-0.25518248756257605,-0.2551824875625761,5.551115123125783e-17
AP0041,4,4,True,3.0759857953202228,3.0756604708933524,0.0003253244268703881,-0.3694359382673324,-0.3694359382673323,-1.1102230246251565e-16
