fase,target,n_estado,n_palancas,n_dev,n_lockbox,columna,forma,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,sn_dep,25,4,1764,375,m6_ln_sn_dep,PLM_v6,0.18950415500985063,0.13580438421016588,-0.6952822913274694,0.15772214293192982,0.21968651271472256,0.1598208193806257
Fusión,sn_dep,25,4,1764,375,m6_ln_sn_dep,HGB_estado+palancas_ref,0.18940718358292064,0.13620185126147566,-0.8885616267835992,0.16451039796168437,0.21968651271472256,0.1598208193806257
Fusión,sn_dep,24,4,1689,375,v5_ln_sn_dep,PLM_v5_ref,0.20146260121623172,0.14693619229532393,-0.27679900057278095,0.14715345022157783,0.24132825461443527,0.17704856763720628
Fusión,dT,8,4,1778,376,d_temperatura_horno_celsius,PLM_v6,0.40260079625501155,9.901477822289703,0.09161364506026215,7.495570163525452,17.607578652025236,9.859087220576441
Fusión,dT,8,4,1778,376,d_temperatura_horno_celsius,HGB_estado+palancas_ref,0.38168038957378914,10.136148490109344,0.06332673137114897,7.594171795961689,17.607578652025236,9.859087220576441
Fusión,dT,8,4,1778,376,d_temperatura_horno_celsius,PLM_v5_ref,0.3977668593084166,9.986708797887092,0.10204081117072095,7.488450888556459,17.607578652025236,9.859087220576441
Reducción,sn_dep,16,4,1083,242,m6_ln_sn_dep,PLM_v6,0.7666338458599705,0.2468836674717137,0.795210599287193,0.24491866327342493,0.6774580915027736,0.7294041717859885
Reducción,sn_dep,16,4,1083,242,m6_ln_sn_dep,HGB_estado+palancas_ref,0.7613213160472382,0.2505468600707524,0.8055538798813743,0.2373559615705224,0.6774580915027736,0.7294041717859885
Reducción,sn_dep,37,4,1015,242,v5_ln_sn_dep,PLM_v5_ref,0.7656281464705066,0.24436240175200716,0.802078997953702,0.22794953758225567,0.6781693340478023,0.7152165295134604
Reducción,feo_ret,16,5,1083,242,m6_ln_feo_ret,PLM_v6,0.33286945170220184,0.046592700567928885,0.48285253803446915,0.04217389876613161,0.07551236904772923,0.0776255391887328
Reducción,feo_ret,16,5,1083,242,m6_ln_feo_ret,HGB_estado+palancas_ref,0.3215786311415316,0.04702478078369426,0.43318927663671425,0.04400505345564584,0.07551236904772923,0.0776255391887328
Reducción,feo_ret,37,5,1015,242,v5_ln_feo_ret,PLM_v5_ref,0.16869395151246358,0.06426269717850894,0.19392129381183698,0.05390610986316793,0.10905280813016531,0.07775480378520355
Reducción,dT,6,4,1182,252,d_temperatura_horno_celsius,PLM_v6,0.46449811631129445,9.124105012791684,0.35064913365975847,7.07362413260144,17.53814689134719,11.29939684249102
Reducción,dT,6,4,1182,252,d_temperatura_horno_celsius,HGB_estado+palancas_ref,0.4535314326945128,9.213596005441033,0.351466385724328,6.966219626599988,17.53814689134719,11.29939684249102
Reducción,dT,6,4,1183,252,d_temperatura_horno_celsius,PLM_v5_ref,0.466266076905406,9.223860690454318,0.4646553945266043,6.399750909681872,17.534419817786862,11.29939684249102
