target,n_batches,rep,modelo,r2_oof,mae_oof,r2_lockbox,mae_lockbox,tiempo_s
R_sn_dep,50,0,PLM_v6,0.6833617933100037,0.2831697203592354,0.7677854920831826,0.2576720951777074,32.81974959373474
R_sn_dep,50,0,HGB_estado_palancas,0.6805853004720583,0.2824918180176962,0.7961784215788564,0.2381990655343597,2.4717001914978027
R_sn_dep,50,1,PLM_v6,0.7350440668556343,0.24926101583206112,0.7790954929807433,0.25570652647755376,34.27188467979431
R_sn_dep,50,1,HGB_estado_palancas,0.7387533671131649,0.24816042217735657,0.7756328427217264,0.26300493534753155,2.6358914375305176
R_sn_dep,50,2,PLM_v6,0.7150156910012893,0.303763390167551,0.7703328101046198,0.25972473922097467,34.193254470825195
R_sn_dep,50,2,HGB_estado_palancas,0.7205610462500364,0.3048333701705889,0.775133348549703,0.2574272850067716,2.530052423477173
R_sn_dep,100,0,PLM_v6,0.7268799253466911,0.2639268276219756,0.7795141299983125,0.254198575720402,51.45118498802185
R_sn_dep,100,0,HGB_estado_palancas,0.7192491167079105,0.26967439809003463,0.7732854314676271,0.2610492447127576,2.904262065887451
R_sn_dep,100,1,PLM_v6,0.7401737986184651,0.26384862460203257,0.7792735053632156,0.25712863266308733,39.09735345840454
R_sn_dep,100,1,HGB_estado_palancas,0.7335200171632746,0.2696511477160545,0.7765955887592526,0.25636336521835595,1.6840839385986328
R_sn_dep,100,2,PLM_v6,0.7253524589844649,0.2737008592951742,0.7837175027754109,0.2483841159897757,30.928027391433716
R_sn_dep,100,2,HGB_estado_palancas,0.718153214584818,0.2817104188149519,0.7839502019185542,0.24868634136211668,2.0933573246002197
R_sn_dep,150,0,PLM_v6,0.7542887531576303,0.26257264004160574,0.78888866542767,0.2516261130243938,32.18292570114136
R_sn_dep,150,0,HGB_estado_palancas,0.7490867009724169,0.26144822280070973,0.7819068375802218,0.259415694661981,2.1840553283691406
R_sn_dep,150,1,PLM_v6,0.7604009030136818,0.25033221798226896,0.80288765601592,0.23978029057654093,36.12604355812073
R_sn_dep,150,1,HGB_estado_palancas,0.755965178992275,0.2568099635030059,0.8100691493915528,0.23711794094382582,2.468672275543213
R_sn_dep,150,2,PLM_v6,0.7635901065157689,0.24958168348926812,0.809637948949154,0.23699443848217946,29.313392877578735
R_sn_dep,150,2,HGB_estado_palancas,0.7555602470194759,0.25328895267372337,0.792969229411888,0.2456468743966207,2.4005417823791504
R_sn_dep,200,0,PLM_v6,0.7425926699720939,0.2530095272321846,0.8014638534373408,0.23800196206738938,32.842867612838745
R_sn_dep,200,0,HGB_estado_palancas,0.7389963978597565,0.2579901707390783,0.7944650968792573,0.24381035002309231,1.7694239616394043
R_sn_dep,200,1,PLM_v6,0.7635923199039194,0.2465070272553834,0.7916194322320802,0.247643148967602,29.880404472351074
R_sn_dep,200,1,HGB_estado_palancas,0.7566823192702847,0.2545253016707649,0.7938711221762658,0.24537503474487599,1.8012607097625732
R_sn_dep,200,2,PLM_v6,0.7611990531714153,0.24959156359516582,0.8031594396899305,0.24224076152290439,29.006617307662964
R_sn_dep,200,2,HGB_estado_palancas,0.7594509493545533,0.249569391590587,0.8122391973425762,0.2372498447406976,1.780890703201294
R_sn_dep,250,0,PLM_v6,0.7712701719172652,0.24240168537690632,0.7970588447705715,0.23841198840485736,30.937279224395752
R_sn_dep,250,0,HGB_estado_palancas,0.7687527088351653,0.2433180290357981,0.7968914962420768,0.23971432029643172,1.947760820388794
R_sn_dep,250,1,PLM_v6,0.7749631185622861,0.23935566803131342,0.8081763441260222,0.2369191612004321,30.70108675956726
R_sn_dep,250,1,HGB_estado_palancas,0.7719683768657979,0.24174671860992575,0.8057578342262295,0.23572866235227768,1.866816520690918
R_sn_dep,250,2,PLM_v6,0.7688851831704083,0.24443551603082145,0.8088627781275847,0.2306122342470313,30.59530735015869
R_sn_dep,250,2,HGB_estado_palancas,0.7681395018732254,0.24609207878784617,0.8058443359647194,0.23522618866584016,1.6206769943237305
R_sn_dep,290,0,PLM_v6,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,28.226349115371704
R_sn_dep,290,0,HGB_estado_palancas,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,1.761073112487793
R_feo_ret,50,0,PLM_v6,0.1332370247688719,0.05135418520389908,0.31096889996781296,0.04946911787036972,18.648923635482788
R_feo_ret,50,0,HGB_estado_palancas,0.141731071972083,0.05075773773948137,0.34147573724616076,0.04800842385306965,0.8725614547729492
R_feo_ret,50,1,PLM_v6,0.2689159690562072,0.046971515775436776,0.3721009439445817,0.046738963030136374,17.60006070137024
R_feo_ret,50,1,HGB_estado_palancas,0.2667659688630246,0.047317842036304174,0.4165522180227961,0.044258442819304696,0.9808743000030518
