Batch,recuperacion_refinada_pct,sn_escoria_final_balance_kg,sn_perdido_escoria_frac,kpi_v6,sn_esc_v6_kg,sn_perdido_escoria_frac_v6,R_m6_masa_fin_kg,ley_fin_v3,ley_fin_v6,dif_ley_v3_v6,fila_distinta_v3_v6,dif_pp
AP0001,78.4385053607697,796.3485779603077,0.018508384841075212,78.64071033986585,685.7170003448534,0.01597821817594746,52440.884088777406,1.3076,1.3076,0.0,False,0.20220497909615176
AP0002,72.14314023686171,576.1362923318176,0.012486025663181152,72.19063927864686,545.7760683623598,0.011835846486388513,50746.26391095861,1.0755,1.0755,0.0,False,0.047499041785144414
AP0003,78.14326293566891,609.0177806995812,0.01274121688899599,78.17789001892547,587.8463098918545,0.012303739737489086,53533.03978616287,1.0981,1.0981,0.0,False,0.03462708325655228
AP0004,71.85093529025706,465.6256228462868,0.009294926102260353,71.81382046230394,491.5155214644565,0.009806677942670714,54347.138596246856,0.9044,0.9044,0.0,False,-0.03711482795311838
AP0005,70.15845553393244,930.1037536014294,0.020143505035051693,70.21515562703324,892.817455719934,0.019351612538742857,51391.09282909882,1.7373,1.7373,0.0,False,0.05670009310080104
AP0006,72.57614671931469,678.6855604213466,0.01485009014703452,72.62702802854899,646.6671679165142,0.014159426348097411,53083.82596589348,1.2182,1.2182,0.0,False,0.05088130923429901
AP0007,71.86118676988926,1484.4660926819697,0.030825936242922212,73.28451943678493,549.1720266758754,0.011629800375159156,51672.18918666498,2.8383,1.0628,1.7754999999999999,True,1.423332666895675
AP0008,58.92715260043539,472.3613603572748,0.010713250358837271,58.866782394668206,517.5787480263857,0.011726763518781658,48003.96475852213,1.0782,1.0782,0.0,False,-0.060370205767185325
AP0009,76.67768621035799,585.6787621781242,0.013738155711166941,76.96776404883029,425.00804884251096,0.01000704803045076,45387.44648040485,0.9364,0.9364,0.0,False,0.29007783847229973
AP0010,68.16148386572002,241.28980041543426,0.005022841249135539,68.20261303660348,212.32047030026843,0.004422464272777125,40988.5077799746,0.518,0.518,0.0,False,0.04112917088346535
AP0011,64.46025013766302,721.1070419461385,0.015724495309951295,64.54014123347467,664.3406243088409,0.01450459857541607,44098.28239686963,1.5065,1.5065,0.0,False,0.07989109581164655
AP0012,73.31810988860353,519.8102938399454,0.0115707510049197,73.48878655050835,415.4737631945807,0.0092697941880584,43946.87573456534,0.9454,0.9454,0.0,False,0.170676661904821
AP0013,63.40204397910659,929.4582839031673,0.018291719587582255,63.35356407660628,968.3418468692215,0.019042375540154085,44872.18938226235,2.158,2.158,0.0,False,-0.048479902500304206
AP0014,71.39812729827501,547.1630919792548,0.012164691478035719,71.55070246925989,451.24828444549786,0.010053723770535448,46737.264054427535,0.9655,0.9655,0.0,False,0.15257517098487483
AP0015,75.14929565234326,1064.8600297715104,0.022649676432698766,75.41231467011231,900.8858737742421,0.019228996040561087,45607.54689283866,1.9753,1.9753,0.0,False,0.2630190177690537
AP0016,72.3987505014677,451.00948186067507,0.010719677295681088,72.61077781318888,328.1539606206008,0.007822466419681309,46865.747018080656,0.7002,0.7002,0.0,False,0.2120273117211724
AP0017,69.0339560550024,785.353989938826,0.016316446559051533,69.09483784530802,742.942680187502,0.015448925425249517,46073.964662790815,1.6125,1.6125,0.0,False,0.06088179030561491
AP0018,69.61398865040907,342.35167963586304,0.007609626008057594,69.71234683035432,278.8756242341377,0.0062074694462316525,43717.76520365852,0.6379,0.6379,0.0,False,0.09835817994525087
AP0019,68.38198798518673,310.49382000056454,0.006875752002523764,68.45766167580464,260.5759999803756,0.005776729009738091,43378.7248177752,0.6007,0.6007,0.0,False,0.07567369061791851
AP0020,70.29318056956637,728.2180691416713,0.016790996813011046,70.50350566202384,598.8386050037844,0.013849125029365361,44269.87543459632,1.3527,1.3527,0.0,False,0.21032509245746667
AP0021,69.79018382328715,1052.6544457658135,0.024461343049862545,69.99575187113639,926.2712131686927,0.021587879099423803,51640.252727250525,1.7937,1.7937,0.0,False,0.20556804784924054
AP0022,57.322123227247275,384.60833704102447,0.007617151898984725,57.258934324558346,440.3299437464622,0.008711102710440665,50723.41248087343,0.8681,0.8681,0.0,False,-0.0631889026889283
AP0023,73.02108529158157,415.6462004838992,0.009478009403599162,73.0851338888434,377.21470757816564,0.008609198103392099,50537.87614927193,0.7464,0.7464,0.0,False,0.06404859726183076
AP0024,68.24465926788112,1096.1794857862615,0.0247632185340246,68.4059745843756,991.7901462482494,0.02245797396621587,52878.55332950786,1.8756,1.8756,0.0,False,0.1613153164944805
AP0025,70.25938653818,881.0802514260846,0.019300754130552288,70.40509649537077,786.6032020657096,0.017266895707165778,53321.800573868604,1.4752,1.4752,0.0,False,0.14570995719077473
AP0026,73.63430377036208,770.4614505089476,0.017828825506159416,73.80537742417202,670.2947645587384,0.015546959543096046,51537.34926639539,1.3006,1.3006,0.0,False,0.1710736538099411
