[estabilidad] FULL/sn_dep listo en 36.3s (r2 walkforward global=0.754)
[estabilidad] FULL/feo_ret listo en 38.9s (r2 walkforward global=0.233)
[estabilidad] CURADO/sn_dep listo en 20.9s (r2 walkforward global=0.743)
[estabilidad] CURADO/feo_ret listo en 30.7s (r2 walkforward global=0.232)
[estabilidad] libre_k20/sn_dep listo en 24.4s (r2 walkforward global=0.763)
[estabilidad] libre_k20/feo_ret listo en 29.9s (r2 walkforward global=0.267)
[estabilidad] libre_k16/sn_dep listo en 20.7s (r2 walkforward global=0.761)
[estabilidad] libre_k16/feo_ret listo en 25.3s (r2 walkforward global=0.261)
        config    clave  tercio                   palanca  theta_1sd   ci_lo   ci_hi      n        tabla  bloque  n_train  n_test  r2_bloque  r2_global_walkforward
35      CURADO   sn_dep     2.0                  Cx_sn_v6     0.3292  0.0786  0.6799  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
36      CURADO   sn_dep     2.0           tasa_gn_nm3_min     0.0583  0.0000  0.1317  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
37      CURADO   sn_dep     2.0  exceso_o2_combustion_pct    -0.0000 -0.0322 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
38      CURADO   sn_dep     2.0         tasa_aire_nm3_min    -0.0027 -0.0675  0.0240  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
39      CURADO  feo_ret     0.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0130 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
40      CURADO  feo_ret     0.0                  Cx_av_v6    -0.0000 -0.0000 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
41      CURADO  feo_ret     0.0           tasa_gn_nm3_min    -0.0069 -0.0184 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
42      CURADO  feo_ret     0.0  exceso_o2_combustion_pct     0.0000  0.0000  0.0040  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
43      CURADO  feo_ret     0.0         tasa_aire_nm3_min     0.0017  0.0000  0.0113  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
44      CURADO  feo_ret     1.0   tasa_feed_Carbon_kg_min    -0.0135 -0.0614 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
45      CURADO  feo_ret     1.0                  Cx_av_v6    -0.0201 -0.0543 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
46      CURADO  feo_ret     1.0           tasa_gn_nm3_min    -0.0084 -0.0206 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
47      CURADO  feo_ret     1.0  exceso_o2_combustion_pct     0.0068  0.0022  0.0124  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
48      CURADO  feo_ret     1.0         tasa_aire_nm3_min     0.0000  0.0000  0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
49      CURADO  feo_ret     2.0   tasa_feed_Carbon_kg_min    -0.0198 -0.0455 -0.0001  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
50      CURADO  feo_ret     2.0                  Cx_av_v6    -0.0000 -0.0004 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
51      CURADO  feo_ret     2.0           tasa_gn_nm3_min    -0.0197 -0.0334 -0.0032  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
52      CURADO  feo_ret     2.0  exceso_o2_combustion_pct     0.0000  0.0000  0.0099  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
53      CURADO  feo_ret     2.0         tasa_aire_nm3_min     0.0088  0.0000  0.0258  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
54   libre_k20   sn_dep     0.0                  Cx_sn_v6     0.0000  0.0000  0.0807  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
55   libre_k20   sn_dep     0.0           tasa_gn_nm3_min     0.0464  0.0000  0.1038  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
56   libre_k20   sn_dep     0.0  exceso_o2_combustion_pct    -0.0000 -0.0000 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
57   libre_k20   sn_dep     0.0         tasa_aire_nm3_min     0.0126 -0.0208  0.0407  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
58   libre_k20   sn_dep     1.0                  Cx_sn_v6     0.1361  0.0000  0.3271  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
59   libre_k20   sn_dep     1.0           tasa_gn_nm3_min     0.0279  0.0000  0.1032  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
60   libre_k20   sn_dep     1.0  exceso_o2_combustion_pct    -0.0285 -0.0574 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
61   libre_k20   sn_dep     1.0         tasa_aire_nm3_min     0.0445  0.0252  0.0662  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
62   libre_k20   sn_dep     2.0                  Cx_sn_v6     0.2443  0.0520  0.5285  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
63   libre_k20   sn_dep     2.0           tasa_gn_nm3_min     0.0482  0.0000  0.1104  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
64   libre_k20   sn_dep     2.0  exceso_o2_combustion_pct    -0.0000 -0.0299 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
65   libre_k20   sn_dep     2.0         tasa_aire_nm3_min    -0.0004 -0.0635  0.0219  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
66   libre_k20  feo_ret     0.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0025 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
67   libre_k20  feo_ret     0.0                  Cx_av_v6    -0.0000 -0.0000 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
68   libre_k20  feo_ret     0.0           tasa_gn_nm3_min    -0.0031 -0.0155 -0.0000  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
69   libre_k20  feo_ret     0.0  exceso_o2_combustion_pct     0.0009  0.0000  0.0075  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
70   libre_k20  feo_ret     0.0         tasa_aire_nm3_min     0.0006  0.0000  0.0095  362.0       tercio     NaN      NaN     NaN        NaN                    NaN
71   libre_k20  feo_ret     1.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0249 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
72   libre_k20  feo_ret     1.0                  Cx_av_v6    -0.0204 -0.0375 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
73   libre_k20  feo_ret     1.0           tasa_gn_nm3_min    -0.0000 -0.0112 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
74   libre_k20  feo_ret     1.0  exceso_o2_combustion_pct     0.0078  0.0024  0.0125  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
75   libre_k20  feo_ret     1.0         tasa_aire_nm3_min     0.0000  0.0000  0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
76   libre_k20  feo_ret     2.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0165 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
77   libre_k20  feo_ret     2.0                  Cx_av_v6    -0.0000 -0.0062 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
78   libre_k20  feo_ret     2.0           tasa_gn_nm3_min    -0.0103 -0.0229 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
79   libre_k20  feo_ret     2.0  exceso_o2_combustion_pct     0.0029  0.0000  0.0122  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
80   libre_k20  feo_ret     2.0         tasa_aire_nm3_min     0.0039  0.0000  0.0188  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
81   libre_k16   sn_dep     0.0                  Cx_sn_v6     0.0000  0.0000  0.1316  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
82   libre_k16   sn_dep     0.0           tasa_gn_nm3_min     0.0468  0.0000  0.0965  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
83   libre_k16   sn_dep     0.0  exceso_o2_combustion_pct    -0.0000 -0.0098 -0.0000  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
84   libre_k16   sn_dep     0.0         tasa_aire_nm3_min     0.0092 -0.0396  0.0396  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
85   libre_k16   sn_dep     1.0                  Cx_sn_v6     0.1872  0.0278  0.3395  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
86   libre_k16   sn_dep     1.0           tasa_gn_nm3_min     0.0000  0.0000  0.0549  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
87   libre_k16   sn_dep     1.0  exceso_o2_combustion_pct    -0.0343 -0.0621 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
88   libre_k16   sn_dep     1.0         tasa_aire_nm3_min     0.0510  0.0304  0.0700  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
89   libre_k16   sn_dep     2.0                  Cx_sn_v6     0.2854  0.0858  0.5846  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
90   libre_k16   sn_dep     2.0           tasa_gn_nm3_min     0.0301  0.0000  0.0987  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
91   libre_k16   sn_dep     2.0  exceso_o2_combustion_pct    -0.0159 -0.0547 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
92   libre_k16   sn_dep     2.0         tasa_aire_nm3_min     0.0095 -0.0515  0.0302  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
93   libre_k16  feo_ret     0.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0025 -0.0000  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
94   libre_k16  feo_ret     0.0                  Cx_av_v6    -0.0000 -0.0000 -0.0000  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
95   libre_k16  feo_ret     0.0           tasa_gn_nm3_min    -0.0084 -0.0189 -0.0003  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
96   libre_k16  feo_ret     0.0  exceso_o2_combustion_pct     0.0000  0.0000  0.0022  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
97   libre_k16  feo_ret     0.0         tasa_aire_nm3_min     0.0015  0.0000  0.0127  363.0       tercio     NaN      NaN     NaN        NaN                    NaN
98   libre_k16  feo_ret     1.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0373 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
99   libre_k16  feo_ret     1.0                  Cx_av_v6    -0.0227 -0.0360 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
100  libre_k16  feo_ret     1.0           tasa_gn_nm3_min    -0.0000 -0.0088 -0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
101  libre_k16  feo_ret     1.0  exceso_o2_combustion_pct     0.0090  0.0031  0.0140  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
102  libre_k16  feo_ret     1.0         tasa_aire_nm3_min     0.0000  0.0000  0.0000  355.0       tercio     NaN      NaN     NaN        NaN                    NaN
103  libre_k16  feo_ret     2.0   tasa_feed_Carbon_kg_min    -0.0000 -0.0092 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
104  libre_k16  feo_ret     2.0                  Cx_av_v6    -0.0000 -0.0002 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
105  libre_k16  feo_ret     2.0           tasa_gn_nm3_min    -0.0065 -0.0167 -0.0000  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
106  libre_k16  feo_ret     2.0  exceso_o2_combustion_pct     0.0040  0.0000  0.0123  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
107  libre_k16  feo_ret     2.0         tasa_aire_nm3_min     0.0031  0.0000  0.0161  365.0       tercio     NaN      NaN     NaN        NaN                    NaN
108       FULL   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    186.0   179.0     0.6961                 0.7541
109       FULL   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    365.0   176.0     0.7782                 0.7541
110       FULL   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    541.0   184.0     0.7062                 0.7541
111       FULL   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    725.0   181.0     0.7692                 0.7541
112       FULL   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    906.0   152.0     0.8321                 0.7541
