Batch,n_validos,sum_sn,sum_feo,tele_sn,tele_feo,feed_sn_R,err_sn,err_feo
AP0001,3,2.940393431109619,-0.27105234450156396,,,46.8097926411415,,
AP0002,4,2.9674403341626387,-0.37092612122217505,2.96735816382809,-0.37092612122217494,176.6305745773069,8.217033454860356e-05,-1.1102230246251565e-16
AP0003,3,2.7690859583649843,-0.257090931050881,,,70.39585525196446,,
AP0004,3,3.1530424589801713,-0.25915336447686416,,,84.70315902846107,,
AP0005,4,2.463100194277727,-0.31267222764655994,2.4627341696048086,-0.3126722276465599,66.3776930899241,0.0003660246729184635,-5.551115123125783e-17
AP0006,2,2.815628549805538,-0.2621250955429805,,,367.9712297725853,,
AP0007,4,3.137894694034078,-0.2703577046798261,3.1377986979885084,-0.2703577046798261,128.77003386884687,9.599604556953523e-05,0.0
AP0008,4,2.8756856975056766,-0.26362923481279993,2.875261078460308,-0.2636292348128,8.409775411456808,0.0004246190453685017,5.551115123125783e-17
AP0009,3,3.1319925470260817,-0.2379191422681396,,,909.7303827441808,,
AP0010,4,3.965633828326795,-0.33671776043499313,3.9653108968790485,-0.33671776043499313,155.9716929046967,0.00032293144774664384,0.0
AP0011,4,2.158474059689207,-0.15523723597703773,2.1584740596892025,-0.1552372359770377,464.30670696955235,4.440892098500626e-15,-2.7755575615628914e-17
AP0012,3,3.508244809020669,-0.48020653825800463,,,265.5558733526623,,
AP0013,4,2.9008336069658656,-0.40769253479864076,2.9008281254312007,-0.4076925347986408,321.31239974688333,5.481534664841803e-06,5.551115123125783e-17
AP0014,3,2.8882108396324027,-0.20635515620457937,,,207.62832020505866,,
AP0015,4,2.6656342004655476,-0.35544318259240354,2.665630538601212,-0.3554431825924035,837.9781745106246,3.6618643357577696e-06,-5.551115123125783e-17
AP0016,3,3.4849547279253548,-0.30675941915656224,,,463.9434986572395,,
AP0017,4,2.952464238115575,-0.2125529404673738,2.9524537420621177,-0.21255294046737386,558.336838070823,1.0496053457043075e-05,5.551115123125783e-17
AP0018,4,3.8212596931948997,-0.41391087439618796,3.821251202071193,-0.413910874396188,67.29246632137907,8.491123706821924e-06,5.551115123125783e-17
AP0019,4,3.5965613365558413,-0.34501451934092714,3.576209984905822,-0.3450145193409272,598.201466422018,0.02035135165001911,5.551115123125783e-17
AP0020,4,2.916132215990074,-0.25331474007053556,2.916111829496476,-0.25331474007053556,159.05736105053478,2.0386493598145705e-05,0.0
AP0021,4,2.7333309963336863,-0.2708894374899904,2.729516718114094,-0.27088943748999034,199.1561686441103,0.0038142782195924596,-5.551115123125783e-17
AP0022,4,3.0656020319685786,-0.32051765671769133,3.06520174162207,-0.3205176567176912,285.3477516936277,0.00040029034650856943,-1.1102230246251565e-16
AP0023,4,2.536853861364701,-0.21390301132034037,2.5326147549607296,-0.2139030113203404,15.639417952388992,0.004239106403971515,2.7755575615628914e-17
AP0024,4,2.746946040204248,-0.2661494586965266,2.746448196595308,-0.2661494586965266,452.9357432281375,0.0004978436089397853,0.0
AP0025,4,2.976699564095795,-0.18370622567949033,2.976255291001478,-0.18370622567949035,2878.8757765503415,0.00044427309431682716,2.7755575615628914e-17
AP0026,3,2.856597881253637,-0.2784871833353078,,,1224.7762010372385,,
AP0027,4,2.6330509787820606,-0.37326009790548076,2.6293160324999225,-0.3732600979054808,228.46457868412088,0.0037349462821381074,5.551115123125783e-17
