target,modelo,a_asintota,b,n_max,r2_oof_n_max,gap_asintota
R_feo_ret,HGB_estado_palancas,0.3033187496374909,-5.397648793306317,290,0.3052284496693173,-0.001909700031826389
R_feo_ret,PLM_v6,0.3245902970796164,-6.210164741790674,290,0.3293346891031186,-0.004744392023502186
R_sn_dep,HGB_estado_palancas,0.7709022641532152,-3.1530905047891666,290,0.7587415782105952,0.012160685942619986
R_sn_dep,PLM_v6,0.7779339843981725,-3.532222685467397,290,0.7652489876932658,0.012684996704906748
