rep,Batch,policy,J_batch
0,AP0300,historica,-1853.5704792947445
0,AP0300,miope,-1581.98504438896
0,AP0300,horizonte,-1797.661545503965
0,AP0301,historica,-2275.3076918584097
0,AP0301,miope,-1993.054410979355
0,AP0301,horizonte,-1993.054410979355
0,AP0302,historica,-1431.1564783644612
0,AP0302,miope,-1084.709818761301
0,AP0302,horizonte,-1084.709818761301
0,AP0303,historica,-1983.844329603845
0,AP0303,miope,-1754.4828953477688
0,AP0303,horizonte,-1754.4828953477688
0,AP0304,historica,-2442.2684651148297
0,AP0304,miope,-2441.2099752416316
0,AP0304,horizonte,-2278.9055018786185
0,AP0305,historica,-1399.5315684374932
0,AP0305,miope,-1513.9663420714073
0,AP0305,horizonte,-1460.6697361559477
0,AP0306,historica,-1741.2611614305724
0,AP0306,miope,-1482.3076782733433
0,AP0306,horizonte,-1482.3076782733433
0,AP0307,historica,-1874.7670417126806
0,AP0307,miope,-1721.6922356206978
0,AP0307,horizonte,-1721.6922356206978
0,AP0308,historica,-2320.5631065020343
0,AP0308,miope,-1804.7418270349494
0,AP0308,horizonte,-1804.7418270349494
0,AP0309,historica,-2148.688613110217
0,AP0309,miope,-1723.1514354439878
0,AP0309,horizonte,-1723.1514354439878
0,AP0310,historica,-2402.05856009254
0,AP0310,miope,-2400.9144694884662
0,AP0310,horizonte,-2400.9144694884662
0,AP0311,historica,-1482.3651021224941
0,AP0311,miope,-1214.3468876285963
0,AP0311,horizonte,-1154.526903134998
0,AP0312,historica,-2710.47865726126
0,AP0312,miope,-2534.3554294195733
0,AP0312,horizonte,-2534.3554294195733
0,AP0313,historica,-1721.5875350769409
0,AP0313,miope,-1448.9576637574692
0,AP0313,horizonte,-1448.9576637574692
0,AP0314,historica,-1424.7232596235906
0,AP0314,miope,-1373.882724768459
0,AP0314,horizonte,-1373.882724768459
0,AP0315,historica,-2366.584289359382
0,AP0315,miope,-2280.1185741245645
0,AP0315,horizonte,-2280.1185741245645
0,AP0316,historica,-1705.9255383244708
0,AP0316,miope,-1699.4812337577812
0,AP0316,horizonte,-1699.4812337577812
0,AP0317,historica,-2163.3968899908823
0,AP0317,miope,-2025.9945920209825
0,AP0317,horizonte,-2025.9945920209825
0,AP0318,historica,-2249.9014844242365
0,AP0318,miope,-2189.5038336149296
0,AP0318,horizonte,-2189.5038336149296
0,AP0319,historica,-2369.459765299472
0,AP0319,miope,-2319.073888348255
0,AP0319,horizonte,-2319.073888348255
0,AP0320,historica,-2145.7941600400554
0,AP0320,miope,-2180.0704426383336
0,AP0320,horizonte,-2004.734267530404
0,AP0321,historica,-1819.6428001068853
0,AP0321,miope,-1805.1840378979248
0,AP0321,horizonte,-1819.6428001068853
0,AP0322,historica,-2023.1845863590333
0,AP0322,miope,-1828.3130113334591
0,AP0322,horizonte,-1828.3130113334591
0,AP0323,historica,-2138.372773178149
0,AP0323,miope,-2095.144589009718
0,AP0323,horizonte,-2106.6480163333235
0,AP0324,historica,-2280.7361929859544
0,AP0324,miope,-2301.3006176629883
0,AP0324,horizonte,-2301.3006176629883
0,AP0325,historica,-1459.5178529580955
0,AP0325,miope,-1404.6862991880475
0,AP0325,horizonte,-1404.6862991880475
