variable,orden_escalon_fase,n,r2,mae,sesgo,sesgo_pct
Sn_inv_kg,0,293,0.6869112930992176,482.6081889646454,-171.80039279230627,-7.040825877025782
Sn_inv_kg,1,291,0.318729291905926,237.9836386290728,-35.72463848470849,-2.81158208200558
Sn_inv_kg,2,290,0.21747035643604795,236.1364332904161,72.75198854065148,8.179499207536114
Sn_inv_kg,3,199,0.11565042252202662,238.57885105229226,46.71211352005963,6.005615317002553
FeO_inv_kg,0,293,0.8933884422292915,403.23240677964253,1.9498114753001703,0.016633879241220503
FeO_inv_kg,1,291,0.831451246987974,501.8700490037973,-157.4968181430325,-1.436028638257666
FeO_inv_kg,2,290,0.7290677104199903,619.4330555999611,-218.22397146513222,-2.123079810363312
FeO_inv_kg,3,199,0.6599281143051333,755.7382733321456,-463.9620547023385,-4.6640630463703205
T_celsius,0,294,0.9727256593923664,7.892880786257035,-0.1217901431498376,-0.011344220268873391
T_celsius,1,294,0.9488793152254095,11.933507806600861,1.3881092332843599,0.131016516293103
T_celsius,2,294,0.9104507621204229,16.890520229738172,3.8890499637313085,0.36985466852479315
T_celsius,3,294,0.898366198734474,18.056651567500694,4.923679827683177,0.4681167806657227
masa_kg,0,293,0.9108008324223674,982.4376687800977,-331.1633039864838,-0.542397655128909
masa_kg,1,291,0.9493041797226245,773.8242018004978,-322.9583033052974,-0.5533365198243487
masa_kg,2,290,0.9318595794592172,861.2618065490889,-261.97723876111866,-0.46150911101973374
masa_kg,3,199,0.9277632912613747,962.161801412739,-546.4064957688056,-0.9773451384763852
