fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__m6_dosis_C_sn,derivada__m6_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,3.294660545117927,1.4799367868146334,1.0970714235816013,1.8628021500476655,-0.18197036156279606,-0.25560972096030365,-0.10833100216528846,-4.042279516198017,-18.799560024254994,10.715000991858957,954.0510209040608,0.06801499588496557,-5.317912998767342,0.30299839894395225,0.007891585169898793,0.0,-37.32763803108292,-0.0,-731.6916486533271,2671.3228986200834,-2581.7038677759033,-867.9198529920424,-1547.3201088322721
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,5.916107315446935,1.4971576461012304,1.1142922828681983,1.8800230093342625,-0.18197833856602866,-0.2556176979635363,-0.10833897916852106,-3.924979522354973,-18.68226003041195,10.832300985702002,954.1683208979039,0.07635083950471451,-5.317912998767342,0.5440836832848472,0.014170644931324689,0.0,-41.25980818657643,-0.0,-715.0199614138293,2702.406980153873,-2581.8170414813467,-867.9198529920425,-1503.6096839199217
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,8.537554085775941,1.5143785053878274,1.1315131421547953,1.8972438686208595,-0.18198631556926126,-0.25562567496676886,-0.10834695617175366,-3.8076795285119287,-18.564960036568905,10.949600979545046,954.2856208917469,0.08560971757258623,-5.317912998767342,0.7851689676257422,0.020449704692750578,0.0,-45.19197834206994,-0.0,-696.5022052780859,2733.4910616876628,-2581.9302151867896,-867.9198529920424,-1458.053190111325
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,11.15900085610495,1.5315993646744244,1.1487340014413923,1.9144647279074565,-0.18199429257249386,-0.25563365197000143,-0.10835493317498626,-3.6903795346688852,-18.44766004272586,11.06690097338809,954.40292088559,0.09585480049075847,-5.317912998767342,1.0262542519666376,0.02672876445417648,0.0,-49.12414849756345,-0.0,-676.0120394417414,2764.5751432214524,-2582.0433888922325,-867.9198529920423,-1410.5242866021272
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,13.780447626433958,1.5488202239610211,1.165954860727989,1.9316855871940533,-0.18200226957572646,-0.25564162897323406,-0.10836291017821886,-3.573079540825841,-18.330360048882817,11.184200967231135,954.520220879433,0.10715263302881624,-5.317912998767342,1.2673395363075326,0.033007824215602374,0.0,-53.05631865305696,-0.0,-653.4163743656259,2795.659224755242,-2582.1565625976755,-867.9198529920424,-1360.8898838531586
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,16.401894396762966,1.5660410832476181,1.183175720014586,1.9489064464806503,-0.1820102465789591,-0.2556496059764667,-0.10837088718145149,-3.4557795469827974,-18.213060055039772,11.30150096107418,954.637520873276,0.11956209886237457,-5.317912998767342,1.5084248206484276,0.03928688397702827,0.0,-56.98848880855047,-0.0,-628.5974426985091,2826.743306289032,-2582.269736303119,-867.9198529920424,-1309.032214513189
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,19.02334116709197,1.583261942534215,1.2003965793011828,1.966127305767247,-0.18201822358219166,-0.25565758297969926,-0.10837886418468407,-3.338479553139753,-18.095760061196728,11.418800954917224,954.7548208671191,0.13312944954406938,-5.317912998767342,1.7495101049893225,0.045565943738454164,0.0,-60.92065896404398,-0.0,-601.4627413351194,2857.827387822821,-2582.3829100085613,-867.9198529920424,-1254.858775476946
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,21.64478793742098,1.600482801820812,1.2176174385877798,1.983348165053844,-0.18202620058542426,-0.25566555998293183,-0.10838684118791667,-3.221179559296709,-17.978460067353684,11.536100948760266,954.8721208609621,0.1478818803494043,-5.317912998767342,1.9905953893302177,0.05184500349988006,0.0,-64.8528291195375,-0.0,-571.9578797244496,2888.9114693566107,-2582.4960837140047,-867.9198529920423,-1198.3151761934234
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,24.266234707749987,1.617703661107409,1.2348382978743768,2.0005690243404413,-0.18203417758865686,-0.25567353698616446,-0.10839481819114927,-3.1038795654536653,-17.86116007351064,11.65340094260331,954.9894208548052,0.16381938790385334,-5.317912998767342,2.231680673671113,0.05812406326130596,0.0,-68.78499927503101,-0.0,-540.0828646155516,2919.9955508904004,-2582.6092574194477,-867.9198529920425,-1139.401423411672
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,26.887681478078996,1.634924520394006,1.2520591571609738,2.0177898836270383,-0.1820421545918895,-0.2556815139893971,-0.1084027951943819,-2.986579571610621,-17.7438600796676,11.770700936446355,955.1067208486483,0.18099685504908392,-5.317912998767342,2.472765958012008,0.06440312302273185,0.0,-72.71716943052452,-0.0,-505.7279303250904,2951.0796324241905,-2582.722431124891,-867.9198529920425,-1078.007751448358
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,29.509128248408004,1.652145379680603,1.2692800164475708,2.0350107429136353,-0.18205013159512207,-0.25568949099262966,-0.10841077219761447,-2.8692795777675775,-17.626560085824554,11.888000930289397,955.2240208424913,0.2007587102372974,-5.317912998767342,2.713851242352903,0.07068218278415775,0.0,-76.64933958601804,-0.0,-466.2042199486635,2982.1637139579802,-2582.8356048303335,-867.9198529920425,-1011.4453033990774
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,32.130575018737005,1.6693662389671997,1.2865008757341676,2.052231602200232,-0.18205810859835467,-0.25569746799586224,-0.10841874920084707,-2.7519795839245336,-17.50926009198151,12.005300924132442,955.3413208363344,0.2220560803702375,-5.317912998767342,2.9549365266937975,0.07696124254558363,0.0,-80.58150974151154,-0.0,-423.6094796827833,3013.2477954917695,-2582.9487785357765,-867.9198529920423,-941.8118254603442
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,34.75202178906601,1.6865870982537967,1.3037217350207646,2.069452461486829,-0.18206608560158727,-0.25570544499909487,-0.10842672620407967,-2.6346795900814897,-17.391960098138465,12.122600917975486,955.4586208301773,0.24458130468642678,-5.317912998767342,3.1960218110346927,0.08324030230700953,0.0,-84.51367989700505,-0.0,-378.5590310504047,3044.331877025559,-2583.06195224122,-867.9198529920424,-869.7226391551128
Reducción,AP0273,0.7500753200469413,tasa_feed_Carbon_kg_min,37.37346855939502,1.7038079575403935,1.3209425943073614,2.086673320773426,-0.1820740626048199,-0.2557134220023275,-0.1084347032073123,-2.5173795962384453,-17.27466010429542,12.23990091181853,955.5759208240204,0.2680485069490376,-5.317912998767342,3.4371070953755876,0.08951936206843542,0.0,-88.44585005249857,-0.0,-331.6246265251831,3075.4159585593484,-2583.1751259466632,-867.9198529920425,-795.749496957039
