parametro,valor,ci_lo,ci_hi,excluye_0
eta_C,4.999999999999999,4.9999999382248745,4.999999999999999,True
gamma_GN,4.999999999999999,4.999999783719471,4.999999999999999,True
Ea,-1686.0630298115973,-2111.7341969611157,-774.7811536678515,True
kappa0,3.4211475970295666,3.3124805297836333,3.5537980794239497,True
kappa1,1.6335779343466068,1.124380880402722,2.1024247713515303,True
epsilon,0.020847604410551748,0.01820594206374252,0.023221574552697837,True
delta0,0.05043845789756365,0.04526904419762654,0.055648842884589364,True
