n_escalones,uplift_fisico_fusion_kg,uplift_fisico_reduccion_kg,uplift_fisico_total_kg,uplift_J_total_kg,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,R_sdi_pred_hist,R_sdi_pred_rec,R_d_sn_dep_pred,R_d_feo_ret_pred,F_d_sn_dep_pred,Batch,es_lockbox,fold,dist_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_gn_nm3_min,dir_Fusión_tasa_gn_nm3_min,dist_Fusión_tasa_o2_nm3_min,dir_Fusión_tasa_o2_nm3_min,dist_Fusión_tasa_aire_nm3_min,dir_Fusión_tasa_aire_nm3_min,dist_F,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dir_Reducción_tasa_aire_nm3_min,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2,J_R_temprano_hist_pp,J_R_tardio_hist_pp,J_F_inicial_hist_pp,J_F_final_hist_pp,J_R_hist_pp,J_F_hist_pp,J_batch_hist_pp,J_batch_hist_kg,J_R_temprano_rec_pp,J_R_tardio_rec_pp,J_F_inicial_rec_pp,J_F_final_rec_pp,J_R_rec_pp,J_F_rec_pp,J_batch_rec_pp,J_batch_rec_kg,uplift_batch_pp,uplift_batch_kg
10,61.85092663284718,31.980569796664938,93.83149642951211,90.42986468303695,60.0,0.23590902917364726,0.2540624769409403,1.3229762741131013,1.342215090125792,-0.008049864245761484,0.004480899878235203,-0.04442745974942275,AP0001,False,0,0.4759782915203745,-0.4759782915203745,0.7710745484597022,0.7710745484597022,0.7823980094238777,0.7823980094238777,0.03811370176206448,-0.007364184015074211,0.5168911377915048,0.07324506809455,-0.005957177691685987,0.06606923444256496,-0.03315599559339037,0.05076701845511268,0.0395245700629345,0.17539646497113337,0.17539646497113337,0.09136944649084025,0.3041302921411725,79.91765201995008,78.4385053607697,67.62373749669,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,0.008429022004681047,2026-04-21 18:36:00,1,72.14314023686171,75.2908227988157,73.05531072136027,76.48648137065518,67.26438959007012,67.44406354338005,3.535842055465195,0.29152830554400644,-1.0546137208648019,-0.9821404568772472,3.8273703610092014,-2.0367541777420493,1.790616183267152,917.6907939244154,3.5515824748022444,0.33144578093167165,-1.0527346414592604,-0.9582516096281235,3.8830282557339157,-2.010986251087384,1.8720420046465316,959.4215273813475,0.08142582137937948,41.730733456931986
10,0.0,6.418017688253462,6.418017688253462,6.418017688253599,10.0,0.17597065122772865,0.17606252961854546,1.1671144650587209,1.1723061830370642,0.003940213485212285,0.00020550155880640075,0.0,AP0002,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016821972600716002,0.016821972600716002,0.00822830971229338,0.00822830971229338,0.002810612098044518,-0.002810612098044518,0.03607431154076871,0.03607431154076871,0.015983801487955654,0.007991900743977827,73.05531072136027,72.14314023686171,67.26438959007012,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,0.0025644468226412665,2026-04-22 03:22:00,2,78.14326293566891,75.14320158626532,79.15175258246624,76.10353165191326,74.59717483983012,70.93078221495011,3.1643805697567764,0.21208157765810332,-1.1303275623909066,-1.105973261861536,3.3764621474148795,-2.2363008242524423,1.1401613231624372,584.332678120749,3.1643805697567764,0.22710121776945044,-1.1303275623909066,-1.105973261861536,3.3914817875262266,-2.2363008242524423,1.1551809632737844,592.0302436778145,0.015019640111347154,7.697565557065417
10,0.0,133.17300660120077,133.17300660120077,133.1730066012002,40.0,0.2714605849132924,0.2782218889476635,0.43806289031371537,0.5171992524823915,5.471460914630022e-05,0.012985492210103401,0.0,AP0003,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234482969449837,-0.1594097669980882,0.11662940640180203,-0.01824966446654812,0.136801830526151,0.136801830526151,0.128710424937685,0.12160486553277773,0.15415615782886877,0.07707807891443438,79.15175258246624,78.14326293566891,74.59717483983012,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,0.034214071363375904,2026-04-22 12:29:00,3,71.85093529025706,74.99709911296299,72.52505027310832,75.83840142778729,71.4049721091537,73.0010734744919,1.9072685725135874,-0.6399526308360087,-0.994358638905928,-1.0425004744328468,1.2673159416775788,-2.0368591133387746,-0.7695431716611958,-394.39087547636285,2.013126443420735,-0.5168690059891763,-0.994358638905928,-1.0425004744328468,1.4962574374315587,-2.0368591133387746,-0.5406016759072159,-277.0583589024481,0.22894149575397993,117.33251657391472
10,0.0,31.389239710517828,31.389239710517828,26.754364664255718,30.0,0.2955400804438977,0.2961833231395395,1.1786503388244591,1.1887428825469466,-0.00691160963493509,0.0027921434084437827,0.0,AP0004,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13207515761382327,-0.13207515761382327,0.11979191461797703,-0.04007890698719399,0.07003034545228716,0.05838383884184521,0.03719397472153768,0.03267631578567588,0.08977284810140627,0.04488642405070314,72.52505027310832,71.85093529025706,71.4049721091537,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,0.0022026860074982227,2026-04-22 21:08:00,4,70.15845553393244,71.00469541209475,71.60074551166002,72.06289789238417,66.48723551500777,68.94610381208074,3.774432998166027,-0.364597567946867,-1.0215584463659138,-1.0708549944478218,3.4098354302191605,-2.092413440813736,1.3174219894054247,675.1787695702801,3.7850846189952954,-0.34605145978697865,-1.0215584463659138,-1.0708549944478218,3.4390331592083165,-2.092413440813736,1.3466197183945807,690.1426056772226,0.02919772898915607,14.963836106942486
10,16.497062393824194,132.64487971561584,149.14194210944004,149.14194210944004,30.0,0.20692759261316834,0.23973299702179252,1.4519799248132155,1.5521278533168439,0.13861845372870513,-0.006316999215940401,-0.016649308919080008,AP0005,False,3,0.08334204077891226,-0.08334204077891226,0.030066483875024516,-0.030066483875024516,0.01646745736279945,0.01646745736279945,0.0011588710176631929,-0.0011588710176631929,0.03275871325859985,0.20158626357352746,0.047686347421979386,0.4281798341681753,0.3616913860971256,0.07429239786123426,0.07429239786123426,1.117152272427531,1.1135904092664421,0.45530269200761697,0.24403070263310842,71.60074551166002,70.15845553393244,66.48723551500777,0.7160074551166002,0.12240181182456374,0.16159073305883612,41.43282990669513,299.99971591319826,48723.45759162705,1249.450937337607,0.014676235221650857,3.483878779855645e-21,2026-04-23 05:45:00,5,72.57614671931469,71.36730112662357,73.67015516465584,72.63545033815794,66.61048864864914,66.54886208182845,2.3019350032908075,1.8986429191938252,-1.056882097188102,-1.0861647776029957,4.200577922484633,-2.143046874791098,2.057531047693535,1054.4846619429366,2.5802462751048614,1.9100596045407672,-1.0472254980150357,-1.0861647776029957,4.4903058796456286,-2.1333902756180314,2.356915604027597,1207.9192470641435,0.29938455633406225,153.4345851212069
9,15.931045771260756,25.81264483383977,41.743690605100525,41.74369060510048,44.44444444444444,0.276338672984544,0.2819471124684126,1.4361570413452691,1.4455313222951136,-0.009996587368849619,0.0031807665547937958,-0.01897296211911642,AP0006,False,4,0.08081747317416153,-0.08081747317416153,0.1382201976576635,-0.1382201976576635,0.10257554370604653,-0.10257554370604653,0.0030621797283537674,0.0025160784160816667,0.08116884856655633,0.13663314628880444,-0.13663314628880444,0.2050730407511494,-0.0987890305767725,0.19729136061021557,-0.07083137778716075,0.05328830691930277,0.05328830691930277,0.14807146364236803,0.11462015610446219,73.67015516465584,72.57614671931469,66.61048864864914,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,0.0010495267869860942,2026-04-23 14:40:00,6,71.86118676988926,72.21866674460198,74.14683229482415,73.90849372974,70.55223508172128,68.58136186518522,3.9934017358875655,0.16140058472429727,-0.9330870850500075,-1.0138005906753729,4.1548023206118625,-1.9468876757253806,2.2079146448864817,1131.5562555043218,4.0038641437651865,0.17805797163457693,-0.92208276702092,-1.0138005906753729,4.181922115399764,-1.9358833576962928,2.246038757703471,1151.094863323029,0.03812411281698935,19.538607818707042
8,0.0,72.36269794194662,72.36269794194662,72.36269794194664,12.5,0.18533752143155652,0.19246566008506552,1.4525495894213594,1.4823931958837246,-0.022012580078539012,0.008514973159426,0.0,AP0007,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095517592702203,-0.5095517592702203,0.047236617468868036,0.047236617468868036,0.10641901555434748,-0.10641901555434748,0.2416793609065895,0.2416793609065895,0.22622168830000636,0.11311084415000318,74.14683229482415,71.86118676988926,70.55223508172128,0.7414683229482415,0.08838031171581676,0.1701513653359418,41.43282990669513,299.99971591319826,49049.84223379435,1210.4768121249883,8.27745483211954e-05,0.007755194640619015,2026-04-23 22:38:00,7,58.92715260043539,65.39416968516232,59.56529046993668,66.85606138238042,56.917572411043004,63.734903746382145,4.2022259621959925,0.0,-1.000260547190227,-1.0121341395922223,4.2022259621959925,-2.0123946867824496,2.189831275413543,1122.2885286494407,4.2885635156916155,0.0,-1.000260547190227,-1.0121341395922223,4.2885635156916155,-2.0123946867824496,2.276168828909166,1166.5365248159476,0.086337553495623,44.24799616650679
4,0.0,60.93393497696317,60.93393497696317,60.93393497696303,100.0,0.32713282632700513,0.348370132725187,0.9487241223828129,0.9950970264782999,0.06877888174876906,-0.003679142471803308,,AP0008,False,0,,,,,,,,,,0.21190030763434894,0.001867998787137698,0.2380092352537899,0.2380092352537899,0.22200071245528172,0.22200071245528172,0.15666883350788527,0.07348206130604501,0.20714477221282646,0.20714477221282646,59.56529046993668,58.92715260043539,56.917572411043004,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,299.99971591319826,45648.046639036,1195.196995634653,,0.0017468299636686964,2026-04-24 07:23:00,8,76.67768621035799,67.80241940539669,77.74576970038642,68.65553008516154,65.78759067589957,61.35258154347129,3.053109276945394,-0.30845039089191695,0.0,0.0,2.744658886053477,0.0,2.744658886053477,1406.637679102407,3.127998228057918,-0.249182530456197,0.0,0.0,2.878815697601721,0.0,2.878815697601721,1475.393045020882,0.1341568115482441,68.7553659184751
10,14.237257640425867,81.32571436935936,95.56297200978523,95.5629720097852,40.0,0.27159757733242,0.2760969107836349,1.290474198553372,1.3341322495722001,-0.05739351272779525,0.0165930318138954,0.01867904150162325,AP0009,False,2,0.16773699612982026,-0.16773699612982026,0.2177986409813171,0.2177986409813171,0.26898654057187926,0.26898654057187926,0.006039583170437288,-0.006039583170437288,0.16514044021336347,0.13730120310901014,-0.13730120310901014,0.340367100259253,-0.2571434819595264,0.15299353745218874,-0.04582381878963611,0.16549950837016336,-0.08511023141195956,0.1990403372976538,0.18209038875550865,77.74576970038642,76.67768621035799,65.78759067589957,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,26.167411716411905,2026-04-24 15:46:00,9,68.16148386572002,72.419585038039,68.50557650116588,73.12567310077614,68.30094269633042,67.044266686115,3.9523124253076007,-0.21897056889269564,-1.1995885922556726,-1.0937378560354925,3.733341856414905,-2.2933264482911646,1.4400154081237404,738.007896663417,3.9565312525289107,-0.09688665451653726,-1.210422436326614,-1.0937378560354925,3.8596445980123733,-2.304160292362106,1.5554843056502672,797.1857066457619,0.11546889752652678,59.177809982344975
10,0.0,0.0,0.0,0.0,0.0,0.12802764088230792,0.12802764088230792,1.7945181198425932,1.7945181198425932,0.0,0.0,0.0,AP0010,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50557650116588,68.16148386572002,68.30094269633042,0.6850557650116589,0.12254939092734289,0.19239484406099827,42.415478561836736,299.99971591319826,47940.42176779384,1227.4300561958028,0.599878308490001,25.135725653255392,2026-04-24 23:48:00,10,64.46025013766302,66.31086700169152,65.4900480917299,66.99781229644789,62.541515006437095,65.42122885138376,4.736361242860528,0.45517967784409363,-1.1580908080447265,-1.1287892672514095,5.191540920704621,-2.286880075296136,2.904660845408485,1488.6386832718485,4.736361242860528,0.45517967784409363,-1.1580908080447265,-1.1287892672514095,5.191540920704621,-2.286880075296136,2.904660845408485,1488.6386832718485,0.0,0.0
