target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,theta_1sd_rel,ancho_ic_1sd_rel
m6_ln_sn_dep,Cx_sn_v6,0.0005014409764810168,7.959856338587083e-05,0.0009065119098619727,331.38803802338225,0.16617154138057313,0.026378011749923564,0.3004072032539883,True,1,True,False,0.24516546226769437,0.40429602356562594
m6_ln_sn_dep,tasa_gn_nm3_min,0.010593191017054089,0.0009903029528092982,0.02003648295821117,4.932585002912824,0.05225181514371185,0.004884753493367431,0.0988316553507908,True,1,True,False,0.07709106088566298,0.13860698066068258
m6_ln_sn_dep,exceso_o2_combustion_pct,-0.0006110157166390779,-0.0023579612818596853,-5.2042318118354224e-23,10.772680105778525,-0.006582276854955802,-0.02540156259128586,-5.606352450521918e-22,False,-1,True,False,-0.009711331642662644,0.03747684942484639
m6_ln_sn_dep,tasa_aire_nm3_min,0.0008651954196971078,-0.0011239686764388495,0.00259267263104834,9.258084076162415,0.008010051937866452,-0.010405796505443859,0.024003181200210753,False,0,,False,0.011817836374507226,0.050766171242555676
m6_ln_sn_dep,tasa_feed_CaO_kg_min,-0.001703884827768537,-0.015190878690126832,0.0023932237203355784,2.5341128739905643,-0.004317836477845445,-0.03849540125587932,0.006064699040041983,False,0,,False,-0.006370431226023696,0.06574289133374765
m6_ln_feo_ret,tasa_feed_Carbon_kg_min,-3.1390142850201384e-14,-0.001398400470947013,-5.4037652571849165e-31,22.034193880229758,-6.916564934894452e-13,-0.030812627099051085,-1.1906761136006206e-29,False,-1,,True,-9.173218024648873e-12,0.4086579811689617
m6_ln_feo_ret,Cx_av_v6,-0.0008809452734498594,-0.001638437548649164,-6.635660072741568e-27,16.5545314936532,-0.014583636273510628,-0.027123565999496533,-1.0985024365537738e-25,False,-1,True,False,-0.19341808598393836,0.3597311481369499
m6_ln_feo_ret,tasa_gn_nm3_min,-0.0024076794788541276,-0.00422214218187686,-0.0007337253557979102,4.932585002912824,-0.011876083689216834,-0.020826075206491428,-0.0036191626862656476,True,-1,True,False,-0.1575086852876121,0.228209756670925
m6_ln_feo_ret,exceso_o2_combustion_pct,0.00023007791796355185,2.9900816381516932e-18,0.0006215093613456242,10.772680105778525,0.0024785558096248987,3.221119297797041e-17,0.0066953215325231226,False,1,True,False,0.032872289990719596,0.08879790002853169
m6_ln_feo_ret,tasa_aire_nm3_min,0.0002633800464328698,3.293390684399402e-17,0.0007135547834130581,9.258084076162415,0.00243839461385907,3.049048785181974e-16,0.006606150177785954,False,1,True,False,0.032339644944575495,0.08761524897810483
m6_ln_feo_ret,tasa_feed_CaO_kg_min,6.567039365627152e-05,-0.000543000653743088,0.00256396348871251,2.5341128739905643,0.00016641619000438594,-0.001376024947235652,0.006497372885188132,False,0,,False,0.0022071245019908434,0.10442234778603056
