variable,conjunto,n,rho,p,ci_lo,ci_hi
J_batch_real,DEV,298,0.3186993274533397,1.8459120167028943e-08,0.21339121726922097,0.4164562372131295
J_batch_real,lockbox,63,0.1982046850998464,0.11942517799792246,-0.05099132392471749,0.44125927261025777
J_batch_real,total,361,0.2978617305112155,7.867882740504401e-09,0.1961826948862548,0.38984681297057017
J_temprano,DEV,299,0.3474424131635614,6.56859886803231e-10,0.2428731829410061,0.44443426514622275
J_temprano,lockbox,63,0.30697964669738864,0.014397613818238442,0.06448565093836577,0.527294020680228
J_temprano,total,362,0.3286177444983883,1.458737694443838e-10,0.23750932281272746,0.41512090759373477
J_tardio,DEV,299,0.08878294265682543,0.12557265338617363,-0.017353215281449248,0.19863292348474518
J_tardio,lockbox,63,-0.065284178187404,0.6112124896304141,-0.33870279843380224,0.21657674811200162
J_tardio,total,362,0.06981880539846781,0.1850328859370742,-0.03610422518222423,0.17337686727750223
