target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,theta_1sd_rel,ancho_ic_1sd_rel
m6_ln_sn_dep,tasa_feed_CaO_kg_min,0.0005576012816922909,-0.0046135091242809605,0.005513752481948074,9.392730991920155,0.005237398839685581,-0.043333450133140196,0.05178919381897035,False,0,,False,0.02382022590207715,0.4326275192511693
m6_ln_sn_dep,relacion_C_Sn_carga,0.2667343830511639,2.593893550191151e-30,0.8570667652059355,0.040551945808747956,0.01081659824682062,1.051874306810124e-31,0.03475572501711,False,1,True,False,0.0491949957637266,0.15807259417114305
m6_ln_sn_dep,tasa_gn_nm3_min,0.015003828842688048,0.0026304184452771687,0.02859122336391887,1.4865072106282728,0.02230329976168824,0.003910135985874122,0.042501059691148944,True,1,True,False,0.10143768976682539,0.17551547028728018
m6_ln_sn_dep,exceso_o2_combustion_pct,-2.1815651094628052e-15,-0.003936006748881723,-2.5690895350924495e-21,2.9396312465005354,-6.412996962052223e-15,-0.011570408425449699,-7.552175872415299e-21,False,-1,,True,-2.916696646967392e-14,0.05262340159873224
m6_ln_sn_dep,tasa_aire_nm3_min,0.0025215335259604643,-0.0009115568978635727,0.005515611984443127,5.458350272465743,0.013763413208457805,-0.004975596841821659,0.030106142178100457,False,0,,False,0.0625974117771751,0.15955533921919654
d_temperatura_horno_celsius,tasa_feed_CaO_kg_min,-2.1282546782483042e-19,-0.06595260484392045,-5.270195209429321e-34,9.363716468601087,-1.9928373380090953e-18,-0.6175614921241577,-4.934861367527589e-33,False,-1,,True,-1.1596149449542388e-19,0.03593537325082697
d_temperatura_horno_celsius,relacion_C_Sn_carga,-5.986589190151244,-27.842947912297184,17.314746778345192,0.040419325049671016,-0.24197389441556988,-1.125393162008199,0.6998503781866784,False,0,,False,-0.014080253260077828,0.10620935522543398
d_temperatura_horno_celsius,tasa_gn_nm3_min,5e-324,5e-324,0.10655785795660801,1.4912350039331133,5e-324,5e-324,0.15890280772902646,False,1,,True,0.0,0.009246418015323637
d_temperatura_horno_celsius,exceso_o2_combustion_pct,-0.06840615418329712,-0.3276174205664378,0.20359972064678883,2.927003526385717,-0.20022505452099573,-0.9589373453033558,0.5959371003042977,False,0,,False,-0.011650924094426227,0.09047680963542055
d_temperatura_horno_celsius,tasa_aire_nm3_min,-6.882595693899557e-27,-0.13507402212073757,-5e-324,5.436636278274587,-3.7418169438150787e-26,-0.734348328914066,-2.5e-323,False,-1,,True,-2.177331168265755e-27,0.0427310990600797
d_basicidad_B2,tasa_feed_CaO_kg_min,0.0003181624588652072,3.3960395302981537e-16,0.001428827907193271,9.387135405057743,0.0029866340821738144,3.1879082911837466e-15,0.013412601035348512,False,1,True,False,0.05951526415020384,0.267275625870735
d_basicidad_B2,relacion_C_Sn_carga,-0.037973438059625976,-0.1380982509365021,0.045950495190904425,0.04053256251619762,-0.001539160752106748,-0.005597475989461318,0.0018624913189755716,False,0,,False,-0.03067116901866535,0.14865628419747876
d_basicidad_B2,tasa_gn_nm3_min,0.0014627315185488602,-0.0015620929359983753,0.005378288049339534,1.485812571488748,0.0021733448789727234,-0.0023209773221401545,0.007991127996796375,False,0,,False,0.043308684961972106,0.20549141780185184
d_basicidad_B2,exceso_o2_combustion_pct,0.0010064810501896684,-7.884221561711775e-05,0.0021370572867379987,2.9377071749883235,0.0029567466026319718,-0.00023161534251038327,0.006278048524611298,False,0,,False,0.05891969027313153,0.1297193944491514
d_basicidad_B2,tasa_aire_nm3_min,2.0962882230274316e-05,-0.0006227086352180572,0.0005955622954847723,5.45513090952991,0.0001143552668072047,-0.003396957123609209,0.0032488702866495666,False,0,,False,0.0022787806352374375,0.1324327530376041
v5_d_lnirf,tasa_feed_CaO_kg_min,-0.000656438617249416,-0.001532694103016217,-4.123453549714136e-05,9.389934735044076,-0.006163915773534595,-0.014391897596109197,-0.0003871895971480156,True,-1,True,False,-0.0915987824466026,0.2081167634919567
v5_d_lnirf,relacion_C_Sn_carga,0.09895429608131039,-0.019452029564617803,0.22314465594298252,0.04053955403787795,0.004011563033268457,-0.0007885766036812229,0.009046184837864223,False,0,,False,0.05961377524542002,0.1461493321447153
v5_d_lnirf,tasa_gn_nm3_min,-0.0006571739979644824,-0.0038912698330059235,-3.5058211773674464e-20,1.4860398706709945,-0.0009765867629434799,-0.005782582119386065,-5.209790049010754e-20,False,-1,True,False,-0.014512553663236656,0.08593197911747644
v5_d_lnirf,exceso_o2_combustion_pct,0.0004948207119317254,6.700846479929627e-19,0.0016738854308526183,2.93869281619351,0.0014541260714575196,1.9691729412984765e-18,0.004919035090777568,False,1,True,False,0.02160901974703511,0.073099250814221
v5_d_lnirf,tasa_aire_nm3_min,-8.135312300372455e-06,-0.0008845655442039338,0.0009072832568597764,5.456947962638289,-4.4393975882943675e-05,-0.004827028144263686,0.004950997520056788,False,0,,False,-0.0006597160454886702,0.14530621093639465
