muestra,spec,y,variable,coef,lo,hi,p,n,r2adj
dev,next_base,KPI_next,R_sum_m6_ln_sn_dep,0.6694648606138818,-0.7424009788641213,2.081330700091885,0.35270424578005555,297,0.03342523959117394
dev,next_base,KPI_next,R_sum_m6_ln_feo_ret,10.416371547077578,4.979397248140428,15.853345846014728,0.0001733574427443627,297,0.03342523959117394
dev,next_con_heel_fin,KPI_next,R_sum_m6_ln_sn_dep,0.39301909181050604,-1.0489603726974968,1.834998556318509,0.5932042076785273,297,0.04334033060665776
dev,next_con_heel_fin,KPI_next,R_sum_m6_ln_feo_ret,4.767834837593997,-2.773060347868408,12.308730023056402,0.21526617478388865,297,0.04334033060665776
dev,next_con_heel_fin,KPI_next,R_lnirf_fin,5.416154960220582,0.15685252462543353,10.67545739581573,0.04354778679526085,297,0.04334033060665776
dev,next_mediador_F0next,KPI_next,R_sum_m6_ln_sn_dep,0.3292294677854759,-0.6260757229335707,1.2845346585045225,0.49937859979271426,296,0.14436070020836034
dev,next_mediador_F0next,KPI_next,R_sum_m6_ln_feo_ret,6.951117517975597,1.6405304785888974,12.261704557362297,0.010304797362154849,296,0.14436070020836034
dev,next_mediador_F0next,KPI_next,F_lnirf_F0_next,7.603436822327363,5.314871695937913,9.892001948716814,7.430224166333869e-11,296,0.14436070020836034
dev,mediador_F0next_sobre_feo,F_lnirf_F0_next,R_sum_m6_ln_sn_dep,0.01566207582750076,-0.0945235940000531,0.12584774565505463,0.780556152777258,296,0.16071753698463476
dev,mediador_F0next_sobre_feo,F_lnirf_F0_next,R_sum_m6_ln_feo_ret,0.5014682112903825,0.2171972245762957,0.7857391980044695,0.0005452642281426115,296,0.16071753698463476
dev,placebo_prev,KPI_prev,R_sum_m6_ln_sn_dep,0.38825090727219314,-0.9153423342240283,1.6918441487684146,0.5593961408676116,296,0.016663716687674968
dev,placebo_prev,KPI_prev,R_sum_m6_ln_feo_ret,2.0874419039007845,-4.852546952395132,9.027430760196701,0.5555077918111981,296,0.016663716687674968
dev,placebo_prev_heel,KPI_prev,R_sum_m6_ln_sn_dep,0.3551091184167179,-1.060690051513881,1.7709082883473168,0.6230050346756613,296,0.013414199165263319
dev,placebo_prev_heel,KPI_prev,R_sum_m6_ln_feo_ret,1.40962654480753,-8.309557362584217,11.128810452199277,0.7762078228920475,296,0.013414199165263319
dev,placebo_prev_heel,KPI_prev,R_lnirf_fin,0.650608984928283,-5.602846240423411,6.904064210279977,0.8384203159191845,296,0.013414199165263319
dev,actual_base,recuperacion_refinada_pct,R_sum_m6_ln_sn_dep,2.8529187261012376,1.6683476154116956,4.03748983679078,2.3541209817209845e-06,297,0.10685163380005991
dev,actual_base,recuperacion_refinada_pct,R_sum_m6_ln_feo_ret,17.26175737892262,11.043557121284932,23.479957636560307,5.3020826621642376e-08,297,0.10685163380005991
dev,actual_con_heel_propio,recuperacion_refinada_pct,R_sum_m6_ln_sn_dep,2.541772017989434,1.4247786615660367,3.6587653744128312,8.196265119782989e-06,296,0.19347033815282
dev,actual_con_heel_propio,recuperacion_refinada_pct,R_sum_m6_ln_feo_ret,14.508139892618491,9.008526262231518,20.007753523005462,2.3354132076290543e-07,296,0.19347033815282
dev,actual_con_heel_propio,recuperacion_refinada_pct,F_lnirf_F0,7.244399347320938,5.2140863143853,9.274712380256576,2.6833078804394668e-12,296,0.19347033815282
dev,suma2,KPI_sum2,R_sum_m6_ln_sn_dep,3.5223835867151205,1.7592693718074077,5.285497801622833,9.015952695003703e-05,297,0.12639778998350504
dev,suma2,KPI_sum2,R_sum_m6_ln_feo_ret,27.67812892600021,19.144610138897185,36.21164771310323,2.0564463881524577e-10,297,0.12639778998350504
dev,suma2_con_heel_propio,KPI_sum2,R_sum_m6_ln_sn_dep,3.688263615828461,1.8587237894081852,5.517803442248737,7.776277575576292e-05,296,0.1654987623043751
dev,suma2_con_heel_propio,KPI_sum2,R_sum_m6_ln_feo_ret,25.395437351559096,17.054297971892403,33.73657673122579,2.4120076561523112e-09,296,0.1654987623043751
dev,suma2_con_heel_propio,KPI_sum2,F_lnirf_F0,7.050529576682187,3.370478243265584,10.73058091009879,0.00017330550799982524,296,0.1654987623043751
total,next_base,KPI_next,R_sum_m6_ln_sn_dep,0.7648637040862245,-0.5235761519012561,2.0533035600737053,0.24462495440561605,359,0.05136007603313042
total,next_base,KPI_next,R_sum_m6_ln_feo_ret,11.357071189016544,6.233191484677083,16.480950893356006,1.3974780865080574e-05,359,0.05136007603313042
total,next_con_heel_fin,KPI_next,R_sum_m6_ln_sn_dep,0.4318770005593947,-0.8804878218283615,1.744241822947151,0.5189330834146475,359,0.06616218717283673
total,next_con_heel_fin,KPI_next,R_sum_m6_ln_feo_ret,4.682536208641262,-2.3682542711046466,11.733326688387171,0.19303892598094807,359,0.06616218717283673
total,next_con_heel_fin,KPI_next,R_lnirf_fin,6.263822677505054,1.473469553962028,11.05417580104808,0.010382248594017684,359,0.06616218717283673
