variable,quintil,media,ci_lo,ci_hi,n,x_media
kpi_v6,0,67.78292940173823,66.77628490064565,68.77301745870466,60,0.07142055293670317
kpi_v6,1,68.47032855068741,67.30915376970442,69.81732504767605,60,0.09574896532382168
kpi_v6,2,68.56058783139453,67.31316654855983,69.78845483428957,59,0.09832186693059822
kpi_v6,3,68.01538474370076,67.01510836469566,69.09993936795297,60,0.10181838844122264
kpi_v6,4,67.70809988306867,66.29248477554111,69.01059355672979,60,0.11173279830485972
f_dross,0,0.13409745804661277,0.12388502519483922,0.14480977972676207,60,0.07142055293670317
f_dross,1,0.12555407683041356,0.1169474265966441,0.1325342869675362,60,0.09574896532382168
f_dross,2,0.12152182370612301,0.1115083267410523,0.1303998302706311,59,0.09832186693059822
f_dross,3,0.1338185699795428,0.1260984789495675,0.14214663133512506,60,0.10181838844122264
f_dross,4,0.1256094388914582,0.11745862415491697,0.1343298606657723,60,0.11173279830485972
f_polvo,0,0.17877714500581687,0.1704490281026568,0.1863980055194256,60,0.07142055293670317
f_polvo,1,0.1798520749580251,0.17092603517345614,0.18897781481046294,60,0.09574896532382168
f_polvo,2,0.18266914681240104,0.17493004344433985,0.19044075703237218,59,0.09832186693059822
f_polvo,3,0.17704972303764968,0.16978685975184363,0.18457681839462314,60,0.10181838844122264
f_polvo,4,0.186963270490859,0.17826386037694983,0.19521525992306266,60,0.11173279830485972
sn_perdido_escoria_frac,0,0.014165293123446542,0.012581107630716936,0.016139238600082862,60,0.07142055293670317
sn_perdido_escoria_frac,1,0.014726338435308826,0.013381725310315918,0.016442047282384967,60,0.09574896532382168
sn_perdido_escoria_frac,2,0.015427913736679094,0.013706420215237611,0.01737865314142433,59,0.09832186693059822
sn_perdido_escoria_frac,3,0.013333504753750496,0.012184951719537573,0.01439232502822542,60,0.10181838844122264
sn_perdido_escoria_frac,4,0.01572803649783819,0.013660934283351677,0.01745745341646662,60,0.11173279830485972
R_sum_m6_ln_feo_ret,0,-0.32839927125551605,-0.3486862376694403,-0.3111786407203109,60,0.07142055293670317
R_sum_m6_ln_feo_ret,1,-0.3228042255704496,-0.34868290160081605,-0.30031215411976275,60,0.09574896532382168
R_sum_m6_ln_feo_ret,2,-0.3030898835770384,-0.32803659093012366,-0.2769265194590475,58,0.09832186693059822
R_sum_m6_ln_feo_ret,3,-0.3293624598551247,-0.3514875291607979,-0.3034295880621031,60,0.10181838844122264
R_sum_m6_ln_feo_ret,4,-0.33563760553612293,-0.3584404867323864,-0.3101128131088718,60,0.11173279830485972
R_sum_m6_ln_sn_dep,0,2.9364467880328675,2.8194518029986866,3.0305148697682873,60,0.07142055293670317
R_sum_m6_ln_sn_dep,1,2.8931124397367323,2.807316786682415,2.9875738246752572,60,0.09574896532382168
R_sum_m6_ln_sn_dep,2,2.792510462764426,2.6351601283735366,2.925826402047791,58,0.09832186693059822
R_sum_m6_ln_sn_dep,3,2.8628771921159584,2.7010730722431777,2.982909940081076,60,0.10181838844122264
R_sum_m6_ln_sn_dep,4,2.8589930401373986,2.727366927932357,2.974796896988968,60,0.11173279830485972
T_media_R,0,1057.5468337013147,1037.6191545859992,1075.538457236536,60,0.07142055293670317
T_media_R,1,1050.1860743973368,1035.2847696528404,1065.6874187743877,60,0.09574896532382168
T_media_R,2,1033.639560732724,1017.8169757293349,1049.0356928519482,59,0.09832186693059822
T_media_R,3,1052.5019135372065,1039.367829662953,1068.2428623061583,60,0.10181838844122264
T_media_R,4,1102.0933294735967,1081.0710021963123,1121.7942624977927,60,0.11173279830485972
