origen,nombre,k,sn_dep_r2_oof,sn_dep_r2_lockbox,feo_ret_r2_oof,feo_ret_r2_lockbox,Cx_sn_theta1sd,Cx_sn_lo,Cx_sn_hi,Cx_sn_en_cota,balance_Cx_sn_r2_oof,delta_r2_sn_dep_vs_full,delta_r2_feo_ret_vs_full,cumple_R2,cumple_identificacion,cumple_diseno
eliminacion,libre_k8,8,0.755630340151042,0.7963666334919575,0.3279592379840461,0.4582536379850048,0.2159116768292208,0.0546382510511775,0.3212879159282386,False,,-0.009618647542223746,-0.0013754511190725016,True,True,True
eliminacion,libre_k12,12,0.7583030251741227,0.8076323751917858,0.3337019580874391,0.4863202365843976,0.1835086585375644,0.0219777924620316,0.3061118921837271,False,,-0.006945962519143034,0.004367268984320494,True,True,True
eliminacion,libre_k16,16,0.7666338458599705,0.795210599287193,0.3328694517022018,0.4828525380344691,0.1776227755232491,0.0472192425349584,0.286508695913777,False,,0.00138485816670475,0.0035347625990831966,True,True,True
sets_teoria,T3_sin_dosif,16,0.7554319036262844,0.8118144346196337,0.3312149622937531,0.3861965269969117,0.1729568731174879,4.486954673158339e-11,0.3059541760967325,False,0.9685075597420592,-0.00981708406698134,0.001880273190634496,True,True,True
sets_teoria,T3_termico_lanza,18,0.7560398391355873,0.809917781218831,0.3374450162801733,0.4521257398066098,0.1857204398976705,1.0127703558266015e-10,0.3228342985807385,False,0.968269330760316,-0.009209148557678515,0.008110327177054732,True,True,True
eliminacion,libre_k20,20,0.775039594413133,0.8010807871665196,0.3500261954349051,0.4791104234392126,0.1885151311003808,0.0454413514154225,0.3311044163410565,False,,0.009790606719867201,0.020691506331786513,True,True,True
eliminacion,fisica_k20,20,0.7615713052763523,0.804278665616601,0.328148569666298,0.4848219669289719,0.1844470574722258,0.0227505345991704,0.294359006649826,False,,-0.0036776824169134636,-0.0011861194368205652,True,True,True
sets_teoria,CURADO,22,0.7566470048432362,0.8094841086557087,0.3278448482544874,0.4806285515926474,0.164104673950527,3.4614020771363665e-11,0.3107044487105733,False,0.9688427088979789,-0.008601982850029555,-0.0014898408486311854,True,True,True
eliminacion,libre_k24,24,0.771823469148629,0.8043145124274437,0.3386324002163428,0.4831681268668988,0.1759164464844396,0.0596088761802533,0.3056973301528117,False,,0.0065744814553632125,0.009297711113224194,True,True,True
eliminacion,fisica_k24,24,0.7681352904161323,0.8143640881908688,0.3456554647031929,0.4996545722111303,0.1858760505233418,0.0514250540473583,0.3217700367881045,False,,0.002886302722866496,0.016320775600074333,True,True,True
sets_teoria,T4_historia_gases,26,0.7582316310187044,0.8024372607871325,0.3228073919358556,0.4813815869879424,0.1807790118094332,0.0398998087635663,0.3145432012077626,False,0.9712576558877396,-0.007017356674561381,-0.006527297167262969,True,True,True
eliminacion,libre_k30,30,0.7651855700379555,0.7987669737317673,0.3329779693219774,0.5007630251816035,0.1568335532036513,0.007513443938998,0.2840194882949081,False,,-6.341765531026056e-05,0.003643280218858791,True,True,True
eliminacion,fisica_k30,30,0.764341767701818,0.8015027120297382,0.3298274166130048,0.4992767080386575,0.1541156817366523,0.0110763638950858,0.2789301763824791,False,,-0.0009072199914477164,0.0004927275098862149,True,True,True
eliminacion,libre_k38,38,0.7652489876932658,0.7996825168326529,0.3293346891031186,0.4861429695459459,0.1644595872612244,0.0245668773740781,0.2909801913242671,False,,0.0,0.0,True,True,True
eliminacion,fisica_k38,38,0.7652489876932658,0.7996825168326529,0.3293346891031186,0.4861429695459459,0.1644595872612244,0.0245668773740781,0.2909801913242671,False,,0.0,0.0,True,True,True
sets_teoria,FULL,38,0.7652489876932658,0.7996825168326529,0.3293346891031186,0.4861429695459459,0.1644595872612244,0.0245668773740781,0.2909801913242671,False,0.970302836957434,0.0,0.0,True,True,True
eliminacion,libre_k6,6,0.7564533200587977,0.8045218808285318,0.2991952333005689,0.4626812560224995,0.1756230609477714,0.0313649723349845,0.2824422322741025,False,,-0.00879566763446804,-0.030139455802549675,False,True,False
eliminacion,fisica_k6,6,,,,,,,,,,,,False,False,False
eliminacion,fisica_k8,8,,,,,,,,,,,,False,False,False
sets_teoria,T1_sin_dosif,8,0.7377387651598112,0.8009840324978361,0.2906405279792615,0.4276787448820618,0.1174836475664506,8.667279454074954e-16,0.2618079444495639,False,0.968205388695242,-0.027510222533454587,-0.038694161123857096,False,True,False
eliminacion,libre_k10,10,0.7528482963060216,0.8036148974606052,0.3260382419659833,0.4664070690272079,0.1907906610431053,0.0325224470050325,0.306257162807276,False,,-0.0124006913872442,-0.0032964471371352833,False,True,False
eliminacion,fisica_k10,10,0.7361157793831704,0.7997297597266061,0.2958951437824282,0.4476915311299395,0.1548151328840694,1.4298916402543148e-14,0.280060814168841,False,,-0.02913320831009536,-0.03343954532069038,False,True,False
sets_teoria,T1_nucleo_fisico,10,0.7361160117588144,0.7997297597266061,0.2958956522016969,0.4476917784198109,0.1548151328840694,1.4298916402543148e-14,0.280060814168841,False,0.9671861557271442,-0.02913297593445141,-0.03343903690142169,False,True,False
eliminacion,fisica_k12,12,0.7388711556861849,0.8004886121195443,0.2891937525411404,0.4692423421085355,0.1383108666865427,1.304834794946135e-15,0.27206205779269,False,,-0.02637783200708088,-0.0401409365619782,False,True,False
sets_teoria,T2_sin_dosif,13,0.7417555414594919,0.7943634947118208,0.2926308086147288,0.4046167639074791,0.0773559974556591,3.928754995300669e-18,0.221297937041768,False,0.9684382681060826,-0.023493446233773918,-0.036703880488389795,False,True,False
sets_teoria,T2_leyes,15,0.7398361514980434,0.7976418796808609,0.309793568920135,0.4231416490393712,0.1224260875666462,8.321408485705151e-16,0.2589078585687978,False,0.968374433607314,-0.025412836195222388,-0.019541120182983596,False,True,False
eliminacion,fisica_k16,16,0.751367082997114,0.8108486615394078,0.3170439284775771,0.4946641632047157,0.2214863895530964,0.0575246559967943,0.3555856514597651,False,,-0.013881904696151803,-0.012290760625541464,False,True,False
sets_teoria,T4_sin_dosif,21,0.7484790076440018,0.8085424146410198,0.3083437096739442,0.4573932395306888,0.2178673500657045,0.0404624600974224,0.3757757485184071,False,0.971948386778155,-0.016769980049264,-0.020990979429174383,False,True,False
