clave,feature,coef_estandarizado,alpha_elegido
sn_dep,ln_carbon,0.3485155681576082,10.0
sn_dep,ln_sn_prev,1.003254291727842,10.0
sn_dep,inv_T,-0.02893985253991843,10.0
sn_dep,ln_masa_prev,-0.0435303482704128,10.0
sn_dep,B2_prev,0.005654197383944539,10.0
sn_dep,gn,0.005822816161992539,10.0
sn_dep,exceso_o2,-0.046248589579300586,10.0
sn_dep,orden_0,-0.20315838101337036,10.0
sn_dep,orden_1,-0.06643799105729187,10.0
sn_dep,orden_2,0.13933863066272067,10.0
sn_dep,orden_3,0.14960769211905856,10.0
feo_ret,ln_carbon,0.05881308202266759,31.622776601683793
feo_ret,ln_sn_prev,0.6932872660298812,31.622776601683793
feo_ret,inv_T,-0.01002225437234442,31.622776601683793
feo_ret,ln_masa_prev,0.020767539108523136,31.622776601683793
feo_ret,B2_prev,-0.08902309421148348,31.622776601683793
feo_ret,gn,-0.11171033322095698,31.622776601683793
feo_ret,exceso_o2,-0.1613600093568055,31.622776601683793
feo_ret,orden_0,-0.060373221111316155,31.622776601683793
feo_ret,orden_1,-0.1952829469852464,31.622776601683793
feo_ret,orden_2,0.11115690942018208,31.622776601683793
feo_ret,orden_3,0.16535231890110857,31.622776601683793
