target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev
m6_ln_sn_dep,38,5,1058,242,0.7649892894174484,0.24442951353820858,0.7986493469788958,0.23545805392943606,0.6777934373118659
m6_ln_feo_ret,38,6,1058,242,0.3290271527304621,0.04706320866982023,0.4860778910748842,0.041838944893501144,0.07539954807908536
