config,k,variante,theta_1sd,ci_lo,ci_hi,ancho_ic,excluye_0_signo_correcto,segundos
FULL,38,baseline_hgb150_5fold_boot200,0.16445958726122442,0.02456687737407819,0.2909801913242671,0.2664133139501889,True,5.90553879737854
FULL,38,boot500,0.16445958726122442,0.03496820753355112,0.28376642935688745,0.24879822182333633,True,6.206097841262817
FULL,38,nuisance_hgb300,0.14550059962616976,0.0010884561375501917,0.2809545768856024,0.27986612074805217,True,9.50509238243103
FULL,38,nuisance_ridge,1.4856301147520147e-15,9.276012490905339e-34,0.3173689804431253,0.3173689804431253,True,1.108551025390625
FULL,38,crossfit_10fold,0.1636698415311745,0.028710612518733896,0.2878432278654573,0.2591326153467234,True,10.391767740249634
libre_k20,20,baseline_hgb150_5fold_boot200,0.18851513110038087,0.04544135141542254,0.33110441634105653,0.285663064925634,True,4.702399015426636
libre_k20,20,boot500,0.18851513110038087,0.045002844406270545,0.3112312321485528,0.26622838774228225,True,5.232220888137817
libre_k20,20,nuisance_hgb300,0.19604372786333776,0.06245723684052299,0.34647893407524466,0.28402169723472165,True,7.665360927581787
libre_k20,20,nuisance_ridge,0.06792754351169482,2.1288715550000925e-18,0.16012416083309977,0.16012416083309977,True,0.9489445686340332
libre_k20,20,crossfit_10fold,0.15395546988396427,1.1262662494679919e-11,0.2781455411355964,0.27814554112433376,True,8.328005313873291
