target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,clave
m6_ln_sn_dep,25,4,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,0.21987192150133533,sn_dep
d_temperatura_horno_celsius,8,4,1482,314,0.497369675619338,8.937938154550643,0.03669458085246802,6.974173795111473,17.18533679373835,dT
