variable,target,decil,x_media,media,ci_lo,ci_hi,n
b2_fin_F,kpi_v6,0,0.4517029392786954,67.36176260510545,65.77150328161792,69.04880899629366,30
b2_fin_F,kpi_v6,1,0.480758679448965,68.05887069225665,66.31288100752697,69.74831325698561,30
b2_fin_F,kpi_v6,2,0.4937310315040938,67.42043832391887,65.68950474315602,69.27998310544506,30
b2_fin_F,kpi_v6,3,0.5086954392778278,68.36034214748153,66.49251413354855,70.07983827005023,29
b2_fin_F,kpi_v6,4,0.5207358716445829,67.94337502722736,66.81070371210954,69.12756899187966,30
b2_fin_F,kpi_v6,5,0.531126380608812,67.34730578608581,65.6052753497047,69.28918684480341,30
b2_fin_F,kpi_v6,6,0.5393722079667731,68.76350177476748,67.38039479330794,70.3501801101001,29
b2_fin_F,kpi_v6,7,0.553610892891313,68.30928222372103,66.79637644800837,69.65177121990617,30
b2_fin_F,kpi_v6,8,0.5724493897520222,68.84312762008487,67.36959521600849,70.21603132994092,30
b2_fin_F,kpi_v6,9,0.6186949831625459,68.97642897918075,67.47464571661202,70.35345992107213,30
b2_fin_F,R_sum_m6_ln_feo_ret,0,0.4517029392786954,-0.33118554566145636,-0.3620114767573579,-0.2968145986173929,30
b2_fin_F,R_sum_m6_ln_feo_ret,1,0.480758679448965,-0.37223323667438807,-0.40603508701362434,-0.33791110446251216,30
b2_fin_F,R_sum_m6_ln_feo_ret,2,0.4937310315040938,-0.341595171935977,-0.38050278463037396,-0.3099376254408646,30
b2_fin_F,R_sum_m6_ln_feo_ret,3,0.5086954392778278,-0.3283450659516079,-0.36245292655378275,-0.29038908008881487,28
b2_fin_F,R_sum_m6_ln_feo_ret,4,0.5207358716445829,-0.3364850763138534,-0.3682056131779925,-0.3056912739769315,30
b2_fin_F,R_sum_m6_ln_feo_ret,5,0.531126380608812,-0.32817686998084733,-0.3592173788553227,-0.2943885545576559,30
b2_fin_F,R_sum_m6_ln_feo_ret,6,0.5393722079667731,-0.30602868617907597,-0.3328628002570224,-0.2818625794411125,29
b2_fin_F,R_sum_m6_ln_feo_ret,7,0.553610892891313,-0.2970547680423114,-0.32694403515523307,-0.26604813186080395,30
b2_fin_F,R_sum_m6_ln_feo_ret,8,0.5724493897520222,-0.30181745094309403,-0.3295086966383997,-0.2735630414136362,30
b2_fin_F,R_sum_m6_ln_feo_ret,9,0.6186949831625459,-0.3034292604649973,-0.32682655042616326,-0.2811491870162234,30
b2_fin_F,R_sum_m6_ln_sn_dep,0,0.4517029392786954,2.9264873374815843,2.758258244684724,3.0904356265723716,30
b2_fin_F,R_sum_m6_ln_sn_dep,1,0.480758679448965,2.9775892216686595,2.8669009099879,3.0931159203756575,30
b2_fin_F,R_sum_m6_ln_sn_dep,2,0.4937310315040938,2.9001851530577167,2.7550440868610098,3.0609146044903595,30
b2_fin_F,R_sum_m6_ln_sn_dep,3,0.5086954392778278,2.782495243695848,2.532768814256549,2.9899720876722853,28
b2_fin_F,R_sum_m6_ln_sn_dep,4,0.5207358716445829,2.9144517356186963,2.7965959011966897,3.0419999869945302,30
b2_fin_F,R_sum_m6_ln_sn_dep,5,0.531126380608812,2.8052098744337353,2.599278511349873,2.950179599501192,30
b2_fin_F,R_sum_m6_ln_sn_dep,6,0.5393722079667731,2.892610340417997,2.773045436416954,3.007952571903783,29
b2_fin_F,R_sum_m6_ln_sn_dep,7,0.553610892891313,2.760897701571888,2.579648526303722,2.9131600164161116,30
b2_fin_F,R_sum_m6_ln_sn_dep,8,0.5724493897520222,2.9668767753073735,2.802641647151453,3.116492198872945,30
b2_fin_F,R_sum_m6_ln_sn_dep,9,0.6186949831625459,2.856750375115185,2.710527368400431,3.0050291325084686,30
irf_fin_F,kpi_v6,0,0.2258609944889548,67.08608766903184,65.15901620144255,69.06238227471128,30
irf_fin_F,kpi_v6,1,0.24497395003647254,66.97154567330124,65.65632790429261,68.27074437725912,30
irf_fin_F,kpi_v6,2,0.25304748530520477,67.36521793946133,65.69885163699414,68.71199632507744,30
irf_fin_F,kpi_v6,3,0.2597655946647317,66.90050756722557,65.60716606075383,68.05987194489964,29
irf_fin_F,kpi_v6,4,0.2661739363876852,68.46017975459387,67.12727708932007,69.93989629666707,30
irf_fin_F,kpi_v6,5,0.27405115130270646,67.74268135892035,65.70306833360922,69.50096855664542,30
irf_fin_F,kpi_v6,6,0.28080750663588716,70.036363989725,68.5217327847401,71.5508159790712,29
irf_fin_F,kpi_v6,7,0.2874796077910956,68.91296999910347,67.2646714119705,70.60475215318496,30
irf_fin_F,kpi_v6,8,0.29865446530512096,68.19804444932467,66.43543861708139,69.93073585962834,30
irf_fin_F,kpi_v6,9,0.32785505243728774,69.70460436696587,68.19593156529429,71.2466599142169,30
irf_fin_F,R_sum_m6_ln_feo_ret,0,0.2258609944889548,-0.3061832261790642,-0.33067482612122034,-0.2810551663055181,30
irf_fin_F,R_sum_m6_ln_feo_ret,1,0.24497395003647254,-0.3750090547091751,-0.4043556360351951,-0.3454811722117754,30
irf_fin_F,R_sum_m6_ln_feo_ret,2,0.25304748530520477,-0.3163858314560176,-0.350515409234348,-0.2830586128813674,30
irf_fin_F,R_sum_m6_ln_feo_ret,3,0.2597655946647317,-0.33651580081937127,-0.38009213328061286,-0.2942740517740425,29
irf_fin_F,R_sum_m6_ln_feo_ret,4,0.2661739363876852,-0.3545114957504971,-0.38893409309095145,-0.318952428620471,30
irf_fin_F,R_sum_m6_ln_feo_ret,5,0.27405115130270646,-0.3118955344078901,-0.33733183728049826,-0.2866889840021086,30
irf_fin_F,R_sum_m6_ln_feo_ret,6,0.28080750663588716,-0.3122143774152326,-0.3420604986036334,-0.2816094407223186,29
irf_fin_F,R_sum_m6_ln_feo_ret,7,0.2874796077910956,-0.31873275065149187,-0.3449846600612365,-0.2936246385216685,29
irf_fin_F,R_sum_m6_ln_feo_ret,8,0.29865446530512096,-0.3231743303406163,-0.35850882476722706,-0.289483924702495,30
irf_fin_F,R_sum_m6_ln_feo_ret,9,0.32785505243728774,-0.29188686744504594,-0.32821157573652215,-0.25702399066313797,30
irf_fin_F,R_sum_m6_ln_sn_dep,0,0.2258609944889548,2.9517443367946474,2.8065120110078463,3.127049321311834,30
irf_fin_F,R_sum_m6_ln_sn_dep,1,0.24497395003647254,2.985810931547024,2.82574933478252,3.1505710258936106,30
irf_fin_F,R_sum_m6_ln_sn_dep,2,0.25304748530520477,2.7871510357014015,2.5970942625093842,2.942843658407779,30
