variable,pp_kpi_por_sd,p,ci_lo,ci_hi
ley_sn_escoria_pct_prev,-2.0103612588860695,0.5421216017230264,-8.473919068397938,4.453196550625799
ley_feo_escoria_pct_prev,-0.4731843373565514,0.8377069146877768,-5.0010155165198364,4.054646841806734
basicidad_B2_prev,0.5750372773248208,0.0549749283406704,-0.01225230235836039,1.162326857008002
indice_irf_prev,0.006317501922421087,0.9946435803026267,-1.8380848810479413,1.8507198848927835
temperatura_horno_celsius_prev,0.40714614667959115,0.3491279420851694,-0.445152269807898,1.2594445631670803
m6_masa_kg_prev,-6.107271890881968,0.12938258011659334,-14.000254657290327,1.78571087552639
m6_sn_inv_kg_prev,8.722039391723047,0.03787754673972091,0.4882135713841933,16.9558652120619
m6_feo_inv_kg_prev,3.7492999302610315,0.2823415898570848,-3.08603669977421,10.584636560296273
m6_avance_prev,2.8781403323218484,0.5340559725975569,-6.193604886572816,11.949885551216513
cum_feed_Carbon_kg_prev,0.7951899422759041,0.42561532697877946,-1.1610170586089683,2.7513969431607768
relacion_C_cum_Sn_cum_prev,-0.2063050419214978,0.8725321579409215,-2.726518300591329,2.3139082167483336
