Batch,fold,es_lockbox,J_batch__historica,J_batch__horizonte,J_batch__miope,tardio__historica,tardio__horizonte,tardio__miope,temprano__historica,temprano__horizonte,temprano__miope,temprano__uplift_horizonte_vs_miope,temprano__uplift_miope_vs_hist,temprano__uplift_horizonte_vs_hist,temprano__pct_mejora_horizonte_vs_miope,tardio__uplift_horizonte_vs_miope,tardio__uplift_miope_vs_hist,tardio__uplift_horizonte_vs_hist,tardio__pct_mejora_horizonte_vs_miope,J_batch__uplift_horizonte_vs_miope,J_batch__uplift_miope_vs_hist,J_batch__uplift_horizonte_vs_hist,J_batch__pct_mejora_horizonte_vs_miope
AP0001,0,False,-904.0693418078147,-891.4955393933566,-891.4955393933566,-1246.6424985015567,-1234.0686960870985,-1234.0686960870985,342.573156693742,342.573156693742,342.573156693742,0.0,0.0,0.0,0.0,0.0,12.573802414458214,12.573802414458214,0.0,0.0,12.5738024144581,12.5738024144581,0.0
AP0002,0,False,-1758.2421853990904,-1758.2421853990904,-1758.2421853990904,-1559.449926944575,-1559.449926944575,-1559.449926944575,-198.79225845451543,-198.79225845451543,-198.79225845451543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP0003,2,False,-1825.4115290996297,-1652.7788244483636,-1652.7788244483636,-1433.7455908314496,-1295.7399021252077,-1295.7399021252077,-391.6659382681803,-357.03892232315593,-357.03892232315593,0.0,34.62701594502437,34.62701594502437,0.0,0.0,138.00568870624193,138.00568870624193,0.0,0.0,172.63270465126607,172.63270465126607,0.0
AP0004,4,False,-1295.6280456216314,-1169.7170081525153,-1169.7170081525153,-1451.883415272446,-1342.4345171631444,-1342.4345171631444,156.2553696508147,172.71750901062904,172.71750901062904,0.0,16.46213935981433,16.46213935981433,0.0,0.0,109.44889810930158,109.44889810930158,0.0,0.0,125.91103746911608,125.91103746911608,0.0
AP0005,3,False,-2003.8339922012915,-736.3462369573232,-1541.8813918535552,-1833.8313588954218,-984.0500059054623,-1371.8787585476857,-170.0026333058696,247.70376894813907,-170.0026333058696,417.7064022540087,0.0,417.7064022540087,245.70584239272884,387.82875264222344,461.95260034773605,849.7813529899595,28.26989996206306,805.535154896232,461.9526003477363,1267.4877552439684,52.24365240752189
AP0006,4,False,-1295.4484617756393,-1295.4484617756393,-1344.2332129582096,-1328.0892406413163,-1328.0892406413163,-1392.0766459834515,32.64077886567691,32.64077886567691,47.84343302524178,-15.202654159564872,15.202654159564872,0.0,-31.775842990915983,63.98740534213516,-63.98740534213516,0.0,4.596543266978693,48.78475118257029,-48.78475118257029,0.0,3.629188053999298
AP0008,0,False,-399.8376838823972,-399.8376838823972,-403.79111135542746,-1011.2212134662129,-1011.2212134662129,-1015.1746409392431,611.3835295838157,611.3835295838157,611.3835295838157,0.0,0.0,0.0,0.0,3.9534274730301604,-3.9534274730301604,0.0,0.3894332377503476,3.953427473030274,-3.953427473030274,0.0,0.9790773897324263
AP0009,2,False,-2076.428828291057,-1319.6543346441356,-1810.882006496081,-1992.7744832796159,-1595.8877214634633,-1764.24648767714,-83.65434501144102,276.23338681932773,-46.635518818940966,322.8689056382687,37.01882619250006,359.88773183076876,692.3240350167089,168.35876621367674,228.5279956024758,396.88676181615256,9.542814305689392,491.2276718519454,265.54682179497604,756.7744936469214,27.126431765835125
AP0010,1,False,749.2230173585841,994.9283530837373,749.2230173585841,-504.4101826106752,-367.8246608036826,-504.4101826106752,1253.6331999692593,1362.75301388742,1253.6331999692593,109.11981391816062,0.0,109.11981391816062,8.704285585355938,136.58552180699257,0.0,136.58552180699257,27.078264181755227,245.7053357251532,0.0,245.7053357251532,32.79468596565509
AP0011,0,False,-1740.9518780909739,-1665.4545225168818,-1741.7724767395798,-1629.7534222256934,-1549.0065473936022,-1630.574020874299,-111.19845586528055,-116.44797512327943,-111.19845586528055,-5.249519257998884,0.0,-5.249519257998884,-4.72085625393827,81.56747348069689,-0.82059864860571,80.74687483209118,5.002377839735306,76.31795422269806,-0.8205986486059373,75.49735557409213,4.3816259150883745
