Batch,orden_escalon_fase,sn_inv_sim,sn_inv_real,feo_inv_sim,feo_inv_real,T_sim,T_real,masa_sim,masa_real
AP0001,0,2061.073549242358,2375.7351400751195,9997.809154199113,9774.344522078829,1224.36239510109,1228.5968346129157,56129.22311760821,56338.42728248522
AP0001,1,1121.2921059679745,841.2619824406254,9146.786102536202,9387.133406425664,1223.4502976885092,1229.411981736617,53652.10794330933,53569.9173739573
AP0001,2,745.8720858494673,685.7170003448534,8275.034802715243,8884.553502169045,1223.3857938885376,1230.795367123941,51875.065953055026,52440.884088777406
AP0001,3,501.5993014403546,,7686.5277342474365,,1226.0591063492147,1235.7334422125455,50552.03341228895,
AP0002,0,1807.3613140723312,2461.553453514538,9908.151962038204,9595.430333270127,1262.5725666173757,1252.5006195267988,55551.10758501772,56197.28445081361
AP0002,1,1051.0753739937297,1368.0153017296304,9028.84873008254,9762.27977745118,1260.2728045078056,1259.5877208324619,53280.32685723978,54543.88986601931
AP0002,2,784.0646015499345,697.3593617873889,8338.843730962248,8551.509517629389,1259.7642156912718,1237.5127113048793,51824.30248124012,52053.39716260274
AP0002,3,652.1107415916719,545.7760683623598,7767.235267415491,7860.844986933416,1263.7663813708423,1240.1655592857196,50662.387139569364,50746.26391095861
AP0003,0,1930.852539843588,1392.270643216004,10131.74356218418,10293.669870511363,1194.1266530088928,1200.9196981203777,57318.10530504717,56843.614225125704
AP0003,1,1227.6019912734678,831.9192838809607,9302.245451333696,9453.922101801469,1194.2625156882839,1198.3077566341333,55150.66438819526,54846.99920101271
AP0003,2,853.1287828639139,587.8463098918546,8498.678183630864,8890.870074834498,1198.753842882324,1206.069336265779,53430.98737580499,53533.03978616287
AP0003,3,611.3318687520608,,7809.53777493408,,1205.3218572551627,1209.245091372915,51998.56329090645,
AP0004,0,2091.58230277715,1407.0891917304325,10796.218684656289,9262.589070045762,1205.2677384207466,1206.7795011608696,59209.628238030535,56863.576145905536
AP0004,1,1301.973855889193,1266.4021173511242,10254.374321499925,9827.738303251615,1205.3302294875282,1205.6414387750349,57210.025217538845,56794.42628716137
AP0004,2,929.3064134969376,491.5155214644566,9450.409509267465,8815.417196136263,1205.256231243501,1203.4357425040255,55482.165548433855,54347.138596246856
AP0004,3,683.6283168336154,,8886.797268042563,,1208.2101725280536,1206.9221527932623,54160.36484517074,
AP0005,0,3169.8679410799054,2514.878749126174,9871.39864817944,8864.8237046447,1227.4131764653794,1222.769520265375,57467.723677028116,55677.09599783423
AP0005,1,1414.4988246878954,2434.203808056903,8832.169425023842,9403.686031578969,1224.157445287288,1222.2840040143824,53766.39178794328,55679.669885559786
AP0005,2,866.8032934102351,1670.4110394214108,7939.365351371494,9194.163520576554,1223.6836149755918,1217.8252944929257,51749.018419787426,54070.858751866464
AP0005,3,619.0352931400472,892.8174557199338,7728.598827142753,7926.815615572368,1227.9987788987241,1215.042651278873,50798.73089709003,51391.09282909882
AP0006,0,2112.4633363355088,1471.42843255273,10090.485055359262,8752.664221679788,1208.8907660319098,1205.3743752735757,56921.56679059393,55047.82763010588
AP0006,1,1168.985218836064,646.6671679165144,9313.751088532634,8277.373353403647,1207.4735128208483,1199.7488546957666,54507.734899279865,53083.82596589348
AP0006,2,739.4752335367959,,8382.205489704322,,1205.7834074368761,1194.020244288188,52595.97808755949,
AP0006,3,476.2414232471268,,7667.01724018329,,1208.1396341144516,1195.6614926453717,51116.004483793105,
AP0008,0,2289.561769940232,1522.7827637038254,9030.049795618013,8442.10939600331,1184.703511695494,1186.3480462884586,52665.310764051996,51112.098939476564
AP0008,1,1131.6424211603119,935.7538674948416,8531.201147884885,8334.056802580773,1185.5331677223523,1188.4256279193432,50291.28221011742,49853.69565769002
AP0008,2,877.3972090142568,856.931238923002,8240.046381247148,8157.092811284873,1188.2504062795529,1183.6155001156258,49276.13285234909,49175.44123281315
AP0008,3,706.3096110447633,517.5787480263856,7838.580014041079,7813.69096435372,1193.0687787432535,1187.477009863462,48260.22747721573,48003.96475852213
AP0009,0,2072.570659473819,1991.0573851537847,8364.236288857177,8494.217719027769,1181.1246474782133,1177.1879848954811,49078.51842726511,49149.774997624896
AP0009,1,988.042186879263,1054.792888743965,7830.081058076443,8119.347854645906,1176.6338589617462,1169.7155853946779,46788.55413795071,47206.98571177789
AP0009,2,680.8939002573446,425.008048842511,7363.643872490163,7405.312757867006,1172.8779337206245,1161.9381176171357,45585.79159689051,45387.44648040485
AP0009,3,427.0251714948675,,6855.475319865998,,1170.1076031654852,1161.7510510494283,44383.60490700179,
AP0010,0,2702.2468347824297,4135.061710973549,7077.310403260499,8029.876959163593,1193.051377399013,1184.70585553848,47226.49414388149,50037.65426703554
AP0010,1,1129.7072311336924,757.1714502359118,7026.236848463852,7073.391193817059,1192.077316259005,1175.234938507204,44813.63342097874,44427.12258615924
AP0010,2,732.9150342152019,212.459092118584,7011.61382633362,5489.591285934784,1196.6095160107589,1169.426160665857,43933.542435453375,41789.75061341149
AP0010,3,513.2714248953255,212.32047030026845,6619.369279781941,5046.9108453812805,1203.076832141479,1171.6253561047088,42904.372229604975,40988.5077799746
AP0011,0,1589.9598905594048,1746.4486170254618,8598.511468859788,8148.689879381551,1187.187914677671,1191.2848734843274,46682.416954440836,46436.986280556834
AP0011,1,1004.4158315064368,1125.383150281726,8146.357822673608,8587.633224568444,1187.309465206137,1184.8686276998885,45128.02114933716,45728.69363192711
AP0011,2,779.9553731134456,806.9469308978465,7777.130182366169,8503.670026682628,1193.1308663505674,1180.4925112101282,44118.5409446038,44885.24479351688
AP0011,3,631.3603239971364,664.340624308841,7606.84291874081,8249.452843454486,1196.486114266476,1181.1035837503182,43407.85229597253,44098.28239686963
AP0012,0,3660.582325115066,4451.197664007903,10067.086799465063,10015.940025289123,1142.9482014869182,1142.4710144860192,51958.66116705307,52911.71071629008
AP0012,1,1073.9930189284808,799.7723582568484,8572.144639568442,8034.7443231325515,1139.18894986792,1129.919567512534,46809.290816085995,45924.338688305965
AP0012,2,839.4128730019756,415.4737631945808,8095.414022716139,6911.954086224579,1137.8746090895836,1122.3540864333045,45667.84670114621,43946.87573456534
AP0012,3,633.9195388017954,,7597.897377524542,,1138.834948385863,1119.5110410913067,44546.19484582629,
AP0013,0,6629.938491259907,10017.128304308924,10589.316344642573,10921.901336932076,1159.3702074252212,1153.1292977801882,55959.60538180682,60638.93932738629
AP0013,1,1787.892311790434,1986.1369186515167,9375.298077178011,9357.711217479135,1154.8518873644375,1136.5032314361883,48230.68864129267,48510.989171303714
AP0013,2,1093.3039913935522,1117.517737573775,8779.799475874495,8431.328550715181,1152.2627333441233,1117.9686697902187,46389.33311190033,46117.43717290257
AP0013,3,860.6634459187738,968.3418468692215,8417.078245242414,7736.248263616834,1151.159182739621,1107.6704272903396,45370.84962364589,44872.18938226235
AP0014,0,1663.7013241787627,1817.9693920468987,9888.69106965075,10027.31389967514,1180.1092166033552,1184.0528318770089,49922.94040670143,50307.70102794639
AP0014,1,1053.714938030096,614.6841109508688,9333.4980094379,9148.498479854145,1187.0307131912823,1181.4121509385652,48216.04475253534,47524.672255363286
AP0014,2,750.9236523349763,451.24828444549786,8996.903215287555,8942.56761369082,1189.0128951078602,1185.4849742146591,47121.46001646154,46737.264054427535
AP0014,3,494.0205511577583,,8501.083686201564,,1191.5837286095705,1193.6429470924945,45929.62570684785,
AP0015,0,3148.7370228225805,3059.0676672797463,10460.894721050236,10449.727604312038,1172.5953325724256,1169.8342056419795,51706.00947726137,51647.26772378434
AP0015,1,959.1847471911445,957.7179096140477,9193.218067647293,9094.139519128363,1167.1570854373701,1159.8193594391532,47287.94405034882,47252.70917772092
AP0015,2,726.473299934903,1242.0947756335281,8763.230679440328,8707.025268869134,1163.906535798749,1153.0499259075382,46195.582400674415,46859.12308573313
AP0015,3,531.1407613977516,900.8858737742421,8326.200809046197,8252.504057186909,1159.9943072254912,1150.0327698694146,45147.28423893333,45607.54689283866
AP0016,0,1795.518697659872,1415.150339612426,10151.984659535234,9863.404510746766,1160.0280933305812,1160.4948310741245,51339.474317927175,50569.98068940917
AP0016,1,1066.965777520992,908.5608141497089,9422.044890162018,9428.240414623808,1156.0184691528048,1154.2944018693088,49297.83902998207,49119.36066117256
AP0016,2,671.3401761911643,328.1539606206008,8789.143656544657,8287.958552502394,1154.385975699108,1152.6023629728345,47779.87663901979,46865.747018080656
AP0016,3,422.15607712282474,,8296.7849789044,,1155.2885062036273,1154.1509646516274,46591.67902625295,
AP0017,0,2161.4354557389033,2142.882734409554,9592.250132632984,9708.771495252968,1140.7158103705985,1142.61110583441,49466.602187291035,49603.76700022115
AP0017,1,989.2282640444045,1149.112349441997,8786.85108901714,9328.513732243675,1140.4876926736479,1140.6397819029046,46803.5771687365,47592.14534860207
AP0017,2,765.8137521280785,915.9851578149414,8518.090728226416,9201.627873384403,1142.5277249094024,1134.7101133875253,45885.40123845839,46803.18623549851
AP0017,3,646.4058693054992,742.9426801875019,8296.392481833054,9054.526778776286,1144.808407779639,1132.3182528960394,45149.970081453226,46073.964662790815
AP0018,0,2130.2089654973242,2274.733663575831,9322.37732015014,9309.015643013216,1118.2438030957708,1115.7647141382365,49182.52540731623,49409.91493061886
AP0018,1,1097.2709153913886,791.5295712133626,8398.653463213432,8405.376697186923,1117.427792124654,1112.101270609589,46577.7314254137,46253.11583085155
AP0018,2,805.7815611847753,610.9675451622177,8016.019665560092,7718.348413133418,1120.169536937389,1112.5905820383402,45459.00606354418,44970.37723849681
AP0018,3,612.2216816544725,278.8756242341377,7646.529697206174,7250.213082344447,1122.4898461040525,1115.672823137244,44481.39434387062,43717.76520365852
AP0019,0,1920.081759016239,2165.1446074955757,8893.03344662282,8922.890112407442,1114.2163141934552,1107.3974261693793,48326.88573331729,48691.04296434605
AP0019,1,1046.0515125483912,1044.5247569889343,8243.396131957781,8295.938732135708,1113.904430056485,1107.1720094790444,46203.609567106614,46277.29196707875
AP0019,2,763.9439958148382,527.5574267937169,7838.681891521524,7581.763285023366,1116.872164270079,1105.6880294692237,45076.24532570164,44542.16707140468
AP0019,3,527.5253837585465,260.5759999803756,7396.777835440936,7110.8348267899755,1119.2355638288905,1105.5116445944404,43980.32626868135,43378.7248177752
AP0020,0,1378.0733906729117,1130.7447112417362,8921.17059136627,8851.753142949534,1097.8369437192123,1102.467665508792,47052.7953588645,46686.40426266458
AP0020,1,893.9628340231756,1211.6672782405046,8560.15880107703,8712.101915000118,1102.2764459585912,1108.2786016819941,45715.1848040789,46287.47672538887
AP0020,2,723.1917274845307,872.1420367657172,8327.415570617937,8456.772558862229,1108.9871597424096,1115.647457953594,44907.23083209181,45242.62264697397
AP0020,3,599.4776998728107,598.8386050037844,8133.365432400387,8185.929077673884,1116.0044380111347,1122.4365788417497,44201.27814590505,44269.87543459632
AP0021,0,2858.058786337618,3084.7444208458537,10298.025318319857,10508.179510100601,1107.150812928527,1112.6605717932562,56109.56990749067,56616.39755613203
AP0021,1,1270.1039117026407,1305.8251189417242,9239.048233720823,9242.292768457226,1106.698611024141,1110.9875066199193,52615.04157933765,52677.603733176984
AP0021,2,1056.167217286305,1501.206118881003,8882.956914349916,9809.249056433433,1109.5521557760683,1112.1572103977016,51571.87349735321,53078.036943782594
