fase,target,algoritmo,config,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,tiempo_s
Reducción,R_feo_ret,XGBoost_cfg2,"{'max_depth': 4, 'n_estimators': 600, 'learning_rate': 0.03}",1058,242,0.29478348222893413,0.048110874679970925,0.39688231107445704,0.04639381495213315,5.806843519210815
Reducción,R_feo_ret,XGBoost_cfg3,"{'max_depth': 6, 'n_estimators': 200, 'learning_rate': 0.1}",1058,242,0.26806277945378987,0.049129056869543664,0.37730722589814947,0.04714527034132922,5.138365745544434
Reducción,R_feo_ret,RandomForest,n_estimators=500,1058,242,0.31782913658670386,0.046757306367602544,0.46753605950321087,0.04220862694368017,60.07911419868469
Reducción,R_feo_ret,ExtraTrees,n_estimators=500,1058,242,0.3019818905690148,0.04736059882125001,0.48253681363585166,0.04209196964138333,31.959198713302612
Reducción,R_feo_ret,Ridge+cuadraticos_top8,"top8=['ratio_sn_feo_prev', 'm6_feo_inv_kg_prev', 'posicion_vertical_lanza_mm_prev', 'tasa_gn_nm3_min', 'ley_feo_escoria_pct_prev', 'm6_resto_frac_prev', 'interaccion_Sn_x_FeO_prev', 'grad_temperatura_horno_celsius_prev']",1058,242,0.09657948452200171,0.04923203751376863,0.3674474910660399,0.048254378278062275,0.11601710319519043
Reducción,R_feo_ret,Lasso+cuadraticos_top8,"top8=['ratio_sn_feo_prev', 'm6_feo_inv_kg_prev', 'posicion_vertical_lanza_mm_prev', 'tasa_gn_nm3_min', 'ley_feo_escoria_pct_prev', 'm6_resto_frac_prev', 'interaccion_Sn_x_FeO_prev', 'grad_temperatura_horno_celsius_prev']",1058,242,0.2916359942429897,0.04860191825809997,0.4550221221049814,0.0439388382000609,0.2682981491088867
Reducción,R_feo_ret,kNN_mejor(OPTIMISTA:seleccion=OOF),k=20,1058,242,0.2885650248024394,0.04835805238733071,0.3734043380667639,0.04578556618593284,0.30872416496276855
Reducción,R_feo_ret,MLP_64x64,early_stopping,1058,242,-19.414181181868774,0.09274212881961648,-1.3088244804832487,0.08704089605151355,3.9433441162109375
Reducción,R_feo_ret,Stacking_promedio(HGB+XGB+Ridge),media simple,1058,242,0.32362473622120247,0.0465110706916807,0.46682386525877695,0.043083701003209234,0.004023075103759766
Reducción,R_feo_ret,Stacking_meta-Ridge(lineal sobre OOF),"LinearRegression sobre [HGB,XGB,Ridge]",1058,242,0.2891862330090461,0.0474297896720522,0.4498233996547465,0.043974626090506154,0.011420726776123047
Reducción,R_feo_ret,PLM_v6,seed=42,1058,242,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,49.17531776428223
Reducción,R_feo_ret,PLM_v6,seed=1,1058,242,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,35.81858015060425
Reducción,R_feo_ret,PLM_v6,seed=2,1058,242,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,36.68274259567261
Reducción,R_feo_ret,PLM_v6,seed=3,1058,242,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,37.55036425590515
Reducción,R_feo_ret,PLM_v6,seed=4,1058,242,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,39.51094651222229
Fusión,F_sn_dep,HGB_ref,seed=42,1469,313,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,1.7769813537597656
Fusión,F_sn_dep,HGB_ref,seed=1,1469,313,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,1.7914314270019531
Fusión,F_sn_dep,HGB_ref,seed=2,1469,313,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,1.7694404125213623
Fusión,F_sn_dep,HGB_ref,seed=3,1469,313,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,1.6436200141906738
Fusión,F_sn_dep,HGB_ref,seed=4,1469,313,0.14620973428585882,0.14146641031332557,-0.8675632240949778,0.1697912241500308,1.675248146057129
Fusión,F_sn_dep,HGB_grid_mejor(OPTIMISTA:seleccion=OOF),"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150, 'min_samples_leaf': 40}",1469,313,0.1918353389580656,0.13559303833712127,-0.44140217470844734,0.15065289594338063,147.83546614646912
Fusión,F_sn_dep,XGBoost_cfg1,"{'max_depth': 3, 'n_estimators': 300, 'learning_rate': 0.05}",1469,313,0.16011360498978022,0.13900131394590948,-1.1759853037024266,0.18947007458842854,1.1207151412963867
Fusión,F_sn_dep,XGBoost_cfg2,"{'max_depth': 4, 'n_estimators': 600, 'learning_rate': 0.03}",1469,313,0.14498936055192213,0.14047837891710682,-1.7733666953763354,0.21894152458824148,3.41286039352417
Fusión,F_sn_dep,XGBoost_cfg3,"{'max_depth': 6, 'n_estimators': 200, 'learning_rate': 0.1}",1469,313,0.14383428711557422,0.1413759981698755,-1.3296846735011698,0.1952130233476332,2.7928876876831055
Fusión,F_sn_dep,RandomForest,n_estimators=500,1469,313,0.1689855025062722,0.13801148955347217,-0.9356523371000733,0.1768456294913716,48.76665449142456
Fusión,F_sn_dep,ExtraTrees,n_estimators=500,1469,313,0.17705568893909163,0.1378131980331587,-0.7170895184777901,0.16562982330937281,24.297658443450928
Fusión,F_sn_dep,Ridge+cuadraticos_top8,"top8=['tiempo_fase', 'tasa_gn_nm3_min', 'tasa_feed_total_kg_min', 'exceso_o2_combustion_pct', 'ley_feo_escoria_pct_prev', 'ley_sn_carga_batch_pct', 'tasa_aire_nm3_min', 'relacion_C_Sn_carga']",1469,313,0.16107913207430158,0.13780579311855623,-0.5361711622745289,0.16368018370547213,0.09826779365539551
Fusión,F_sn_dep,Lasso+cuadraticos_top8,"top8=['tiempo_fase', 'tasa_gn_nm3_min', 'tasa_feed_total_kg_min', 'exceso_o2_combustion_pct', 'ley_feo_escoria_pct_prev', 'ley_sn_carga_batch_pct', 'tasa_aire_nm3_min', 'relacion_C_Sn_carga']",1469,313,0.14539925753418526,0.13957039983698424,-0.15212810950141287,0.13571768113242338,0.10866451263427734
Fusión,F_sn_dep,kNN_mejor(OPTIMISTA:seleccion=OOF),k=15,1469,313,0.15482364702659213,0.13745549002401128,-0.25811874324251005,0.1350780596042456,0.2421567440032959
Fusión,F_sn_dep,MLP_64x64,early_stopping,1469,313,-0.009410473072836156,0.15705313849519706,-1.9964214598145582,0.2163916653724671,1.316239833831787
Fusión,F_sn_dep,Stacking_promedio(HGB+XGB+Ridge),media simple,1469,313,0.19143753015963583,0.13631846550771498,-0.7652245557886066,0.17207537394945896,0.002003192901611328
Fusión,F_sn_dep,Stacking_meta-Ridge(lineal sobre OOF),"LinearRegression sobre [HGB,XGB,Ridge]",1469,313,0.18649272693873864,0.13624529482327957,-0.67134056316109,0.16764611370453159,0.007161378860473633
Fusión,F_sn_dep,PLM_v6,seed=42,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,19.142459630966187
Fusión,F_sn_dep,PLM_v6,seed=1,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,18.688842296600342
Fusión,F_sn_dep,PLM_v6,seed=2,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,18.74905562400818
Fusión,F_sn_dep,PLM_v6,seed=3,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,18.60073208808899
Fusión,F_sn_dep,PLM_v6,seed=4,1469,313,0.16089265341975356,0.13869689694991785,-0.4664194481539703,0.14880944947012825,18.5104022026062
