fase,target,algoritmo,config,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,tiempo_s
Reducción,R_sn_dep,HGB_ref,seed=42,1058,242,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,3.804070234298706
Reducción,R_sn_dep,HGB_ref,seed=1,1058,242,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,3.9391121864318848
Reducción,R_sn_dep,HGB_ref,seed=2,1058,242,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,3.778822422027588
Reducción,R_sn_dep,HGB_ref,seed=3,1058,242,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,3.809222459793091
Reducción,R_sn_dep,HGB_ref,seed=4,1058,242,0.7587415782105952,0.2498299282183852,0.8041414309892162,0.23494923306699783,3.900587320327759
Reducción,R_sn_dep,HGB_grid_mejor(OPTIMISTA:seleccion=OOF),"{'max_depth': 3, 'learning_rate': 0.03, 'max_iter': 150, 'min_samples_leaf': 40}",1058,242,0.770783997421281,0.2432663129559588,0.8138206164292486,0.2306155974780041,313.7406876087189
Reducción,R_sn_dep,XGBoost_cfg1,"{'max_depth': 3, 'n_estimators': 300, 'learning_rate': 0.05}",1058,242,0.7570998397255783,0.24883108042343022,0.8078195601574358,0.23194791350293056,3.774083375930786
Reducción,R_sn_dep,XGBoost_cfg2,"{'max_depth': 4, 'n_estimators': 600, 'learning_rate': 0.03}",1058,242,0.7481349354681885,0.2540656769463689,0.79853141201831,0.23547594560083135,5.954561710357666
Reducción,R_sn_dep,XGBoost_cfg3,"{'max_depth': 6, 'n_estimators': 200, 'learning_rate': 0.1}",1058,242,0.7462318135392361,0.2570114705879794,0.7867764343037491,0.24540663264427937,4.896768808364868
Reducción,R_sn_dep,RandomForest,n_estimators=500,1058,242,0.7655956183903535,0.24411029305351162,0.8127243345241953,0.22920246034290936,56.215688943862915
Reducción,R_sn_dep,ExtraTrees,n_estimators=500,1058,242,0.7671796847653528,0.2428345461431437,0.8047494478371389,0.23382110629720085,30.273571014404297
Reducción,R_sn_dep,Ridge+cuadraticos_top8,"top8=['ley_sn_escoria_pct_prev', 'interaccion_Sn_x_FeO_prev', 'Cx_sn_v6', 'posicion_vertical_lanza_mm_prev', 'ratio_sn_feo_prev', 'cum_aire_nm3_prev', 'tasa_gn_nm3_min', 'grad_temperatura_horno_celsius_prev']",1058,242,0.7551333674605516,0.25084918702851067,0.7493314190251013,0.2707402010352618,0.12780380249023438
Reducción,R_sn_dep,Lasso+cuadraticos_top8,"top8=['ley_sn_escoria_pct_prev', 'interaccion_Sn_x_FeO_prev', 'Cx_sn_v6', 'posicion_vertical_lanza_mm_prev', 'ratio_sn_feo_prev', 'cum_aire_nm3_prev', 'tasa_gn_nm3_min', 'grad_temperatura_horno_celsius_prev']",1058,242,0.7114959860738238,0.25172318907573404,0.7866546148413147,0.2489128242257326,0.4723069667816162
Reducción,R_sn_dep,kNN_mejor(OPTIMISTA:seleccion=OOF),k=20,1058,242,0.7297261369349366,0.269389696162081,0.7898503310430884,0.24746818375508134,0.4261763095855713
Reducción,R_sn_dep,MLP_64x64,early_stopping,1058,242,0.663760112431562,0.29018834679773753,0.7394756607476116,0.26441526743594945,2.7372589111328125
Reducción,R_sn_dep,Stacking_promedio(HGB+XGB+Ridge),media simple,1058,242,0.7705809907106392,0.24153749589697932,0.8065776822539168,0.23129213453157127,0.004022121429443359
Reducción,R_sn_dep,Stacking_meta-Ridge(lineal sobre OOF),"LinearRegression sobre [HGB,XGB,Ridge]",1058,242,0.7675645645174647,0.24267244506245,0.8029224716139569,0.23309521246838746,0.011855840682983398
Reducción,R_sn_dep,PLM_v6,seed=42,1058,242,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,32.45648646354675
Reducción,R_sn_dep,PLM_v6,seed=1,1058,242,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,31.617733001708984
Reducción,R_sn_dep,PLM_v6,seed=2,1058,242,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,30.957711696624756
Reducción,R_sn_dep,PLM_v6,seed=3,1058,242,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,28.954558610916138
Reducción,R_sn_dep,PLM_v6,seed=4,1058,242,0.7652489876932658,0.24430348256799345,0.7996825168326529,0.23509090711135402,28.045984745025635
Reducción,R_feo_ret,HGB_ref,seed=42,1058,242,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.6903705596923828
Reducción,R_feo_ret,HGB_ref,seed=1,1058,242,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.6790368556976318
Reducción,R_feo_ret,HGB_ref,seed=2,1058,242,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.5906846523284912
Reducción,R_feo_ret,HGB_ref,seed=3,1058,242,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.6627366542816162
Reducción,R_feo_ret,HGB_ref,seed=4,1058,242,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.7190589904785156
Reducción,R_feo_ret,HGB_grid_mejor(OPTIMISTA:seleccion=OOF),"{'max_depth': 3, 'learning_rate': 0.05, 'max_iter': 150, 'min_samples_leaf': 10}",1058,242,0.33153674521377874,0.046679169901982814,0.48531517339073904,0.041523678209220066,171.28068733215332
Reducción,R_feo_ret,XGBoost_cfg1,"{'max_depth': 3, 'n_estimators': 300, 'learning_rate': 0.05}",1058,242,0.3258187764963456,0.04715133750529215,0.41051736157100704,0.04586873345246108,1.5375308990478516
