palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota
tasa_feed_Carbon_kg_min,-0.00027879536013029183,-0.0017502543337944605,-4.8788439778431215e-57,22.036286149892653,-0.006143614333093485,-0.038569105334584464,-1.0751160197643155e-55,False,-1,True,False
Cx_av_v6,-1.275282437612496e-22,-0.002414518931010969,-2.0894670414403067e-62,16.547638505623585,-2.1102912770182044e-21,-0.039954586435354204,-3.457574527116901e-61,False,-1,,True
tasa_gn_nm3_min,-0.0028134324333227603,-0.004584286972211104,-0.0012298618785128806,4.93663229207273,-0.013888881401905896,-0.022630939103145658,-0.006071375864255915,True,-1,True,False
exceso_o2_combustion_pct,0.00019024628872205777,2.460708700832451e-15,0.0005668720342224016,10.966604528323423,0.002086355811396044,2.6985619181434e-14,0.006216661417483299,False,1,True,False
tasa_aire_nm3_min,0.00019506258675549076,6.314312070350625e-17,0.0008020908959984013,9.244160871469004,0.0018031899319726357,5.837051657097969e-16,0.007414657276149936,False,1,True,False
