target,tipo,grupo,conjunto,r2,mae,n,extra
R_sn_dep,orden,R0,OOF_dev,0.1516828911425041,0.3000263858043978,288,
R_sn_dep,orden,R1,OOF_dev,0.5731924745326243,0.20745976554974296,286,
R_sn_dep,orden,R2,OOF_dev,0.1166812704919512,0.22386858459669146,284,
R_sn_dep,orden,R3,OOF_dev,-0.1044216040915138,0.24576657236291827,200,
R_sn_dep,orden,R0,lockbox,-0.015393812819240127,0.29104382309968346,63,
R_sn_dep,orden,R1,lockbox,0.6522950900905407,0.1837045093459646,63,
R_sn_dep,orden,R2,lockbox,0.024031297964650755,0.19077734143157585,63,
R_sn_dep,orden,R3,lockbox,-0.232121820006705,0.28233739748457665,53,
R_sn_dep,tercio_cronologico_DEV,T0,OOF_dev,0.7242962135259097,0.25904973784762153,338,
R_sn_dep,tercio_cronologico_DEV,T1,OOF_dev,0.7906430175396788,0.24742471977962,355,
R_sn_dep,tercio_cronologico_DEV,T2,OOF_dev,0.7750515971428784,0.22761232230870102,365,
R_sn_dep,cuartil_avance_prev_DEV,Q0,OOF_dev,0.09140720303973238,0.30896816920455583,265,
R_sn_dep,cuartil_avance_prev_DEV,Q1,OOF_dev,0.5958572612319989,0.2053535435137751,264,
R_sn_dep,cuartil_avance_prev_DEV,Q2,OOF_dev,0.06460420225015961,0.21668685748682304,264,
R_sn_dep,cuartil_avance_prev_DEV,Q3,OOF_dev,0.005348600435021389,0.24595416548517685,265,
R_sn_dep,residuo_normalidad,skew_kurt_shapiro,OOF_dev,-0.16668521505352915,1.0851229232510358,1058,shapiro_p=0.0000
R_sn_dep,heterocedasticidad,abs_res_vs_pred,OOF_dev,0.09944135506977773,0.00120064405388094,1058,
R_sn_dep,residuo_vs_palanca,Cx_sn_v6,OOF_dev,0.07066682387868428,0.021520239408511256,1058,
R_sn_dep,residuo_vs_palanca,tasa_gn_nm3_min,OOF_dev,0.043208478076024015,0.16018998357002753,1058,
R_sn_dep,residuo_vs_palanca,exceso_o2_combustion_pct,OOF_dev,-0.05438442661928026,0.07703165377651654,1058,
R_sn_dep,residuo_vs_palanca,tasa_aire_nm3_min,OOF_dev,-0.02552555094092157,0.40686621479412577,1058,
R_feo_ret,orden,R0,OOF_dev,0.1185159651145189,0.0505649336148262,288,
R_feo_ret,orden,R1,OOF_dev,0.26733032918558386,0.05035933064710395,286,
R_feo_ret,orden,R2,OOF_dev,0.007801177628853795,0.04508137661546176,284,
R_feo_ret,orden,R3,OOF_dev,-0.09334816411820368,0.040044478964430266,200,
R_feo_ret,orden,R0,lockbox,0.24760420880246714,0.03617887701444175,63,
R_feo_ret,orden,R1,lockbox,0.22855051649254976,0.04970227345511169,63,
R_feo_ret,orden,R2,lockbox,-0.2813080898027125,0.03917240790069422,63,
R_feo_ret,orden,R3,lockbox,-0.1266797588023576,0.042321968220283224,53,
R_feo_ret,tercio_cronologico_DEV,T0,OOF_dev,0.402313707137143,0.04655861843842032,338,
R_feo_ret,tercio_cronologico_DEV,T1,OOF_dev,0.2983603473086083,0.04582417066971686,355,
R_feo_ret,tercio_cronologico_DEV,T2,OOF_dev,0.2849664981995015,0.048693376925707715,365,
R_feo_ret,cuartil_avance_prev_DEV,Q0,OOF_dev,0.1077792460044068,0.05011969256385435,265,
R_feo_ret,cuartil_avance_prev_DEV,Q1,OOF_dev,0.24484055188711118,0.04754016307437217,264,
R_feo_ret,cuartil_avance_prev_DEV,Q2,OOF_dev,0.056911664115956606,0.04889939677372805,264,
R_feo_ret,cuartil_avance_prev_DEV,Q3,OOF_dev,-0.05658558534683644,0.04164420327735474,265,
R_feo_ret,residuo_normalidad,skew_kurt_shapiro,OOF_dev,-0.44407387385424985,2.325918107035542,1058,shapiro_p=0.0000
R_feo_ret,heterocedasticidad,abs_res_vs_pred,OOF_dev,-0.011421630740574435,0.7105754800646882,1058,
R_feo_ret,residuo_vs_palanca,tasa_feed_Carbon_kg_min,OOF_dev,0.014440421671975543,0.6389470245106458,1058,
R_feo_ret,residuo_vs_palanca,Cx_av_v6,OOF_dev,0.018739163502806896,0.5426172067394552,1058,
R_feo_ret,residuo_vs_palanca,tasa_gn_nm3_min,OOF_dev,-0.002767150714079083,0.9283661717496777,1058,
R_feo_ret,residuo_vs_palanca,exceso_o2_combustion_pct,OOF_dev,0.06427647251514454,0.03658138224711542,1058,
R_feo_ret,residuo_vs_palanca,tasa_aire_nm3_min,OOF_dev,0.017012888002816924,0.5804260102373332,1058,
F_sn_dep,orden,F2,OOF_dev,0.07153425322220197,0.09872387523393027,296,
F_sn_dep,orden,F3,OOF_dev,0.03477296551669251,0.10866851825963572,295,
F_sn_dep,orden,F4,OOF_dev,0.10522656939835806,0.11958372976618166,296,
F_sn_dep,orden,F5,OOF_dev,0.02899121718896358,0.13873391626800458,291,
F_sn_dep,orden,F6,OOF_dev,0.04121503292472717,0.2292024330543448,291,
