forma,clave,target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox
tasa,sn_dep,m6_ln_sn_dep,38,4,1058,242,0.759267313241853,0.24953895892195982,0.8012261056849537,0.24180545033990838
tasa,feo_ret,m6_ln_feo_ret,38,5,1058,242,0.32222168176863863,0.047048786373309885,0.4963172248277682,0.04216528432732894
