clave,politica,bloque_ini,n_train,n_test,r2,mae,pearson,theta_gn_1sd
sn_dep,expandido_todo,30,148.0,148,-0.3990787971875789,0.20066353595922157,0.13601330164280542,0.04962729957856725
sn_dep,expandido_todo,60,296.0,150,-0.20616309861474247,0.16400455669509215,0.19060453511923692,0.03261503356167488
sn_dep,expandido_todo,90,446.0,150,-0.17481057545638623,0.1645061872541842,0.16967743273594035,0.010586221732864061
sn_dep,expandido_todo,120,596.0,149,-0.3015075226433772,0.14011667831535715,0.21241459904018306,0.02917367498892743
sn_dep,expandido_todo,150,745.0,147,-0.1772659084319641,0.12870790525030282,-0.013491919308204184,0.022804499516298534
sn_dep,expandido_todo,180,892.0,148,0.09709603556844137,0.15914631387969858,0.3478086398254071,0.023738467209852097
sn_dep,expandido_todo,210,1040.0,141,0.18730709266888457,0.15035922764401735,0.45838545250427243,0.022852885338216562
sn_dep,expandido_todo,240,1181.0,143,0.17728180078760902,0.15081879383320623,0.442470470479412,0.025090654531338366
sn_dep,expandido_todo,270,1324.0,150,0.2897125684485461,0.13651365052319592,0.5387923848485118,0.03178262162613638
sn_dep,expandido_todo,300,1474.0,150,-0.4337473853803626,0.13511469660314818,0.3520053529034923,0.02507061098267587
sn_dep,expandido_todo,330,1624.0,148,-0.010027405687417446,0.12712485491779166,0.2697213468295476,0.0176279071764143
sn_dep,expandido_todo,360,1772.0,10,0.30526846727837864,0.10300036748707705,0.6587262817301447,0.018561873473891703
sn_dep,expandido_todo,GLOBAL,,1634,-0.007178923362052947,0.1503564194595746,0.2908054749431345,
sn_dep,ventana_movil_150,30,148.0,148,-0.3990787971875789,0.20066353595922157,0.13601330164280542,0.04962729957856725
sn_dep,ventana_movil_150,60,296.0,150,-0.20616309861474247,0.16400455669509215,0.19060453511923692,0.03261503356167488
sn_dep,ventana_movil_150,90,446.0,150,-0.17481057545638623,0.1645061872541842,0.16967743273594035,0.010586221732864061
sn_dep,ventana_movil_150,120,596.0,149,-0.3015075226433772,0.14011667831535715,0.21241459904018306,0.02917367498892743
