Batch,policy,orden_escalon_fase,pred_sn_dep,pred_feo_ret,pred_dT,support_score,J,J_sn,J_feo,J_costo,J_temperatura,J_incertidumbre,J_soporte,accion__tasa_feed_Carbon_kg_min,accion__tasa_gn_nm3_min,accion__tasa_o2_nm3_min,accion__tasa_aire_nm3_min,m6_sn_inv_kg_pred,m6_feo_inv_kg_pred,temperatura_pred,real_ln_sn_dep,real_ln_feo_ret,fold,es_lockbox
AP0300,historica,0,1.7016450381812551,-0.18151820564593815,-9.158780451116746,0.2921081705395872,123.66025088109495,2522.965286422415,-1639.0031407631914,-128.6332033849833,-0.0,-631.6686913931453,-0.0,62.9648419123824,27.554672828956882,31.28911656782835,121.10991988570602,3426.997055703464,11887.047556510899,1008.6483831174708,0.9646196026320748,-0.0990012932777466,-1,True
AP0300,historica,1,0.7985910019789856,-0.12065158303651151,-15.002864471515991,0.2616378155240473,-599.0579766495149,1184.0409314716676,-1089.413168399279,-62.01704832875831,-0.0,-631.6686913931453,-0.0,32.39840025290465,20.380081386990017,24.935947889539936,125.1510576171875,1542.1980251579694,10535.998095396671,993.6455186459548,1.4884489221277748,-0.20174300632343356,-1,True
AP0300,historica,2,0.2214535363845581,-0.015586513007734126,-9.039183472011787,0.2549626830558017,-466.0235171264512,328.34085388976985,-140.73708850478724,-21.958591118288517,-0.0,-631.6686913931453,-0.0,10.781295376732235,13.150246344672308,16.435739673764477,124.0097675238715,1235.8452531687788,10373.051805095953,984.606335173943,0.2904330330718982,-0.02250758008627621,-1,True
AP0300,historica,3,0.22766148086547594,-0.04904713686154659,5.061976386306962,0.4113019384357845,-749.2099354106527,337.5451403737087,-442.86693489202537,-12.219449499190802,-0.0,-631.6686913931453,-0.0,5.774434502718522,17.33236644280408,13.126493536385931,120.50164135928132,984.2195081991952,9876.558625248448,989.6683115602499,0.11277385377725752,-0.07385332956769536,-1,True
AP0300,miope,0,1.7332622568632632,-0.18392428166022348,-8.201541404573202,0.294952872698484,144.47776354083305,2569.8429509165276,-1660.7285987154412,-132.96789726710787,-0.0,-631.6686913931454,-0.0,66.2093830330141,27.558074241960696,29.505186332740223,121.7433052258065,3320.3399260883034,11858.480797183282,1009.6056221640143,0.9646196026320748,-0.0990012932777466,-1,True
AP0300,miope,1,0.774773115510628,-0.08279621869734148,-11.697931696424847,0.29700087035583217,-277.4735011372218,1148.7270443757764,-747.6013880004735,-46.93046611937928,-0.0,-631.6686913931453,-0.0,17.432512379362933,25.270908802010503,24.746576174670963,125.61924191174862,1530.2223617935379,10916.190694893383,997.9076904675895,1.4884489221277748,-0.20174300632343356,-1,True
AP0300,miope,2,0.21001935459337626,-0.02036490603915548,-7.836233779180844,0.2661820722059147,-526.1226416083334,311.3878213298017,-183.8831804267013,-21.958591118288517,-0.0,-631.6686913931453,-0.0,10.781295376732235,13.150246344672308,16.435739673764477,124.0097675238715,1240.350132596354,10696.131841377593,990.0714566884087,0.2904330330718982,-0.02250758008627621,-1,True
AP0300,miope,3,0.13822042117951136,-0.04527425253870528,2.8250103194305387,0.4187566655064472,-845.6120838620247,204.93423521706725,-408.7999980089288,-10.077629677017935,-0.0,-631.6686913931453,-0.0,3.294660545117927,16.559791385675613,11.36755140213688,123.34161025848347,1080.2292461631641,10222.671127721225,992.8964670078393,0.11277385377725752,-0.07385332956769536,-1,True
AP0300,horizonte,0,1.7472897616949503,-0.18862843384944858,-8.038348522179579,0.293718284955993,121.06991165779448,2590.641006299039,-1703.204339291056,-134.69806395704322,-0.0,-631.6686913931453,-0.0,66.2093830330141,28.93436607022187,31.14353314774124,119.01344688329391,3274.0889927284734,11802.827701724877,1009.7688150464079,0.9646196026320748,-0.0990012932777466,-1,True
AP0300,horizonte,1,0.7510560353866238,-0.07951037015375843,-9.98667282085871,0.3152781797604175,-281.6366380298954,1113.56261906642,-717.9320991055099,-45.598466597660135,-0.0,-631.6686913931453,-0.0,18.467372910464654,23.496059488975686,19.56882337139021,121.61998377665944,1545.1242312837985,10900.719196069404,999.7821422255491,1.4884489221277748,-0.20174300632343356,-1,True
