muestra,variable,n,coef_obs_pp_sd,se_hc3,MDE_80pct,uplift_pred_medio_pp,pendiente_uplift_vs_dist_pp_sd,efecto_esperado_pp_sd,n_batches_requeridos,potencia_actual
DEV,dist_R,298,0.12996023597939044,0.21130183662878874,0.5916451425606084,0.34668289940339275,0.31695950021937486,-0.31695950021937486,1038.3202496471072,0.32303962267523495
DEV,dist_F,297,-0.48529269793554447,0.3203504757956935,0.8969813322279416,0.34785018189296646,0.03233504150502285,-0.03233504150502285,228547.4674658738,0.05116361731412966
DEV,dist_total,298,-0.1347125258696027,0.2632367537198563,0.7370629104155976,0.34668289940339275,0.25532065528433406,-0.25532065528433406,2483.438895469832,0.16276462796259858
TOTAL,dist_R,361,0.06111026537709076,0.2043057492802921,0.5720560979848178,0.35227656982751665,0.2970090340312116,-0.2970090340312116,1339.1990178744222,0.3066601873055196
TOTAL,dist_F,360,-0.17700410621376228,0.2700599873451261,0.756167964566353,0.3532551158548154,0.032824147100730394,-0.032824147100730394,191052.24657514715,0.05168968794558068
TOTAL,dist_total,361,-0.02359338827070063,0.24030827737409724,0.6728631766474722,0.35227656982751665,0.2324070893858373,-0.2324070893858373,3025.951631040257,0.16209494983906073
