variable,target,muestra,coef_lin,coef_sq,p_sq,ci_lo_sq,ci_hi_sq,vertice,n
b2_fin_F,kpi_v6,dev,0.23223015365381938,0.12711797020502286,0.15899717039707517,-0.049775941274004976,0.3040118816840507,0.483397831596378,297
b2_fin_F,kpi_v6,total,0.25245989766512156,0.07455462357586451,0.3729055509925002,-0.08943769620742695,0.23854694335915597,0.4469579473711824,360
b2_fin_F,R_sum_m6_ln_feo_ret,dev,0.016350816332047248,-0.00023939289038996028,0.9376783087887633,-0.006240313043442889,0.005761527262662968,2.1240946098566322,296
b2_fin_F,R_sum_m6_ln_feo_ret,total,0.020136971884603935,-0.0012581849526396944,0.6212944143656056,-0.006249913769811898,0.0037335438645325096,0.900585580289066,359
b2_fin_F,R_sum_m6_ln_sn_dep,dev,-0.04512510163478784,0.024307037959494612,0.19799413920221498,-0.012701729130305671,0.061315805049294896,0.5695763079996012,296
b2_fin_F,R_sum_m6_ln_sn_dep,total,-0.04274687435160159,0.018261028609768633,0.32805918522475974,-0.018333898016252567,0.05485595523578983,0.5809095773395874,359
irf_fin_F,kpi_v6,dev,-0.1234110743766123,0.03667685267539976,0.5028554470665184,-0.0706140666486242,0.14396777199942373,0.3250303842170589,297
irf_fin_F,kpi_v6,total,-0.05518394492835288,0.028147397795626805,0.8011947646251923,-0.19094566382255804,0.24724045941381165,0.304058555407718,360
irf_fin_F,R_sum_m6_ln_feo_ret,dev,0.004355055714419377,0.0029145715773946585,0.47643879448521753,-0.005108067059919221,0.010937210214708538,0.2524005765033148,296
irf_fin_F,R_sum_m6_ln_feo_ret,total,0.005884909218571,0.0030384988458248955,0.4110296157600537,-0.004205718271346911,0.010282715962996703,0.24578443963235938,359
irf_fin_F,R_sum_m6_ln_sn_dep,dev,0.025141446043147234,-0.0039391454598539065,0.7323869962108771,-0.026517117377346962,0.01863882645763915,0.3701583895536444,296
irf_fin_F,R_sum_m6_ln_sn_dep,total,-0.0071670989562531325,-0.004217622259576408,0.5468717872781934,-0.017938809062977717,0.0095035645438249,0.24933449691923817,359
