clave,politica,n_calib_batches,n_eval_batches,n_eval_filas,r2,mae,pearson,bias_global_calib
sn_dep,sin_recalibrar,20,43,213,-0.44908401727658664,0.16229655435807194,0.34861310940186857,0.07242392915559553
sn_dep,intercepto_global,20,43,213,-0.10436468934558074,0.13319300959776523,0.3486131094018686,0.07242392915559553
sn_dep,intercepto_por_orden,20,43,213,0.011719860751196465,0.1271858337690976,0.3100472692122095,0.07242392915559553
dT,sin_recalibrar,20,43,214,-0.05082370379564316,6.976302028331774,0.3561821070036239,0.15163427795779957
dT,intercepto_global,20,43,214,-0.04585691120354629,6.9563463792317775,0.3561821070036239,0.15163427795779957
dT,intercepto_por_orden,20,43,214,-0.1087160175365478,7.298545339321001,0.3646758817639153,0.15163427795779957
