Batch,policy,orden_escalon_fase,pred_sn_dep,pred_feo_ret,pred_dT,support_score,J,J_sn,J_feo,J_costo,J_temperatura,J_incertidumbre,J_soporte,accion__tasa_feed_Carbon_kg_min,accion__tasa_gn_nm3_min,accion__tasa_o2_nm3_min,accion__tasa_aire_nm3_min,m6_sn_inv_kg_pred,m6_feo_inv_kg_pred,temperatura_pred,real_ln_sn_dep,real_ln_feo_ret,fold,es_lockbox
AP0001,historica,0,1.8861370410429603,-0.14865997886713528,3.675767167906655,0.26078717366151016,575.6378067715173,2796.504660615358,-1342.312587335102,-124.9709119919817,-103.91260493151276,-649.670749585244,-0.0,63.27719600282865,25.67613748055917,23.1553141841182,118.90712917751736,1960.5535278006791,10041.299849716248,1221.907522115577,1.6976485621949498,-0.1756055047955765,0,False
AP0001,historica,1,0.7232788558535683,-0.05378467112413237,-2.1432093620880304,0.35542074799351286,-233.06465007777524,1072.3784366169912,-485.644096049056,-70.5020548531296,-99.62618620733656,-649.6707495852443,-0.0,37.86293647961739,24.165946777343752,20.195696682400175,119.80885416666668,951.179952022676,9515.498609667327,1219.7643127534889,1.0382604275382346,-0.04042108197674594,0,False
AP0001,historica,2,0.6278913096158143,-0.07295308552908074,-0.18591077694981145,0.33362482269035776,-509.886535284835,930.9508988432572,-658.7236574151574,-33.18866247425382,-99.25436465343682,-649.6707495852442,-0.0,18.906451900421626,19.694319746229382,12.328093630472818,116.94646470811631,507.66001363733,8846.030402757344,1219.578401976539,0.2044844413764346,-0.055025757729241516,0,False
AP0001,historica,3,0.47565328378803184,-0.07485513004348322,2.6098461571707805,0.3841638807012495,-736.7559632167217,705.2332868743728,-675.8980059709043,-11.946437567167811,-104.47405696777832,-649.6707495852442,-0.0,4.354313337802887,17.021396597403065,6.807160633228444,118.99402542679398,315.4999978729878,8208.036097726921,1222.1882481337097,,,0,False
AP0001,miope,0,1.8861370410429603,-0.14865997886713528,3.675767167906655,0.26078717366151016,575.6378067715173,2796.504660615358,-1342.312587335102,-124.9709119919817,-103.91260493151276,-649.670749585244,-0.0,63.27719600282865,25.67613748055917,23.1553141841182,118.90712917751736,1960.5535278006791,10041.299849716248,1221.907522115577,1.6976485621949498,-0.1756055047955765,0,False
AP0001,miope,1,0.7232788558535683,-0.05378467112413237,-2.1432093620880304,0.35542074799351286,-233.06465007777524,1072.3784366169912,-485.644096049056,-70.5020548531296,-99.62618620733656,-649.6707495852443,-0.0,37.86293647961739,24.165946777343752,20.195696682400175,119.80885416666668,951.179952022676,9515.498609667327,1219.7643127534889,1.0382604275382346,-0.04042108197674594,0,False
AP0001,miope,2,0.6131882334091429,-0.06935725290335243,-1.162294155321021,0.35565568938096903,-492.35927474854975,909.1511991169832,-626.2553937153541,-28.28273266824008,-97.3015978966946,-649.6707495852442,-0.0,14.463332631060595,18.773737305180035,12.775788270357303,121.8491375472206,515.1793205158402,8877.896505738388,1218.602018598168,0.2044844413764346,-0.055025757729241516,0,False
AP0001,miope,3,0.4840094975420499,-0.07668749769771588,3.9850773362361265,0.38713379846254287,-741.7094213385489,717.6227316494395,-692.4432132664095,-11.946437567167811,-105.27175256916689,-649.6707495852442,-0.0,4.354313337802887,17.021396597403065,6.807160633228444,118.99402542679398,317.5088010186061,8222.523452086596,1222.587095934404,,,0,False
AP0001,horizonte,0,1.8861370410429603,-0.14865997886713528,3.675767167906655,0.26078717366151016,575.6378067715173,2796.504660615358,-1342.312587335102,-124.9709119919817,-103.91260493151276,-649.670749585244,-0.0,63.27719600282865,25.67613748055917,23.1553141841182,118.90712917751736,1960.5535278006791,10041.299849716248,1221.907522115577,1.6976485621949498,-0.1756055047955765,0,False
AP0001,horizonte,1,0.7232788558535683,-0.05378467112413237,-2.1432093620880304,0.35542074799351286,-233.06465007777524,1072.3784366169912,-485.644096049056,-70.5020548531296,-99.62618620733656,-649.6707495852443,-0.0,37.86293647961739,24.165946777343752,20.195696682400175,119.80885416666668,951.179952022676,9515.498609667327,1219.7643127534889,1.0382604275382346,-0.04042108197674594,0,False
