muestra,spec,y,variable,coef,lo,hi,p,n,r2adj,sd_x
dev,nivel,recuperacion_refinada_pct,ln_sn_inv_F6,0.812362960220228,-0.8438200731561756,2.4685459935966314,0.3363669332388466,297,0.003643102500633044,0.3212473584650667
dev,nivel,f_dross,ln_sn_inv_F6,-0.017010736772733234,-0.030256426040803003,-0.003765047504663466,0.011833267040061138,297,0.08533947210674153,0.3212473584650667
dev,nivel,f_polvo,ln_sn_inv_F6,0.005333725335491806,-0.006349363285070272,0.017016813956053884,0.37089941672076554,297,0.03413325914901588,0.3212473584650667
dev,nivel,sn_perdido_escoria_frac,ln_sn_inv_F6,0.004845550729543649,0.0020869144565605047,0.007604187002526793,0.0005759781064518382,297,0.09593028272968318,0.3212473584650667
dev,nivel+ln_feed,recuperacion_refinada_pct,ln_sn_inv_F6,0.8004308956365036,-0.8545843155168913,2.4554461067898985,0.3431721178063256,297,0.0023062749067864763,0.3212473584650667
dev,nivel+ln_feed,recuperacion_refinada_pct,ln_feed_sn_F,-19.67263520951183,-61.13807255370198,21.79280213467832,0.3524360214196278,297,0.0023062749067864763,0.05789376430306656
dev,nivel+ln_feed,f_dross,ln_sn_inv_F6,-0.0169536982949247,-0.030230202349375228,-0.0036771942404741718,0.012320980905202568,297,0.08289442153023796,0.3212473584650667
dev,nivel+ln_feed,f_dross,ln_feed_sn_F,0.09404048720690561,-0.21895790925667347,0.4070388836704847,0.555947192842547,297,0.08289442153023796,0.05789376430306656
dev,nivel+ln_feed,f_polvo,ln_sn_inv_F6,0.0054243157384729615,-0.0062406016652805625,0.017089233142226486,0.3620820453099888,297,0.03303299618366473,0.3212473584650667
dev,nivel+ln_feed,f_polvo,ln_feed_sn_F,0.149358222026262,-0.16331786516092348,0.46203430921344746,0.3491547754771943,297,0.03303299618366473,0.05789376430306656
dev,nivel+ln_feed,sn_perdido_escoria_frac,ln_sn_inv_F6,0.0048087222807016335,0.0020850082010955705,0.007532436360307697,0.0005395336786774358,297,0.10164602653338795,0.3212473584650667
dev,nivel+ln_feed,sn_perdido_escoria_frac,ln_feed_sn_F,-0.060719805388123105,-0.15025345099034265,0.028813840214096442,0.18378011642177294,297,0.10164602653338795,0.05789376430306656
dev,frac_conservada,recuperacion_refinada_pct,ln_frac_sn_conservado_F,0.8337988518010583,-0.8311763521958905,2.498774055798007,0.3263336360977048,297,0.0038163613269714958,0.3240491999238713
dev,frac_conservada,f_dross,ln_frac_sn_conservado_F,-0.017089995494261025,-0.03032256747521403,-0.00385742351330802,0.011363653545239324,297,0.08557956823227997,0.3240491999238713
dev,frac_conservada,f_polvo,ln_frac_sn_conservado_F,0.00515064463735145,-0.006582888654679544,0.016884177929382443,0.3895899103084962,297,0.03397290842512801,0.3240491999238713
dev,frac_conservada,sn_perdido_escoria_frac,ln_frac_sn_conservado_F,0.00490757870145741,0.0021339915218451496,0.00768116588106967,0.0005244337078790104,297,0.09729036968510185,0.3240491999238713
dev,frac_conservada+heel,recuperacion_refinada_pct,ln_frac_sn_conservado_F,1.2207501875121431,-0.38745516167529437,2.8289555366995804,0.13681373680702844,297,0.129979987952894,0.3240491999238713
dev,frac_conservada+heel,recuperacion_refinada_pct,F_lnirf_F0,8.249761993251447,6.143304528829943,10.35621945767295,1.6409125010535508e-14,297,0.129979987952894,0.21069914208014864
dev,frac_conservada+heel,f_dross,ln_frac_sn_conservado_F,-0.01913807702060538,-0.03238023427110984,-0.00589591977010092,0.00461688637089106,297,0.13711751463428878,0.3240491999238713
dev,frac_conservada+heel,f_dross,F_lnirf_F0,-0.043664883864703685,-0.0645318724837648,-0.02279789524564258,4.1085088383235765e-05,297,0.13711751463428878,0.21069914208014864
dev,frac_conservada+heel,f_polvo,ln_frac_sn_conservado_F,0.003329560318350692,-0.008088580065248313,0.014747700701949697,0.5676399239276362,297,0.08349278668164495,0.3240491999238713
dev,frac_conservada+heel,f_polvo,F_lnirf_F0,-0.03882532715332375,-0.055591441442353104,-0.022059212864294398,5.6604016562278046e-06,297,0.08349278668164495,0.21069914208014864
dev,frac_conservada+heel,sn_perdido_escoria_frac,ln_frac_sn_conservado_F,0.004830797402195771,0.0020972501057106717,0.007564344698680871,0.0005327995193376065,297,0.09639070572594721,0.3240491999238713
dev,frac_conservada+heel,sn_perdido_escoria_frac,F_lnirf_F0,-0.0016369692671481429,-0.005719451193720868,0.0024455126594245826,0.4319291943991146,297,0.09639070572594721,0.21069914208014864
dev,ley_F6,recuperacion_refinada_pct,ln_ley_sn_F6,0.9135351019031994,-1.1311462401692556,2.9582164439756546,0.3812015368138256,298,0.002044716372427202,0.2604076690632358
dev,ley_F6,f_dross,ln_ley_sn_F6,-0.02001867937346385,-0.03610127115654581,-0.003936087590381894,0.014701509105477214,298,0.08134202098545962,0.2604076690632358
dev,ley_F6,f_polvo,ln_ley_sn_F6,0.006404495181926769,-0.008011736431332957,0.020820726795186498,0.38390407378998403,298,0.03398827171231089,0.2604076690632358
dev,ley_F6,sn_perdido_escoria_frac,ln_ley_sn_F6,0.0061253045960640955,0.002758818958047326,0.009491790234080866,0.0003622707848270616,298,0.09846414335711173,0.2604076690632358
dev,ley_F6+heel,recuperacion_refinada_pct,ln_ley_sn_F6,1.654864415309178,-0.32821850468407243,3.6379473353024285,0.1019292202429537,297,0.1313644179867296,0.2604076690632358
dev,ley_F6+heel,recuperacion_refinada_pct,F_lnirf_F0,8.34036477970687,6.225838451117296,10.454891108296446,1.0693857183587595e-14,297,0.1313644179867296,0.21069914208014864
dev,ley_F6+heel,f_dross,ln_ley_sn_F6,-0.024069043421656736,-0.040288144070308264,-0.007849942773005207,0.0036308096447378794,297,0.13792301881946,0.2604076690632358
dev,ley_F6+heel,f_dross,F_lnirf_F0,-0.04482284129627478,-0.06584033454718201,-0.023805348045367547,2.9162910129544266e-05,297,0.13792301881946,0.21069914208014864
dev,ley_F6+heel,f_polvo,ln_ley_sn_F6,0.0030220679546713322,-0.010960029511650784,0.01700416542099345,0.6718404514657754,297,0.08304929464455812,0.2604076690632358
dev,ley_F6+heel,f_polvo,F_lnirf_F0,-0.038787009832432016,-0.055593401306105406,-0.021980618358758627,6.086929241625727e-06,297,0.08304929464455812,0.21069914208014864
