config,clave,tercio,palanca,theta_1sd,ci_lo,ci_hi,n,tabla,bloque,n_train,n_test,r2_bloque,r2_global_walkforward
CURADO,feo_ret,1.0,tasa_feed_Carbon_kg_min,-0.01352623209102489,-0.061386451762536993,-7.522780970027427e-23,355.0,tercio,,,,,
CURADO,feo_ret,1.0,Cx_av_v6,-0.020131844773504274,-0.054295272764229706,-6.773868204278725e-29,355.0,tercio,,,,,
CURADO,feo_ret,1.0,tasa_gn_nm3_min,-0.008447272312228086,-0.020555100211904542,-5.381740607890191e-19,355.0,tercio,,,,,
CURADO,feo_ret,1.0,exceso_o2_combustion_pct,0.006767657596880917,0.002187311898225371,0.012423448350879128,355.0,tercio,,,,,
CURADO,feo_ret,1.0,tasa_aire_nm3_min,5.7414608471953594e-24,1.2757550064688759e-37,8.270911183074912e-11,355.0,tercio,,,,,
CURADO,feo_ret,2.0,tasa_feed_Carbon_kg_min,-0.019825426992790215,-0.045528663099655406,-0.00014881830118963627,365.0,tercio,,,,,
CURADO,feo_ret,2.0,Cx_av_v6,-1.1891274492620459e-24,-0.0003794622723996313,-3.851586734473688e-48,365.0,tercio,,,,,
CURADO,feo_ret,2.0,tasa_gn_nm3_min,-0.019664822683249244,-0.033438013471411884,-0.0032327104026977065,365.0,tercio,,,,,
CURADO,feo_ret,2.0,exceso_o2_combustion_pct,3.185260513845246e-14,4.5046634924337135e-24,0.009906018276714229,365.0,tercio,,,,,
CURADO,feo_ret,2.0,tasa_aire_nm3_min,0.008789358272370996,9.009959269645907e-17,0.025775298228601844,365.0,tercio,,,,,
libre_k20,sn_dep,0.0,Cx_sn_v6,1.9099293143320705e-11,3.0158209352250634e-20,0.0806701399846368,362.0,tercio,,,,,
libre_k20,sn_dep,0.0,tasa_gn_nm3_min,0.046449303039726775,2.7298986934392313e-14,0.10382043053842832,362.0,tercio,,,,,
libre_k20,sn_dep,0.0,exceso_o2_combustion_pct,-1.3358358337985927e-20,-2.4349163075668293e-10,-4.9031268848432325e-34,362.0,tercio,,,,,
libre_k20,sn_dep,0.0,tasa_aire_nm3_min,0.012643312000683811,-0.020807947397058664,0.040660309230008476,362.0,tercio,,,,,
libre_k20,sn_dep,1.0,Cx_sn_v6,0.1361129017870017,3.9745983704752757e-13,0.3270965712029763,355.0,tercio,,,,,
libre_k20,sn_dep,1.0,tasa_gn_nm3_min,0.027884259809420598,2.0251568505316866e-22,0.10322783477600352,355.0,tercio,,,,,
libre_k20,sn_dep,1.0,exceso_o2_combustion_pct,-0.028529069912166114,-0.05742445605612226,-8.449382924600207e-21,355.0,tercio,,,,,
libre_k20,sn_dep,1.0,tasa_aire_nm3_min,0.04448839594541052,0.025200749289747724,0.06617607543501683,355.0,tercio,,,,,
libre_k20,sn_dep,2.0,Cx_sn_v6,0.2443186613057182,0.05201663158143125,0.5285033203192003,365.0,tercio,,,,,
libre_k20,sn_dep,2.0,tasa_gn_nm3_min,0.04817543861766898,5.004641489799001e-19,0.1104225297969312,365.0,tercio,,,,,
libre_k20,sn_dep,2.0,exceso_o2_combustion_pct,-8.110692874794369e-11,-0.02991460952278566,-2.676393834083163e-23,365.0,tercio,,,,,
libre_k20,sn_dep,2.0,tasa_aire_nm3_min,-0.0004372704032581941,-0.06347346756927197,0.02193323211397586,365.0,tercio,,,,,
libre_k20,feo_ret,0.0,tasa_feed_Carbon_kg_min,-3.1052063546217404e-41,-0.0025472842198613465,-1.1e-322,362.0,tercio,,,,,
libre_k20,feo_ret,0.0,Cx_av_v6,-2.6448310520369203e-30,-4.32267378173777e-12,-8e-323,362.0,tercio,,,,,
