forma,clave,target,n_parametros,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,frac_target_no_positivo_dev
loglineal,sn_dep,m6_ln_sn_dep,12,1083,242,0.4087942652866673,0.32735576300084973,0.6761821883740622,0.2984069917763403,0.05355493998153278
loglineal,feo_ret,m6_ln_feo_ret,12,1083,242,0.13506811449554668,0.05337261721566073,0.2767252514938222,0.05010992322460189,0.10249307479224377
