variable,n,rho,p_rho,ci_low,ci_high
ley_sn_conc_batch_pct,362,0.048217081957596976,0.3603219069732738,-0.055030218314244025,0.14863559409964067
feed_dross_Fe_total_t,362,0.015308247476272286,0.7716104901537683,-0.09008530435277128,0.12102911209304427
