kpi,var,beta_por_sd,p,n,r2
f_dross,dross_fe_F_t,0.0025164553037751343,0.39288498676746153,299,0.1132044911565303
f_dross,fe_mineral_F_t,0.004018743604791345,0.16332663089795463,299,0.1132044911565303
f_dross,carbon_F_t,-0.006159531350870789,0.015777164693095404,299,0.1132044911565303
f_metal,dross_fe_F_t,-0.0054592296627724414,0.2492784942876931,299,0.02021734858718971
f_metal,fe_mineral_F_t,-0.0029706496379514314,0.5089200685091558,299,0.02021734858718971
f_metal,carbon_F_t,0.0011463400190853115,0.7084363622232543,299,0.02021734858718971
f_polvo,dross_fe_F_t,0.0029427743589972343,0.35125924220695715,299,0.0743586263196927
f_polvo,fe_mineral_F_t,-0.0010480939668399839,0.7620982523538034,299,0.0743586263196927
f_polvo,carbon_F_t,0.00501319133178545,0.01665453060421083,299,0.0743586263196927
rendimiento_proxy_batch,dross_fe_F_t,-0.5459229662772435,0.24927849428769389,299,0.020217348587189377
rendimiento_proxy_batch,fe_mineral_F_t,-0.2970649637951426,0.5089200685091575,299,0.020217348587189377
rendimiento_proxy_batch,carbon_F_t,0.1146340019085309,0.7084363622232548,299,0.020217348587189377
sn_ext_F_t,dross_fe_F_t,0.420482060409469,0.13132005301056474,299,0.21155497829134629
sn_ext_F_t,fe_mineral_F_t,-1.1022058741505623,0.0029456487731653936,299,0.21155497829134629
sn_ext_F_t,carbon_F_t,-1.2112739782678155,0.0002042187918724412,299,0.21155497829134629
