variable,muestra,n,rho,p_rho,ci_low,ci_high
tiro_horno_pct,dev,775,-0.013706765227773369,0.7032164693447617,-0.0818695369056006,0.050225269027145775
tiro_horno_pct,lockbox,179,-0.04034938173368838,0.5917689084053278,-0.18773052514733976,0.11460034839028614
tiro_horno_pct,total,954,-0.017743616760498845,0.5841247569127567,-0.08124878413332098,0.0430777196481393
total_process_gas_nm3_min,dev,776,0.13268348114374054,0.00021008050061348182,0.0553868915081143,0.20416859230235684
total_process_gas_nm3_min,lockbox,179,0.02003849936183123,0.790050251967236,-0.14416403305360104,0.17379088407130444
total_process_gas_nm3_min,total,955,0.11008619089797995,0.0006546274701254643,0.04693394940089681,0.17800405503482974
tasa_gn_nm3_min,dev,776,0.157239876581413,1.0798330359768391e-05,0.08188887633967937,0.22303527682344104
tasa_gn_nm3_min,lockbox,179,0.04288075659615424,0.5687126828025184,-0.09471697888091131,0.19082857858831367
tasa_gn_nm3_min,total,955,0.13042905594520726,5.2848075403169195e-05,0.06790896180096247,0.19079158421712267
posicion_vertical_lanza_mm,dev,776,0.04206470616181291,0.24183350151255384,-0.0263538494637268,0.10733588888819204
posicion_vertical_lanza_mm,lockbox,179,0.1354340593810809,0.07066448204878083,-0.015411220668644705,0.2685810038987764
posicion_vertical_lanza_mm,total,955,0.05666887245044943,0.08005699161783827,-0.005323532682507448,0.12248448157646565
temperatura_horno_celsius_prev,dev,778,0.046764638685198416,0.19257291887849304,-0.02546038989319381,0.11641811925266264
temperatura_horno_celsius_prev,lockbox,179,-0.04712824053731718,0.5310108123501405,-0.19540781048387956,0.09609681977604168
temperatura_horno_celsius_prev,total,957,0.03393110048161986,0.29436096413064583,-0.021936711892996865,0.09239997615909394
b6_dispersion_trazadores,dev,778,0.00020096826364171948,0.9955346425960793,-0.07358751369193456,0.06535334869865914
b6_dispersion_trazadores,lockbox,179,0.06099847257966647,0.4172840234865312,-0.0702979908718905,0.18205114893145058
b6_dispersion_trazadores,total,957,0.00839462512006277,0.7953602734396559,-0.050804070727880374,0.0684297458238319
