Batch,rendimiento_proxy_batch,recuperacion_refinada_pct,cuartil_proxy,cuartil_refinado,cambia_cuartil
AP0001,79.91765201995008,78.4385053607697,4,4,False
AP0002,73.05531072136027,72.14314023686171,4,4,False
AP0003,79.15175258246624,78.14326293566891,4,4,False
AP0004,72.52505027310832,71.85093529025706,4,4,False
AP0005,71.60074551166002,70.15845553393244,3,3,False
AP0006,73.67015516465584,72.57614671931469,4,4,False
AP0007,74.14683229482415,71.86118676988926,4,4,False
AP0008,59.56529046993668,58.92715260043539,1,1,False
AP0009,77.74576970038642,76.67768621035799,4,4,False
AP0010,68.50557650116588,68.16148386572002,2,2,False
AP0011,65.4900480917299,64.46025013766302,1,1,False
AP0012,74.17638638591971,73.31810988860353,4,4,False
AP0013,64.58338515029256,63.40204397910659,1,1,False
AP0014,72.27735907223597,71.39812729827501,3,4,True
AP0015,76.89084849130701,75.14929565234326,4,4,False
AP0016,73.18325133927344,72.3987505014677,4,4,False
AP0017,70.17902842181307,69.0339560550024,3,3,False
AP0018,70.14778707534529,69.61398865040907,3,3,False
AP0019,68.85542078251675,68.38198798518673,2,2,False
AP0020,71.49362988104966,70.29318056956637,3,3,False
AP0021,71.54015202378017,69.79018382328715,3,3,False
AP0022,57.762105962367876,57.322123227247275,1,1,False
AP0023,73.71980227073506,73.02108529158157,4,4,False
AP0024,69.97752808840514,68.24465926788112,3,2,True
AP0025,71.64213374701936,70.25938653818,3,3,False
AP0026,74.97094771520791,73.63430377036208,4,4,False
AP0027,69.86460301210657,68.35179128931844,3,2,True
AP0028,66.29014116195945,65.6207391190057,1,1,False
AP0029,67.01348465735106,65.88376038277886,2,2,False
AP0030,71.22694488104591,69.92471280949019,3,3,False
AP0031,64.60847930118547,64.14580284784356,1,1,False
AP0032,72.28606164433323,71.61495281608187,3,4,True
AP0033,70.20180396607145,68.51324204215862,3,3,False
AP0034,73.4113115470715,72.29393444746285,4,4,False
AP0035,72.33746690454569,71.32074589797088,3,4,True
AP0036,64.53171549490077,63.69161356988688,1,1,False
AP0037,69.07773087261799,68.65731407847392,2,3,True
AP0038,70.54828998984121,69.38813084594135,3,3,False
AP0039,67.8520960145846,66.93700757800468,2,2,False
AP0040,70.94745298054326,68.44628321164319,3,3,False
AP0041,72.81941645167599,71.75709033455325,4,4,False
AP0042,74.22791691922325,73.19159819358674,4,4,False
AP0043,73.85536826897214,72.39589576208347,4,4,False
AP0044,68.36797693655916,67.51492679822287,2,2,False
AP0045,70.620289548631,68.17813473003088,3,2,True
AP0046,72.0754188691322,70.73450083007361,3,3,False
AP0047,68.62511041569327,67.82223857401883,2,2,False
AP0048,65.9167013299936,64.70774231269817,1,1,False
AP0049,68.82755232596378,68.07164741269094,2,2,False
AP0050,66.69978681150528,65.97494431801756,1,2,True
AP0051,67.12126740583344,64.71543628585202,2,1,True
AP0052,76.92483109701323,76.28575459062732,4,4,False
AP0053,65.16159742922527,64.70549611337013,1,1,False
AP0054,70.42641897917086,69.65793107695757,3,3,False
AP0055,65.26264948798122,64.68115613791976,1,1,False
AP0056,65.00749152489105,64.37798291679474,1,1,False
AP0057,68.84337282400334,68.02036704137622,2,2,False
AP0058,69.92345372358601,68.7934018512708,3,3,False
AP0059,71.1117321217387,70.75881842336166,3,3,False
AP0060,73.81007591438333,72.7689305612895,4,4,False
AP0061,74.12864176403744,73.02430015068636,4,4,False
AP0062,60.59331542143988,60.002474201557796,1,1,False
AP0063,71.88788060959965,70.78033703805492,3,3,False
AP0064,68.33958031216245,67.70432849591536,2,2,False
AP0065,62.506838131807285,61.97328559546493,1,1,False
AP0066,74.42650379199918,73.2697746662867,4,4,False
AP0067,67.45633364604086,66.36748236091319,2,2,False
AP0068,64.37056071084467,63.990883052261786,1,1,False
AP0069,61.28607897234433,60.28684839936101,1,1,False
AP0070,68.40189663779786,67.40859081593221,2,2,False
AP0071,57.02027857631483,56.07833320146904,1,1,False
AP0072,68.78991355814203,67.68196281350318,2,2,False
AP0073,67.07364898153848,66.31578096407327,2,2,False
AP0074,61.8489811448908,61.491653799322684,1,1,False
AP0075,67.05338260366518,66.45102232304394,2,2,False
AP0076,73.0125644963346,71.62262648540546,4,4,False
AP0077,57.96378107353545,57.40152233921551,1,1,False
AP0078,69.46175275786955,68.55464212762764,2,3,True
AP0079,69.59159440477647,68.38656988346229,2,2,False
AP0080,66.00034666524354,65.40929594366527,1,1,False
AP0081,69.31476919887791,68.3821075429745,2,2,False
AP0082,67.37416963669861,66.59204997348402,2,2,False
AP0083,66.68643359792155,66.40535933623725,1,2,True
AP0084,63.66807038669051,63.07716960270198,1,1,False
AP0085,67.82113835722257,67.05066332556247,2,2,False
AP0086,69.10137046783555,68.30270535545422,2,2,False
AP0087,63.23555160938662,62.566958876857086,1,1,False
AP0088,69.49818852850008,67.49483932967502,2,2,False
AP0089,71.00337900884242,70.05299225191753,3,3,False
AP0090,71.35091344142262,69.9548462049045,3,3,False
AP0091,69.99098374086337,68.58277332677757,3,3,False
AP0092,64.26531004804194,63.853680311481114,1,1,False
AP0093,72.26241251796098,71.14027124610894,3,3,False
AP0094,70.57812258923136,69.36246750256105,3,3,False
AP0095,62.04554851238651,61.74139192309872,1,1,False
AP0096,67.9505495925716,67.17186007645331,2,2,False
AP0097,58.327159013340165,57.27013630574783,1,1,False
AP0098,62.977905463743305,62.19428718295218,1,1,False
AP0099,68.24650370012404,67.741977420962,2,2,False
AP0100,69.27353245216207,68.00737328574324,2,2,False
AP0101,66.5706281446838,65.65090617396629,1,1,False
AP0102,69.21493902604699,68.34069887713703,2,2,False
AP0103,70.27804856385265,69.24932266662927,3,3,False
AP0104,63.119763101629005,62.10984481094542,1,1,False
AP0105,69.0643554002944,68.07043434810971,2,2,False
AP0106,67.6954478007303,67.17760387452252,2,2,False
AP0107,68.37984972223518,67.5915418532535,2,2,False
AP0108,72.60709805321838,71.2406149621665,4,3,True
AP0109,75.2440608247891,73.70356116512347,4,4,False
AP0110,67.51394069607987,66.69683017951613,2,2,False
AP0111,59.95947216997236,59.00811082640783,1,1,False
AP0112,70.280035285811,69.61273870075898,3,3,False
AP0113,75.2067368896212,74.27826584080685,4,4,False
AP0114,64.61897281426242,63.9268449257049,1,1,False
AP0115,65.30617057079391,64.39843472786895,1,1,False
