Batch,rendimiento_proxy_batch,recuperacion_refinada_pct,cuartil_proxy,cuartil_refinado,cambia_cuartil
AP0116,71.17108673377778,70.22104856749674,3,3,False
AP0117,61.25568977870816,60.67227998596772,1,1,False
AP0118,65.27657038031192,64.61636722010667,1,1,False
AP0119,67.34192726605917,66.71193248568531,2,2,False
AP0120,68.49535442370555,67.99647941835006,2,2,False
AP0121,67.45212522669513,66.75667092196463,2,2,False
AP0122,70.19702705991743,69.55998775272788,3,3,False
AP0123,71.38927536616988,70.14900140914891,3,3,False
AP0124,70.91459476986874,69.49960314497643,3,3,False
AP0125,64.66488603060837,64.00234748194958,1,1,False
AP0126,64.97174973309644,64.54368986571316,1,1,False
AP0127,68.99600333422,68.14158472233768,2,2,False
AP0128,63.3889067796939,62.774861258594825,1,1,False
AP0129,68.80948984907785,68.21774553302862,2,2,False
AP0130,76.22740468599622,75.35219497500168,4,4,False
AP0131,64.63338094067147,63.4774572506526,1,1,False
AP0132,65.88374795030101,65.09369702857832,1,1,False
AP0133,68.47738955075236,67.71870050873771,2,2,False
AP0134,61.91397879590847,60.995141181853725,1,1,False
AP0135,62.26040941233482,61.91634357671901,1,1,False
AP0136,68.06820204907228,67.21324609494278,2,2,False
AP0137,70.88639124036565,69.94308087499658,3,3,False
AP0138,58.625967158488876,58.21917483019654,1,1,False
AP0139,69.90259533159339,69.44627772115354,3,3,False
AP0140,69.96473877301716,68.84378136709238,3,3,False
AP0141,62.295206859461196,61.34493885522402,1,1,False
AP0142,73.55770200610748,72.7087098384054,4,4,False
AP0143,72.47417241213776,71.78918788350337,4,4,False
AP0144,69.91445579487271,69.36942509591199,3,3,False
AP0145,64.86719646914743,64.20639493664603,1,1,False
AP0146,72.80955270837866,72.30912519264164,4,4,False
AP0147,72.96307508304407,72.32712376780174,4,4,False
AP0148,77.68774908452457,76.62172674882521,4,4,False
AP0149,74.86081370884254,74.04355972815453,4,4,False
AP0150,68.49495300566005,67.61072369018586,2,2,False
AP0151,57.404971526154746,56.22324531862023,1,1,False
AP0152,71.15277172170163,70.23974689959972,3,3,False
AP0153,67.8650647984966,67.16119932511415,2,2,False
AP0154,64.25260676394039,63.36942100327135,1,1,False
AP0155,67.62038048269191,66.37590073602613,2,2,False
AP0156,68.93970821422688,67.9602757978706,2,2,False
AP0157,70.87437249317207,70.20792602921432,3,3,False
AP0158,72.61908325123001,71.286399896656,4,3,True
AP0159,79.06775670112962,77.36984939134257,4,4,False
AP0160,65.36215586362145,64.73236719558052,1,1,False
AP0161,73.58917465220368,72.35892775745542,4,4,False
AP0162,82.04861096752636,79.92966748153054,4,4,False
AP0163,68.27180915430661,67.56753752221942,2,2,False
AP0164,70.82211568321414,69.82753416358047,3,3,False
AP0165,72.89123557366597,71.64698373868731,4,4,False
AP0166,67.7053590858021,66.2838230796189,2,2,False
AP0167,71.239339811662,69.98344633646374,3,3,False
AP0168,73.33522315428759,72.54929498186115,4,4,False
AP0169,72.62295031042878,70.60652534331085,4,3,True
AP0170,70.43130460975291,69.56579232283426,3,3,False
AP0171,69.97863436383892,67.75530084635038,3,2,True
AP0172,69.77450250230696,68.97613503041453,3,3,False
AP0173,73.88973264520219,72.80351613390985,4,4,False
AP0174,76.49096191076157,75.53968544582273,4,4,False
AP0175,68.14622211976875,67.44666048640316,2,2,False
AP0176,67.43467254270297,66.12018177517912,2,2,False
AP0177,74.24335351979437,73.1548127993984,4,4,False
AP0178,73.73316950812031,72.96918734475213,4,4,False
AP0179,70.13008619595749,68.8241809147443,3,3,False
AP0180,70.57977974260392,69.40097316818414,3,3,False
AP0181,61.566424845284466,60.880923793292574,1,1,False
AP0182,72.27615768788192,68.50290935570159,3,3,False
AP0183,61.809401595145594,60.067392287869666,1,1,False
AP0184,64.8089817681888,63.853562342251784,1,1,False
AP0185,67.10540922287353,65.39070870804228,2,1,True
AP0186,73.01234197969465,72.17341000720207,4,4,False
AP0187,64.03645857564088,62.86507158225252,1,1,False
AP0188,72.62896642012767,70.89124963941455,4,3,True
AP0189,72.57204105498306,71.80665930929668,4,4,False
AP0190,67.47735364116184,66.81005936546053,2,2,False
AP0191,70.41753166784619,69.79776534234806,3,3,False
AP0192,71.22162920900416,69.72912579126411,3,3,False
AP0193,64.57168749074502,63.61816949636374,1,1,False
AP0194,64.90903076848403,62.81111960119818,1,1,False
AP0195,68.15233541971674,67.37687240762436,2,2,False
AP0196,60.43351411312338,59.9917793044094,1,1,False
AP0197,69.1823778249205,68.26552873092122,2,2,False
AP0198,70.68889790530595,70.07696314412189,3,3,False
AP0199,72.2733024603543,69.60470453679486,3,3,False
AP0200,73.15059361113873,71.8065918254643,4,4,False
AP0201,67.09957322893993,66.75306615048929,2,2,False
AP0202,67.12287371039088,66.4514440756962,2,2,False
AP0203,67.79923190734513,66.19553935976042,2,2,False
AP0204,60.863310290464845,60.410093576370244,1,1,False
AP0205,64.1901037712104,63.66233755856593,1,1,False
AP0206,66.50803579954899,63.96967014025942,1,1,False
AP0207,70.64280982652163,69.79008827869758,3,3,False
AP0208,74.68286740348356,73.79294245621271,4,4,False
AP0209,72.55314338657644,71.55359338258206,4,4,False
AP0210,68.15696169302298,67.08815572778333,2,2,False
AP0211,75.41130626545628,74.60280343253305,4,4,False
AP0212,72.18348980959064,70.93343629838353,3,3,False
AP0213,72.34329127523083,70.13314182765484,4,3,True
AP0214,76.068255281587,75.15219181323657,4,4,False
AP0215,69.51747159564997,69.04243746866473,2,3,True
AP0216,74.64826729378122,73.48446419256281,4,4,False
AP0217,77.43659000960069,76.75021429676049,4,4,False
AP0218,66.11835591013704,63.18360377448334,1,1,False
AP0219,60.280124423987154,59.321399986192574,1,1,False
AP0220,78.80569506549615,77.40069151848783,4,4,False
AP0221,68.34855929233406,67.5295878084326,2,2,False
AP0222,59.15619740294824,57.98409620648263,1,1,False
AP0223,68.96693629425373,67.90518378251541,2,2,False
AP0224,65.65726134183335,64.28045817732976,1,1,False
AP0225,60.86118849974752,60.58829688060983,1,1,False
AP0226,67.43359127513693,66.52672916909347,2,2,False
AP0227,72.65281995285044,72.2549691965013,4,4,False
AP0228,67.57184117073118,66.96503127723106,2,2,False
AP0229,74.73219532607355,73.47448383181303,4,4,False
AP0230,63.99737737146059,63.368908736985794,1,1,False
AP0231,66.26445030543391,65.73661664170938,1,2,True
AP0232,74.07367684909066,72.53462699193129,4,4,False
AP0233,66.72365286029398,66.05017757649037,2,2,False
AP0234,71.41973643193772,70.84500030250688,3,3,False
AP0235,63.84925183569626,62.75130878245399,1,1,False
AP0236,61.84588944667188,61.3405164214334,1,1,False
AP0237,68.59497324815254,67.64450803899014,2,2,False
AP0238,70.25934178842125,69.12886737483416,3,3,False
AP0239,71.00593098975824,70.41423496955446,3,3,False
AP0240,68.32434865776489,67.66283212379383,2,2,False
AP0241,69.9958317414688,68.76778810285886,3,3,False
AP0242,62.97845754987414,62.37548476218909,1,1,False
AP0243,62.82293573323303,62.15995820832996,1,1,False
AP0244,61.497176353087305,60.47851500222553,1,1,False
AP0245,66.88606669464507,65.79375420271414,2,2,False
AP0246,70.87472132044162,69.69536107524598,3,3,False
AP0247,69.60973596776374,68.33521124032349,3,2,True
AP0248,73.32809217442095,72.01425958814754,4,4,False
AP0249,70.00483969279398,68.2273669768435,3,2,True
AP0250,69.45453698126711,68.32263707238101,2,2,False
AP0251,66.30108189543635,64.43543560703735,1,1,False
AP0252,71.88580223164061,69.69858236602778,3,3,False
AP0253,69.34247294264458,67.40751762265255,2,2,False
AP0254,68.48296156193642,67.77485911825491,2,2,False
AP0255,69.36700634765852,68.48081777763139,2,3,True
AP0256,79.32291635988028,77.99753524571082,4,4,False
AP0257,73.9634410435498,72.9437616417784,4,4,False
AP0258,70.92088416461371,70.01041343774864,3,3,False
AP0259,71.72500942362744,70.76733234248859,3,3,False
AP0260,72.66460557446115,71.79743122615318,4,4,False
AP0261,69.3587771950111,68.70150973977627,2,3,True
AP0262,71.03711399943658,69.37564377413703,3,3,False
AP0263,72.47939123224289,71.63339043250862,4,4,False
AP0264,53.46631279930443,52.436387615322275,1,1,False
AP0265,67.57812021336437,66.13358573147792,2,2,False
AP0266,68.82276426817565,68.14813584541199,2,2,False
AP0267,69.14646235431212,67.77524991711785,2,2,False
AP0268,71.34160466303699,69.50400992300996,3,3,False
AP0269,78.01092143730281,76.65970458269598,4,4,False
AP0270,70.51296568641997,69.52230941540435,3,3,False
AP0271,70.96996782883302,69.33277183560936,3,3,False
AP0272,77.80132442548198,76.49929603629987,4,4,False
AP0273,75.9598022555646,74.94921003385784,4,4,False
AP0274,76.97081956263347,75.57281944322924,4,4,False
AP0275,73.19433305117263,71.9783391367337,4,4,False
AP0276,62.29031032890669,61.49212964484874,1,1,False
AP0277,67.9528997550545,67.12866358814517,2,2,False
AP0278,70.35018539508107,67.97021900535015,3,2,True
AP0279,75.7052157590071,74.54813402618969,4,4,False
AP0280,73.06284499483672,72.32601631826518,4,4,False
AP0281,70.38141621480578,69.42098665784579,3,3,False
AP0282,72.87851883731952,71.78494013150659,4,4,False
AP0283,77.76061938841988,76.62586616936464,4,4,False
AP0284,70.29644267528795,68.9065933024852,3,3,False
AP0285,63.57863443281581,62.855143430618575,1,1,False
AP0286,70.38819543578892,69.69748338420641,3,3,False
AP0287,72.06487715702391,70.92036621446238,3,3,False
AP0288,58.82168770737069,58.49731518030937,1,1,False
AP0289,72.30923460674595,71.83274468053851,3,4,True
AP0290,68.93395887031836,67.69143682301996,2,2,False
AP0291,66.69513007994273,65.88222094231642,1,2,True
AP0292,72.30649539169916,71.45730133616091,3,4,True
AP0293,70.79828885494398,69.99060283021153,3,3,False
AP0294,65.414652862516,64.6501357636906,1,1,False
AP0295,61.667568575098755,60.96113135977048,1,1,False
AP0296,65.812403312884,64.89548645218021,1,1,False
AP0297,67.94551235340873,67.14960850299607,2,2,False
AP0298,58.61201797619076,57.81459000172114,1,1,False
AP0299,66.914701893064,65.61183187207303,2,1,True
AP0300,61.295334254739316,60.20673368741126,1,1,False
AP0301,63.655865098284764,62.467755509177216,1,1,False
AP0302,68.96048025564419,68.0089425863327,2,2,False
AP0303,67.95762562185553,67.4020275637985,2,2,False
AP0304,65.25104153742109,64.41000243958423,1,1,False
AP0305,74.24538638795586,72.82294856664973,4,4,False
AP0306,70.45913240780253,68.82195904278298,3,3,False
AP0307,69.59642918083054,68.84217544767698,3,3,False
AP0308,66.72856210927988,66.01922110474561,2,2,False
AP0309,66.88466018316834,65.71820200904077,2,2,False
AP0310,71.40259819071879,70.82081632237052,3,3,False
AP0311,77.20482942071501,76.42105864098745,4,4,False
AP0312,68.86060126091267,67.70800021958333,2,2,False
AP0313,65.21787700622376,64.62687133682353,1,1,False
AP0314,73.54833479688197,72.6907072059106,4,4,False
AP0315,71.7674508920415,71.1191963558437,3,3,False
AP0316,68.78090271590784,68.29534583662378,2,2,False
AP0317,77.49134228268635,76.27733051292954,4,4,False
AP0318,73.61717325880034,72.47672709248081,4,4,False
AP0319,78.743619457751,77.68194225921276,4,4,False
AP0320,70.47378361792774,69.58033212600465,3,3,False
AP0321,73.03732845374714,72.07428028518332,4,4,False
AP0322,64.74269757468193,64.1176097588855,1,1,False
AP0323,69.16477196689875,67.95490181048453,2,2,False
AP0324,74.27540310744783,73.4414836110525,4,4,False
AP0325,66.89922059471319,65.7113878597076,2,1,True
AP0326,69.07407448257621,68.16941774973931,2,2,False
AP0327,77.66126683328832,76.01514238376294,4,4,False
AP0328,72.192694914391,71.76366936099475,3,4,True
AP0329,69.55231633949222,68.40937192003642,2,3,True
AP0330,74.92141231405941,73.68522465365253,4,4,False
AP0331,74.48703645142531,73.52671556112453,4,4,False
AP0332,67.88638795725905,67.14075146702469,2,2,False
AP0333,76.90854668639062,75.57664959680929,4,4,False
AP0334,72.47116563974524,71.38173576025912,4,4,False
AP0335,71.3180531573553,70.24910114316774,3,3,False
AP0336,72.59181045393478,71.35944290502515,4,4,False
AP0337,78.2049740445404,77.1267779800791,4,4,False
AP0338,71.52697676037712,70.73436460662242,3,3,False
AP0339,61.477672453545445,60.115854391162344,1,1,False
AP0340,74.0252462113782,73.47986341918968,4,4,False
AP0341,71.74520872966211,71.0742622028706,3,3,False
AP0342,66.45594474638187,65.45385997678754,1,1,False
AP0343,67.48856525771005,66.98035143908663,2,2,False
AP0344,69.62402278019816,69.07027926287397,3,3,False
AP0345,71.3542445295934,69.86467287812656,3,3,False
AP0346,72.4079838457387,71.15947339759231,4,3,True
AP0347,72.14093348193349,71.23456688332851,3,3,False
AP0348,73.28846867968403,71.90868413048355,4,4,False
AP0349,66.35174441270732,65.57409917049607,1,1,False
AP0350,69.55581194810524,68.99394592075392,2,3,True
AP0351,65.46446736757115,64.43621773778312,1,1,False
AP0352,70.02173083722968,68.7727909379667,3,3,False
AP0353,72.68032408118736,71.81434104117022,4,4,False
AP0354,69.9436052852901,69.41428779693915,3,3,False
AP0355,68.7804242318142,67.76925829310056,2,2,False
AP0356,64.61495994367955,63.641749897971714,1,1,False
AP0357,75.59043594323433,74.79655787505556,4,4,False
AP0358,64.0939004103475,63.216858572543174,1,1,False
AP0359,69.22357500577449,68.02807312445594,2,2,False
AP0360,72.0037807745699,71.10606916750598,3,3,False
AP0361,70.57015732805074,69.79193519708686,3,3,False
AP0362,64.31345243858969,58.567218859680054,1,1,False
