fase,orden_escalon_fase,columna,n,mediana,iqr,p5,p95
Fusión,0,b6_reductor_neto_kg_ceq,362,-895.644669907394,330.4714715603242,-1142.816578862364,-238.21135851133164
Fusión,0,b6_ratio_reductor_demanda,361,0.0870319441602143,0.2493925688338917,-0.08571616822227555,0.6931579109765503
Fusión,0,b6_ceq_lanza_kg,362,-304.34747474585856,17.76431544185607,-343.8181831433504,-268.7934049401438
Fusión,0,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,0,b6_cum_reductor_neto_kg_prev,362,0.0,0.0,0.0,0.0
Fusión,1,b6_reductor_neto_kg_ceq,362,-753.6739650607051,262.8690749467215,-1019.1903820190238,-328.7944762508779
Fusión,1,b6_ratio_reductor_demanda,362,0.4496994414073139,0.16514854852710797,0.3196764759608596,0.6987381931342391
Fusión,1,b6_ceq_lanza_kg,362,-355.31786450433503,15.118046220999133,-387.19220731158856,-317.73469073777153
Fusión,1,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,1,b6_cum_reductor_neto_kg_prev,362,-895.6446699073939,330.47147156032395,-1142.8165788623637,-238.21135851133167
Fusión,2,b6_reductor_neto_kg_ceq,362,-873.2594938669606,362.955732792145,-1292.028144245712,-299.321028243484
Fusión,2,b6_ratio_reductor_demanda,362,0.553815526721154,0.1342392515379957,0.37061480446087364,0.7932893825931039
Fusión,2,b6_ceq_lanza_kg,362,-418.65194826854565,24.18594729940304,-462.2444220955473,-363.143142861548
Fusión,2,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,2,b6_cum_reductor_neto_kg_prev,362,-1656.1031620566368,483.091943899281,-2141.18260625366,-650.4492075354467
Fusión,3,b6_reductor_neto_kg_ceq,362,-1216.6529306821317,465.5355309878446,-1703.7969608574715,-669.7486056058707
Fusión,3,b6_ratio_reductor_demanda,362,0.521495002143157,0.1292100359953493,0.36864820032364976,0.7099391211191873
Fusión,3,b6_ceq_lanza_kg,362,-480.6191492179289,29.72326456655378,-545.8922217823581,-425.68467215113407
Fusión,3,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,3,b6_cum_reductor_neto_kg_prev,362,-2551.7301530854547,807.8701146815674,-3313.33716995828,-1184.296605810902
Fusión,4,b6_reductor_neto_kg_ceq,362,-1549.6937378697748,448.83850822187446,-2186.9650224138363,-626.8813700700789
Fusión,4,b6_ratio_reductor_demanda,361,0.4869564093991755,0.10186325791754647,0.3438672937936188,0.6811766424653243
Fusión,4,b6_ceq_lanza_kg,362,-543.615619887531,31.768005431724077,-621.1878707284692,-489.54419242899615
Fusión,4,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,4,b6_cum_reductor_neto_kg_prev,362,-3722.109741066988,1227.1914129604984,-4962.340373289514,-1899.5801345174432
Fusión,5,b6_reductor_neto_kg_ceq,362,-2040.5009021609844,529.6966040780203,-2795.988233718815,-1275.0514353054684
Fusión,5,b6_ratio_reductor_demanda,362,0.42578079551717585,0.0835315137556864,0.3189158960907645,0.5676957239688326
Fusión,5,b6_ceq_lanza_kg,362,-600.5190113465499,33.225252690312686,-700.4696402358297,-533.5463105933507
Fusión,5,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,5,b6_cum_reductor_neto_kg_prev,362,-5315.59888359435,1572.7764052526481,-7145.67140944033,-2959.9986027485857
Fusión,6,b6_reductor_neto_kg_ceq,362,-2732.6967010280378,713.8837189539881,-3797.271452645973,-1007.94261868302
Fusión,6,b6_ratio_reductor_demanda,362,0.3976192169747343,0.11387357774010748,0.2814842280774314,0.6697772632170468
Fusión,6,b6_ceq_lanza_kg,362,-811.3610715142884,184.59457689140515,-1242.4114643573332,-660.0370970159569
Fusión,6,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,0.0
Fusión,6,b6_cum_reductor_neto_kg_prev,362,-7297.508858014706,1839.48997027308,-9738.842331724622,-4507.905883210808
Reducción,0,b6_reductor_neto_kg_ceq,362,-715.5020413197085,866.9532548055873,-1802.9943404893156,560.7957787728567
Reducción,0,b6_ratio_reductor_demanda,362,0.6723440561443013,0.2827874673840438,0.43471424987308516,1.5381170006911162
Reducción,0,b6_ceq_lanza_kg,362,107.55454030506772,31.800985552760324,25.72302789457692,128.65426900586544
Reducción,0,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,1499.2651924833065
Reducción,0,b6_cum_reductor_neto_kg_prev,362,-9999.997649617155,2176.80070568476,-13171.016420312788,-6466.338238656419
Reducción,1,b6_reductor_neto_kg_ceq,362,250.87701173489887,289.15102562348176,-398.63537135552343,616.252838962975
Reducción,1,b6_ratio_reductor_demanda,348,1.683142890783424,1.001446046897912,0.5457089632028833,2.837524584734557
Reducción,1,b6_ceq_lanza_kg,362,62.441992334865326,62.29958013297075,-182.1559169422958,106.2194837123868
Reducción,1,b6_capacidad_sobre_reduccion_feo_kg,362,1352.1660228996568,1906.7140451688601,0.0,3077.331381731571
Reducción,1,b6_cum_reductor_neto_kg_prev,362,-10662.152313419672,2544.392302875087,-14361.336887955129,-6485.392956097779
Reducción,2,b6_reductor_neto_kg_ceq,362,-36.274764549558995,141.16505107297854,-272.5160201525256,171.98315895204928
Reducción,2,b6_ratio_reductor_demanda,347,0.8221874830920873,0.5187281393926528,0.07935482181953803,1.662544522520696
Reducción,2,b6_ceq_lanza_kg,362,38.961424224027155,45.38820932429768,-146.1633254499195,60.45859587568972
Reducción,2,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,101.48774704833788,0.0,739.3789370092198
Reducción,2,b6_cum_reductor_neto_kg_prev,362,-10530.872199822708,2669.788896722426,-14134.471361351572,-6012.243871820096
Reducción,3,b6_reductor_neto_kg_ceq,362,-91.44384405531719,110.40046668109736,-262.99298388146667,103.95416726264098
Reducción,3,b6_ratio_reductor_demanda,346,0.4286480472476709,0.35956034160580114,-0.15060714693244018,1.4699398621228559
Reducción,3,b6_ceq_lanza_kg,362,24.002046167978673,23.612392987579565,-97.60555853719644,51.34543530400051
Reducción,3,b6_capacidad_sobre_reduccion_feo_kg,362,0.0,0.0,0.0,270.9887509811502
Reducción,3,b6_cum_reductor_neto_kg_prev,362,-10588.303503637248,2675.298655355151,-14306.357836165444,-5958.612847631516
