predictor,target,tramo,n,rho,p
b6_reductor_neto_kg_ceq,feo_extraido_est_kg,global,1313,-0.32823552938577927,2.353747318599819e-34
b6_reductor_neto_kg_ceq,feo_extraido_est_kg,<0.84,272,-0.016100081815297786,0.7915305502212165
b6_reductor_neto_kg_ceq,feo_extraido_est_kg,0.84-0.96,211,-0.08855277781326248,0.20013022185743903
b6_reductor_neto_kg_ceq,feo_extraido_est_kg,>0.96,830,-0.16288390815748485,2.392252958651191e-06
b6_reductor_neto_kg_ceq,b6_feo_extraido_multi_kg,global,956,-0.09653021614910723,0.0028107008897487766
b6_reductor_neto_kg_ceq,b6_feo_extraido_multi_kg,0.84-0.96,136,-0.031105386193406803,0.7192309735924846
b6_reductor_neto_kg_ceq,b6_feo_extraido_multi_kg,>0.96,819,-0.10006950729116632,0.004148662021536665
b6_reductor_neto_kg_ceq,sn_extraido_est_kg,global,1314,-0.504194717131447,1.1882420074639841e-85
b6_reductor_neto_kg_ceq,sn_extraido_est_kg,<0.84,272,-0.7474018276058647,7.280359592623047e-50
b6_reductor_neto_kg_ceq,sn_extraido_est_kg,0.84-0.96,212,-0.2586634894766075,0.0001395540192884815
b6_reductor_neto_kg_ceq,sn_extraido_est_kg,>0.96,830,0.03732070329717838,0.28284384378470184
b6_capacidad_sobre_reduccion_feo_kg,feo_extraido_est_kg,global,1313,-0.22004611095630217,7.329582309616337e-16
b6_capacidad_sobre_reduccion_feo_kg,feo_extraido_est_kg,<0.84,272,,
b6_capacidad_sobre_reduccion_feo_kg,feo_extraido_est_kg,0.84-0.96,211,-0.1141341412514165,0.0982386832758155
b6_capacidad_sobre_reduccion_feo_kg,feo_extraido_est_kg,>0.96,830,-0.14708170184402944,2.098413538639081e-05
b6_capacidad_sobre_reduccion_feo_kg,b6_feo_extraido_multi_kg,global,956,-0.08962157854443256,0.005554411125931673
b6_capacidad_sobre_reduccion_feo_kg,b6_feo_extraido_multi_kg,0.84-0.96,136,-0.022873090359341,0.791536245086423
b6_capacidad_sobre_reduccion_feo_kg,b6_feo_extraido_multi_kg,>0.96,819,-0.1078412741884609,0.0019980365846515823
b6_capacidad_sobre_reduccion_feo_kg,sn_extraido_est_kg,global,1314,-0.1980445058021774,4.35721465383565e-13
b6_capacidad_sobre_reduccion_feo_kg,sn_extraido_est_kg,<0.84,272,,
b6_capacidad_sobre_reduccion_feo_kg,sn_extraido_est_kg,0.84-0.96,212,-0.22397221074281565,0.0010248320462618989
b6_capacidad_sobre_reduccion_feo_kg,sn_extraido_est_kg,>0.96,830,0.11546359984085562,0.0008603455051325397
