target,version,n_dev,n_lockbox,r2_oof_interno,r2_lockbox
feo_ext,v3_single,1045,242,0.3671148635258227,0.37832840370409837
feo_ext,multi,758,179,-0.03401183525564244,-1.0435337394201434
sdi,v3_single,1015,242,0.13140568949613185,0.14309591413031608
sdi,multi,727,179,0.02159157051928029,-0.3979117097659226
