target,quintil,n,mean_recuperacion_refinada,sem,monotonia
st_R22_sdi,1,58,65.54528426625289,0.6112676228367981,4
st_R22_sdi,2,57,67.73327243182098,0.4555696799794353,4
st_R22_sdi,3,57,68.243357844523,0.5442210236150657,4
st_R22_sdi,4,57,68.4334576374235,0.7132861366218703,4
st_R22_sdi,5,57,69.82408740409319,0.5080336172773442,4
st_R23_lnirf_R,1,60,65.82907283457601,0.6945006747285899,4
st_R23_lnirf_R,2,60,67.42020163678112,0.47985117755485623,4
st_R23_lnirf_R,3,59,68.3662935657526,0.513220951072001,4
st_R23_lnirf_R,4,60,69.22175450667766,0.49125841938656406,4
st_R23_lnirf_R,5,60,69.47232487211328,0.6097719821504612,4
st_F10_irf_next,1,60,66.95659512143837,0.6119307865782804,3
st_F10_irf_next,2,59,67.07199569594592,0.5379130118282122,3
st_F10_irf_next,3,60,68.05447911624717,0.5503505244296123,3
st_F10_irf_next,4,59,69.41918782044054,0.561820784786699,3
st_F10_irf_next,5,60,68.95411449456934,0.604081610830442,3
st_F01_sn_ext,1,60,68.17494607745144,0.5487801702396685,2
st_F01_sn_ext,2,59,67.56214061187617,0.4819447772560214,2
st_F01_sn_ext,3,60,68.66659403528188,0.6646384746539967,2
st_F01_sn_ext,4,59,67.35156631518043,0.6159278330430866,2
st_F01_sn_ext,5,60,68.67483393236262,0.5906047493375329,2
st_R21_ln_feo_ret,1,58,65.9078729075044,0.602079293338082,3
st_R21_ln_feo_ret,2,57,67.69375127851009,0.49340968978395944,3
st_R21_ln_feo_ret,3,57,67.53559432677092,0.6762946600738715,3
st_R21_ln_feo_ret,4,57,69.16657959885099,0.5726078623393652,3
st_R21_ln_feo_ret,5,57,69.46930026824471,0.5292557114127026,3
st_R02_feo_ret,1,60,66.6199180900332,0.6052709076798953,4
st_R02_feo_ret,2,59,67.2615023148546,0.5770586018314411,4
st_R02_feo_ret,3,59,68.07562401120023,0.5664396680885505,4
st_R02_feo_ret,4,59,68.36640948482271,0.5969867368809149,4
st_R02_feo_ret,5,60,69.93960065560299,0.5095406056169867,4
st_F16_sn_ret_frac,1,60,67.90805060325928,0.5404528304624904,2
st_F16_sn_ret_frac,2,59,68.03161731905448,0.5085582504452547,2
st_F16_sn_ret_frac,3,60,67.75297337505692,0.7002315070252013,2
st_F16_sn_ret_frac,4,59,68.43738018271945,0.6065093351514822,2
st_F16_sn_ret_frac,5,60,68.325981001641,0.5610172854777878,2
st_F05_ley_feo_next,1,60,67.37223036889262,0.6949100249246538,4
st_F05_ley_feo_next,2,59,67.79098651262466,0.48473304552705354,4
st_F05_ley_feo_next,3,60,67.81650921832313,0.6337586334395365,4
st_F05_ley_feo_next,4,59,68.5094886500982,0.5516196041687826,4
st_F05_ley_feo_next,5,60,68.96397902614166,0.5244613661771289,4
b6_sdi_multi_batch,1,60,66.68003766092441,0.6102449380166349,3
b6_sdi_multi_batch,2,60,66.9480796810912,0.5285858561520664,3
b6_sdi_multi_batch,3,59,67.9252959268564,0.5885537549483818,3
b6_sdi_multi_batch,4,60,69.83876183902403,0.5469508549776034,3
b6_sdi_multi_batch,5,60,68.91012234735632,0.5698125009304579,3
b6_feo_extraido_multi_neg,1,60,67.66044324082813,0.605151768479901,3
b6_feo_extraido_multi_neg,2,60,67.22193435519253,0.5067163752405184,3
b6_feo_extraido_multi_neg,3,59,67.9007113794541,0.6903754912988037,3
b6_feo_extraido_multi_neg,4,60,68.29351348035561,0.6141646488771496,3
b6_feo_extraido_multi_neg,5,60,69.2252852569653,0.4796154412773032,3
