target,version,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda
feo_ext,v3_single,tasa_feed_Carbon_kg_min,18.810511778904168,-13.260441757817214,59.269125193412,21.99076854783762,413.65761079625486,-291.6073055382394,1303.373614161135,False,1,True
feo_ext,v3_single,Cx_av_v4,-17.288428557556365,-58.629511190371126,19.20177677541336,17.46592144463136,-301.95833508740094,-1024.0184367881573,335.3767247567166,False,1,False
feo_ext,v3_single,tasa_gn_nm3_min,11.533038047898975,-9.03634690724305,33.05814804028302,4.915809154051561,56.69421400988673,-44.4209568458109,162.50754675241495,False,1,True
feo_ext,v3_single,exceso_o2_combustion_pct,-4.658415921161407,-9.184844431442968,-0.46450668963791414,10.827673626498992,-50.43980721082238,-99.45049781383116,-5.0295268327247955,True,-1,True
feo_ext,v3_single,tasa_aire_nm3_min,0.8587941367082461,-4.287751433801641,5.647931124178954,9.311100762978667,7.996318741545756,-39.92368564673333,52.58845579959362,False,-1,False
feo_ext,multi,tasa_feed_Carbon_kg_min,113.38498553542028,-54.595050989828565,391.0356466535097,11.497347051920405,1303.6265291777022,-627.6982485473496,4495.872539247519,False,1,True
feo_ext,multi,Cx_av_v4,-103.1627848020435,-375.0795118095718,66.3691740155621,10.990298539825831,-1133.7898031742652,-4122.235810959322,729.4170362726786,False,1,False
feo_ext,multi,tasa_gn_nm3_min,-16.481584515752388,-132.6613990399424,44.72882087070726,4.16477607485172,-68.64210886685213,-552.5050207779091,186.28552301864988,False,1,False
feo_ext,multi,exceso_o2_combustion_pct,-6.792016581247875,-23.797158981386744,2.5878060965862772,12.237950718019201,-83.12036419728075,-291.228458843079,31.669443477812496,False,-1,True
feo_ext,multi,tasa_aire_nm3_min,5.870151845607722,-4.991536056165923,17.25657262207535,10.067246661376481,59.09626656946733,-50.25102469657672,173.72617311638885,False,-1,False
sdi,v3_single,tasa_feed_Carbon_kg_min,0.012251368850422079,-0.04024608149564028,0.0460064295374149,22.100435970604593,0.2707605928310127,-0.8894559471621324,1.01676215022777,False,1,True
sdi,v3_single,Cx_av_v4,-0.007451381270917154,-0.051940203458096496,0.05545842336556943,17.275529018818933,-0.1287265533760132,-0.8972944920837055,0.9580736021898406,False,1,False
sdi,v3_single,tasa_gn_nm3_min,-0.03058906846738336,-0.05767852884620593,-0.00038990581536300987,4.953750794405029,-0.15153062222041017,-0.28572505809200605,-0.0019314962425976507,True,1,False
sdi,v3_single,exceso_o2_combustion_pct,0.0005364750540309088,-0.004956021301290366,0.005665665035353943,10.775541433926714,0.00578080917297813,-0.05340381287947772,0.06105060833920627,False,-1,False
sdi,v3_single,tasa_aire_nm3_min,0.00391013503961449,-0.002155722888336877,0.011408537822489106,9.443953451940853,0.03692713330492215,-0.020358546612736953,0.10774170015029377,False,-1,False
sdi,multi,tasa_feed_Carbon_kg_min,0.04254842203084663,-0.08770629569515909,0.18446227298398105,11.325354892157062,0.48187597960061224,-0.9933049250241438,2.089100705757541,False,1,True
sdi,multi,Cx_av_v4,-0.04267650219172345,-0.18832553198370133,0.08441754363292332,10.769795278045958,-0.4596171917879412,-2.0282274250935597,0.9091596628020963,False,1,False
sdi,multi,tasa_gn_nm3_min,-0.005156601649736522,-0.03536304840807319,0.035556849043163044,4.1692442482993695,-0.021499131768935035,-0.1474371861776913,0.14824518836085646,False,1,False
sdi,multi,exceso_o2_combustion_pct,0.0008707917247196863,-0.004586244005707775,0.00737679039555299,12.233396276229804,0.010652740242557539,-0.05610534034130676,0.09024320015548573,False,-1,False
sdi,multi,tasa_aire_nm3_min,-0.0018673739552971108,-0.009369536954984143,0.005749383230830287,10.271058181644655,-0.01917990654174453,-0.09623505919971183,0.059052249672429995,False,-1,True
